x,y,luminosity,error,T,v
574.81,851.94,368.67,3.18556,18.0,58.2
502.15,811.53,158.138,3.23428,18.0,58.2
1141.22,646.88,26.1923,2.56469,18.0,58.2
369.73,506.07,82.0819,3.12319,18.0,58.2
1405.28,475.68,41.7607,3.01235,18.0,58.2
298.03,457.88,23.8684,2.77747,18.0,58.2
1330.59,313.09,18.3891,2.90117,18.0,58.2
1498.72,262.79,19.3784,2.82316,18.0,58.2
1076.92,182.71,82.452,3.62289,18.0,58.2
1811.47,172.1,46.2365,3.03704,18.0,58.2
681.68,69.42,42.936,3.00641,18.0,58.2
845.61,69.6,4.78193,3.12647,18.0,58.2
