spot_index,x_txt,y_txt,A,A_err,x0,x0_err,y0,y0_err,sigma,sigma_err,fit_status
0,575,852,6.37729,0.528752,576.294,0.161335,852.36,0.158464,3.31757,0.112787,0
1,502,812,2.53323,0.288461,503.652,0.264343,811.87,0.245085,3.36103,0.146798,0
2,1141,647,0.583184,0.177399,1142.56,0.969294,647.518,0.618661,2.30762,0.24599,0
3,370,506,1.37176,0.217034,371.044,0.343563,506.648,0.369461,3.12304,0.183573,0
4,1405,476,0.909751,0.238038,1406.04,0.404142,476.317,0.510428,2.34084,0.230718,0
5,298,458,0.38226,0.141709,299.153,0.867324,457.985,0.691095,2.84492,0.466502,0
6,1331,313,0.398817,0.137153,1331.5,0.80832,313.426,0.617158,2.51147,0.316711,0
7,1499,263,0.33682,0.186681,1500.1,0.756911,262.826,1.50487,2.21787,0.553103,0
8,1077,183,1.14104,0.198694,1077.95,0.358651,183.651,0.470233,3.12247,0.202736,0
9,1811,172,0.786085,0.186112,1813.06,0.564338,172.872,0.44032,2.8032,0.257421,0
10,682,69,0.971246,0.20752,683.248,0.438072,70.0822,0.515871,2.72744,0.216911,0
11,846,70,0.260276,0.124518,846.85,0.907027,70.1827,1.0113,2.53005,0.540711,0
