x,y,luminosity,error,T,v
574.63,853.84,731.826,3.11548,18.0,9.0
572.61,829.63,27.0666,2.72815,18.0,9.0
500.47,813.38,277.171,3.07238,18.0,9.0
1138.46,649.6,52.0788,2.61,18.0,9.0
370.69,506.93,155.735,3.10659,18.0,9.0
385.84,493.9,14.4136,2.7816,18.0,9.0
1402.25,474.52,79.7576,2.96454,18.0,9.0
297.13,458.12,53.7516,2.94173,18.0,9.0
1327.94,314.16,40.6086,2.92853,18.0,9.0
1497.11,263.51,36.336,2.65194,18.0,9.0
1205.38,226.35,17.1649,2.79953,18.0,9.0
1078.83,182.34,222.323,3.56066,18.0,9.0
1809.06,174.74,94.092,2.87495,18.0,9.0
1060.22,177.69,15.8803,2.86064,18.0,9.0
684,69.28,99.3791,2.97688,18.0,9.0
844.59,70.54,37.1524,3.0336,18.0,9.0
