spot_index,x_txt,y_txt,A,A_err,x0,x0_err,y0,y0_err,sigma,sigma_err,fit_status
0,575,852,6.34028,0.530102,576.296,0.161168,852.35,0.159006,3.32836,0.114605,0
1,502,812,2.58239,0.292182,503.651,0.26266,811.833,0.244562,3.29429,0.141646,0
2,1141,647,0.523419,0.166859,1142.46,0.781059,647.385,0.589229,2.50808,0.321258,0
3,370,506,1.52167,0.239298,370.918,0.408382,506.327,0.338306,2.78379,0.150449,0
4,1405,476,0.959152,0.235503,1406.37,0.376053,476.225,0.519466,2.292,0.198622,0
5,298,458,0.377074,0.138299,299.305,0.82841,458.129,0.690686,2.84675,0.462413,0
6,1331,313,0.361348,0.137717,1331.73,0.781798,313.673,0.716207,2.62281,0.409348,0
7,1499,263,0.390353,0.198128,1499.94,0.928165,262.515,1.64497,1.7768,0.343131,0
8,1077,183,1.08254,0.197915,1078.26,0.413874,183.838,0.426249,3.15112,0.22481,0
9,1811,172,0.792512,0.186558,1813.06,0.560298,172.933,0.44316,2.78256,0.250798,0
10,682,69,0.928938,0.207361,683.144,0.414432,70.0137,0.520274,2.78895,0.243953,0
11,846,70,0.265672,0.125443,846.842,0.889501,70.1744,1.01917,2.49508,0.513446,0
