spot_index,x_txt,y_txt,A,A_err,x0,x0_err,y0,y0_err,sigma,sigma_err,fit_status
0,575,852,7.58049,0.596625,576.447,0.141271,852.422,0.158301,2.95309,0.0922128,0
1,502,811,3.18551,0.35932,503.793,0.244182,811.778,0.22363,2.65099,0.103136,0
2,1141,647,0.604803,0.332668,1144.8,0.52313,646.831,0.94537,1.5128,0.387688,0
3,370,506,1.56413,0.277012,371.69,0.389976,506.415,0.336962,2.54918,0.16995,0
4,1405,476,0.930714,0.261763,1407.01,0.562809,476.69,0.397085,2.06926,0.227002,0
5,298,458,0.252188,0.215652,299.952,1.24784,458.341,1.06457,2.15079,1.01797,0
6,1331,313,0.366791,0.336739,1334.54,1.09701,313.799,0.671728,1.08383,0.417602,0
7,1499,263,0.119646,0.120143,1499.3,1.73726,262.345,1.83466,2.01685,0.923364,0
8,1077,183,1.54311,0.331106,1077.63,0.328108,184.357,0.451755,2.08902,0.166188,0
9,1811,172,0.859907,0.220972,1813.8,0.495295,171.904,0.501589,1.98743,0.147424,0
10,682,69,1.21443,0.302484,682.835,0.399135,68.6348,0.474973,1.76514,0.12732,0
11,845,69,0.115739,0.102975,848.058,1.50018,70.6759,2.06091,2.2053,0.932515,0
