x,y,luminosity,error,T,v
574.84,853.64,369.913,6.35676,16.0,7.0
500.82,813.15,155.483,6.19459,16.0,7.0
1138.88,649.41,29.8373,5.81074,16.0,7.0
370.72,506.72,70.456,5.64952,16.0,7.0
1402.55,474.6,39.9751,7.05842,16.0,7.0
297.16,458.04,24.1083,6.41302,16.0,7.0
1328.97,313.79,17.7509,6.01433,16.0,7.0
1497.28,263.02,11.8023,5.58129,16.0,7.0
1205.53,225.4,14.454,6.2467,16.0,7.0
1078.76,182.4,101.385,5.87458,16.0,7.0
1808.82,174.94,40.6298,5.59084,16.0,7.0
683.7,69.55,49.0908,5.85662,16.0,7.0
844.9,69.81,1.30638,5.87266,16.0,7.0
574.84,853.64,416.267,6.40071,18.0,7.0
500.82,813.15,175.419,6.22686,18.0,7.0
1138.88,649.41,29.1284,5.69405,18.0,7.0
370.72,506.72,96.544,5.7041,18.0,7.0
1402.55,474.6,49.463,6.68234,18.0,7.0
297.16,458.04,24.4534,6.49064,18.0,7.0
1328.97,313.79,15.8179,6.01411,18.0,7.0
1497.28,263.02,28.5282,5.61276,18.0,7.0
1205.53,225.4,7.07805,6.28815,18.0,7.0
1078.76,182.4,102.035,5.84897,18.0,7.0
1808.82,174.94,58.0594,5.54256,18.0,7.0
683.7,69.55,45.6496,5.81129,18.0,7.0
844.9,69.81,10.4066,5.92793,18.0,7.0
574.84,853.64,478.629,6.26407,20.0,7.0
500.82,813.15,207.36,6.20638,20.0,7.0
1138.88,649.41,38.36,5.6603,20.0,7.0
370.72,506.72,109.779,5.66319,20.0,7.0
1402.55,474.6,54.0359,6.49767,20.0,7.0
297.16,458.04,22.7269,6.45001,20.0,7.0
1328.97,313.79,29.2091,5.978,20.0,7.0
1497.28,263.02,24.8879,5.60343,20.0,7.0
1205.53,225.4,-1.17757,6.34001,20.0,7.0
1078.76,182.4,116.904,5.97389,20.0,7.0
1808.82,174.94,56.0979,5.50945,20.0,7.0
683.7,69.55,56.7934,5.68797,20.0,7.0
844.9,69.81,17.4389,5.80511,20.0,7.0
574.84,853.64,528.987,6.37296,22.0,7.0
500.82,813.15,222.582,6.37888,22.0,7.0
1138.88,649.41,44.8146,5.78612,22.0,7.0
370.72,506.72,118.4,5.7534,22.0,7.0
1402.55,474.6,60.5313,6.71567,22.0,7.0
297.16,458.04,31.9477,6.46504,22.0,7.0
1328.97,313.79,27.9036,6.11239,22.0,7.0
1497.28,263.02,21.9633,5.85345,22.0,7.0
1205.53,225.4,6.27466,6.75978,22.0,7.0
1078.76,182.4,123.635,6.11321,22.0,7.0
1808.82,174.94,61.899,5.74307,22.0,7.0
683.7,69.55,71.9725,5.94619,22.0,7.0
844.9,69.81,15.172,6.08579,22.0,7.0
