x,y,luminosity,error,T,v
574.84,853.64,1252.37,6.4663,22.0,9.0
500.82,813.15,467.009,6.30081,22.0,9.0
1138.88,649.41,86.1201,5.60854,22.0,9.0
370.72,506.72,258.367,5.66573,22.0,9.0
1402.55,474.6,142.065,6.65326,22.0,9.0
297.16,458.04,79.9069,6.45643,22.0,9.0
1328.97,313.79,77.3596,5.99251,22.0,9.0
1497.28,263.02,67.4919,5.57117,22.0,9.0
1205.53,225.4,27.4522,6.85976,22.0,9.0
1078.76,182.4,361.706,6.04903,22.0,9.0
1808.82,174.94,164.547,5.42317,22.0,9.0
683.7,69.55,176.513,5.8625,22.0,9.0
844.9,69.81,45.0079,5.94545,22.0,9.0
