spot_index,x_txt,y_txt,A,A_err,x0,x0_err,y0,y0_err,sigma,sigma_err,fit_status
0,575,852,6.44169,0.525335,576.292,0.161733,852.377,0.157602,3.30112,0.109344,0
1,502,812,2.67171,0.289794,503.605,0.271764,812.027,0.236992,3.25086,0.12838,0
2,1141,647,0.558098,0.171828,1142.46,0.87484,647.493,0.596524,2.4271,0.277936,0
3,370,506,1.36249,0.21455,371.073,0.351311,506.646,0.361498,3.15578,0.185084,0
4,1405,476,0.94478,0.261802,1405.42,0.45328,476.476,0.589626,2.08592,0.207882,0
5,298,458,0.384813,0.143457,299.112,0.87837,457.95,0.690575,2.82469,0.46492,0
6,1331,313,0.362995,0.132146,1331.65,0.794847,313.62,0.672678,2.7111,0.40546,0
7,1499,263,0.364859,0.192366,1500.2,0.725004,262.883,1.38748,2.0143,0.434167,0
8,1077,183,1.13022,0.197013,1077.95,0.340333,183.78,0.463822,3.13429,0.204385,0
9,1811,172,0.806921,0.18751,1813.13,0.541146,172.932,0.44856,2.74478,0.240402,0
10,682,69,0.986146,0.211621,683.271,0.446387,70.1959,0.534417,2.6718,0.210984,0
11,846,70,0.297159,0.13413,847.234,0.816845,70.0282,1.12178,2.20244,0.384554,0
