spot,x,y,luminosity,error,T,v,v_fin,phase,detected
0,3.73,742.48,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
0,2.11,737.72,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
0,3.73,742.48,155.675,8.71379,20.0,58.3,7.0,annealing_T=75_h=25,True
0,4.09,740.56,174.734,9.15104,20.0,58.3,7.0,annealing_T=75_h=5,True
0,2.11,737.72,77.8135,5.03429,20.0,58.3,7.0,before_annealing,True
1,3.67,454.35,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
1,2.99,449.56,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
1,3.67,454.35,39.7734,5.25523,20.0,58.3,7.0,annealing_T=75_h=25,True
1,5.96,452.55,49.0065,6.07849,20.0,58.3,7.0,annealing_T=75_h=5,True
1,2.99,449.56,32.3939,3.81112,20.0,58.3,7.0,before_annealing,True
2,41.2,643.95,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=25,False
2,38.7,639.62,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
2,41.2,643.95,31.171,4.38531,20.0,58.3,7.0,annealing_T=75_h=25,True
2,38.7,639.62,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=5,False
2,38.7,639.62,20.1681,3.19435,20.0,58.3,7.0,before_annealing,True
3,54.43,537.51,143.655,3.52479,20.0,58.3,7.0,annealing_T=100_h=25,True
3,55.35,537.92,441.786,21.4406,20.0,58.3,7.0,annealing_T=100_h=5,True
3,59.73,539.38,785.754,29.4108,20.0,58.3,7.0,annealing_T=75_h=25,True
3,61.44,537.84,880.162,35.1179,20.0,58.3,7.0,annealing_T=75_h=5,True
3,57.73,535.05,1111.01,36.5258,20.0,58.3,7.0,before_annealing,True
4,54.96,1071.11,132.333,3.45329,20.0,58.3,7.0,annealing_T=100_h=25,True
4,55.89,1071.33,152.629,11.3085,20.0,58.3,7.0,annealing_T=100_h=5,True
4,64.47,1072.85,172.122,11.321,20.0,58.3,7.0,annealing_T=75_h=25,True
4,63.1,1071.42,531.709,22.465,20.0,58.3,7.0,annealing_T=75_h=5,True
