spot,x,y,luminosity,error,T,v,phase,detected
0,1.97,739.88,0.0,0.0,23,5,annealing_T=100_h=5,False
0,3.69,747.81,92.6201,5.35758,23,5,annealing_T=75_h=25,True
0,3.7,741.85,97.1034,6.50909,23,5,annealing_T=75_h=5,True
0,1.97,739.88,41.9552,3.61103,23,5,before_annealing,True
1,54.16,534.21,297.016,13.6643,23,5,annealing_T=100_h=5,True
1,59.51,544.57,493.171,18.1829,23,5,annealing_T=75_h=25,True
1,60.62,539.16,544.899,21.568,23,5,annealing_T=75_h=5,True
1,57.02,537.01,661.809,22.5172,23,5,before_annealing,True
2,55.17,1067.53,91.6585,7.27813,23,5,annealing_T=100_h=5,True
2,64.3,1077.21,101.235,5.50351,23,5,annealing_T=75_h=25,True
2,62.51,1072.56,383.217,15.8308,23,5,annealing_T=75_h=5,True
2,57.72,1070.54,421.421,17.3263,23,5,before_annealing,True
3,54.99,576.72,2324.51,92.3801,23,5,annealing_T=100_h=5,True
3,60.59,587.22,2342.44,58.2106,23,5,annealing_T=75_h=25,True
3,61.47,581.68,4154.93,51.7727,23,5,annealing_T=75_h=5,True
3,57.79,579.53,2182.42,39.3686,23,5,before_annealing,True
4,60.02,554.87,676.508,24.2114,23,5,annealing_T=100_h=5,True
4,65.53,565.31,1100.43,32.0672,23,5,annealing_T=75_h=25,True
4,66.57,559.79,1370.42,34.2957,23,5,annealing_T=75_h=5,True
4,62.94,557.55,1164.37,31.8881,23,5,before_annealing,True
5,63.42,1052.03,58.3219,4.90507,23,5,annealing_T=100_h=5,True
5,72.49,1062.33,49.3511,4.96979,23,5,annealing_T=75_h=25,True
5,70.2,1057.09,54.3649,5.39271,23,5,annealing_T=75_h=5,True
5,65.15,1055.14,54.7172,5.80406,23,5,before_annealing,True
6,66.1,812.93,643.191,19.9578,23,5,annealing_T=100_h=5,True
6,73.63,823.34,811.73,21.0015,23,5,annealing_T=75_h=25,True
6,73.1,817.94,860.556,25.7223,23,5,annealing_T=75_h=5,True
6,68.75,815.65,742.305,24.7587,23,5,before_annealing,True
7,75.46,99.97,118.394,7.98248,23,5,annealing_T=100_h=5,True
7,77.37,110.38,66.4394,6.45846,23,5,annealing_T=75_h=25,True
7,80.94,104.89,64.5758,6.47403,23,5,annealing_T=75_h=5,True
7,78.15,102.63,78.2885,7.83932,23,5,before_annealing,True
8,90.04,357.04,14.9737,2.33518,23,5,annealing_T=100_h=5,True
8,94.19,368.57,66.3386,6.37861,23,5,annealing_T=75_h=25,True
8,96.9,363.54,281.281,15.6477,23,5,annealing_T=75_h=5,True
8,93.74,361.34,196.438,12.4745,23,5,before_annealing,True
9,135.14,260.46,92.7696,7.46926,23,5,annealing_T=100_h=5,True
9,138.0,270.44,101.094,7.19906,23,5,annealing_T=75_h=25,True
9,140.73,265.66,50.3105,5.64988,23,5,annealing_T=75_h=5,True
9,137.92,263.86,39.6589,4.97607,23,5,before_annealing,True
10,150.25,915.56,257.551,12.6286,23,5,annealing_T=100_h=5,True
10,158.48,925.09,229.663,12.5896,23,5,annealing_T=75_h=25,True
10,157.34,920.18,300.59,15.937,23,5,annealing_T=75_h=5,True
10,152.77,918.19,506.837,19.6165,23,5,before_annealing,True
11,173.48,947.18,558.776,18.9514,23,5,annealing_T=100_h=5,True
11,181.91,956.73,565.544,17.027,23,5,annealing_T=75_h=25,True
11,180.6,951.9,569.063,20.1319,23,5,annealing_T=75_h=5,True
11,175.95,950.02,585.873,19.3121,23,5,before_annealing,True
12,177.77,174.98,3777.83,47.6777,23,5,annealing_T=100_h=5,True
12,180.15,184.51,3798.64,46.7954,23,5,annealing_T=75_h=25,True
12,183.4,179.67,5561.21,62.7686,23,5,annealing_T=75_h=5,True
12,180.67,177.87,5597.66,64.1493,23,5,before_annealing,True
13,190.73,522.99,236.531,12.1919,23,5,annealing_T=100_h=5,True
13,195.82,532.55,235.425,12.7478,23,5,annealing_T=75_h=25,True
13,197.07,527.49,296.935,15.9265,23,5,annealing_T=75_h=5,True
13,193.41,525.85,331.509,16.3386,23,5,before_annealing,True
14,194.49,59.7,159.821,9.47053,23,5,annealing_T=100_h=5,True
14,195.75,69.0,148.587,10.1156,23,5,annealing_T=75_h=25,True
14,199.7,64.11,179.466,11.8553,23,5,annealing_T=75_h=5,True
14,197.3,62.27,149.825,9.24848,23,5,before_annealing,True
15,230.58,90.66,0.0,0.0,23,5,annealing_T=100_h=5,False
15,229.23,96.92,27.148,3.63042,23,5,annealing_T=75_h=25,True
15,233.04,92.72,15.8405,2.45545,23,5,annealing_T=75_h=5,True
15,230.58,90.66,65.6508,5.47233,23,5,before_annealing,True
16,232.82,762.93,0.0,0.0,23,5,annealing_T=100_h=5,False
16,237.12,768.94,33.8452,3.72945,23,5,annealing_T=75_h=25,True
16,232.82,762.93,0.0,0.0,23,5,annealing_T=75_h=5,False
16,232.82,762.93,27.6026,3.52759,23,5,before_annealing,True
17,232.73,246.54,398.653,13.7182,23,5,annealing_T=100_h=5,True
17,235.65,255.55,397.383,16.8601,23,5,annealing_T=75_h=25,True
17,238.46,251.28,952.506,29.6405,23,5,annealing_T=75_h=5,True
17,235.55,249.56,1091.01,32.2099,23,5,before_annealing,True
18,249.79,353.85,343.233,14.7452,23,5,annealing_T=100_h=5,True
18,253.64,362.81,496.373,17.6597,23,5,annealing_T=75_h=25,True
18,255.61,358.47,440.618,18.0833,23,5,annealing_T=75_h=5,True
18,252.57,356.72,216.608,12.1791,23,5,before_annealing,True
19,275.77,25.91,0.0,0.0,23,5,annealing_T=100_h=5,False
19,273.12,31.75,15.9031,3.1175,23,5,annealing_T=75_h=25,True
19,275.77,25.91,0.0,0.0,23,5,annealing_T=75_h=5,False
19,275.77,25.91,96.9603,8.22283,23,5,before_annealing,True
