spot,x,y,luminosity,error,T,v,v_fin
0,70.82,814.57,61.2757,2.69339,17,56.13,4.830000000000005
0,70.82,814.57,80.0117,2.60691,19,56.24,4.940000000000005
0,70.82,814.57,95.9542,2.68974,21,56.35,5.050000000000004
0,70.82,814.57,112.945,2.57211,23,56.46,5.160000000000004
1,79.91,100.99,51.3289,2.41742,17,56.13,4.830000000000005
1,79.91,100.99,68.6295,2.40817,19,56.24,4.940000000000005
1,79.91,100.99,68.8421,2.48139,21,56.35,5.050000000000004
1,79.91,100.99,78.0612,2.29858,23,56.46,5.160000000000004
2,182.68,176.33,3169.37,7.51308,17,56.13,4.830000000000005
2,182.68,176.33,3460.67,7.38082,19,56.24,4.940000000000005
2,182.68,176.33,3741.55,7.48849,21,56.35,5.050000000000004
2,182.68,176.33,4118.04,7.2222,23,56.46,5.160000000000004
3,195.48,524.18,105.318,2.87999,17,56.13,4.830000000000005
3,195.48,524.18,132.388,2.9754,19,56.24,4.940000000000005
3,195.48,524.18,151.543,2.91131,21,56.35,5.050000000000004
3,195.48,524.18,169.69,2.97002,23,56.46,5.160000000000004
4,237.58,248.03,325.759,5.01017,17,56.13,4.830000000000005
4,237.58,248.03,391.75,5.54776,19,56.24,4.940000000000005
4,237.58,248.03,389.213,5.37373,21,56.35,5.050000000000004
4,237.58,248.03,423.462,4.85445,23,56.46,5.160000000000004
5,254.57,355.25,614.465,7.40783,17,56.13,4.830000000000005
5,254.57,355.25,445.295,6.01776,19,56.24,4.940000000000005
5,254.57,355.25,691.669,8.24535,21,56.35,5.050000000000004
5,254.57,355.25,699.374,8.57117,23,56.46,5.160000000000004
6,359.8,850.77,8.72564,1.3358,17,56.13,4.830000000000005
6,359.8,850.77,13.8861,1.52952,19,56.24,4.940000000000005
6,359.8,850.77,16.6013,1.47464,21,56.35,5.050000000000004
6,359.8,850.77,21.3731,1.43511,23,56.46,5.160000000000004
7,419.62,951.28,57.9867,2.15435,17,56.13,4.830000000000005
7,419.62,951.28,70.8172,2.35474,19,56.24,4.940000000000005
