spot,x,y,luminosity,error,T,v,v_fin
0,3.73,742.48,3.75477,4.88653,20,52.3,1.0
0,3.73,742.48,14.2099,5.27381,20,53.3,2.0
0,3.73,742.48,31.7275,5.85262,20,54.3,3.0
0,3.73,742.48,47.2269,6.54456,20,55.3,4.0
0,3.73,742.48,80.9022,7.30448,20,56.3,5.0
0,3.73,742.48,155.675,8.71379,20,58.3,7.0
1,3.67,454.35,2.54423,2.93589,20,52.3,1.0
1,3.67,454.35,1.80437,3.34145,20,53.3,2.0
1,3.67,454.35,5.95643,3.74804,20,54.3,3.0
1,3.67,454.35,13.6192,4.00883,20,55.3,4.0
1,3.67,454.35,19.0744,4.65838,20,56.3,5.0
1,3.67,454.35,39.7734,5.25523,20,58.3,7.0
2,41.2,643.95,1.54137,2.40805,20,52.3,1.0
2,41.2,643.95,2.48531,2.72697,20,53.3,2.0
2,41.2,643.95,4.17662,2.75604,20,54.3,3.0
2,41.2,643.95,5.9342,2.86201,20,55.3,4.0
2,41.2,643.95,15.737,3.54163,20,56.3,5.0
2,41.2,643.95,31.171,4.38531,20,58.3,7.0
3,59.73,539.38,36.3709,14.8693,20,52.3,1.0
3,59.73,539.38,106.097,16.6196,20,53.3,2.0
3,59.73,539.38,196.044,18.5018,20,54.3,3.0
3,59.73,539.38,310.098,19.5286,20,55.3,4.0
3,59.73,539.38,428.93,23.4844,20,56.3,5.0
3,59.73,539.38,785.754,29.4108,20,58.3,7.0
4,64.47,1072.85,3.6524,6.42704,20,52.3,1.0
4,64.47,1072.85,17.7441,6.64449,20,53.3,2.0
4,64.47,1072.85,35.565,7.23924,20,54.3,3.0
4,64.47,1072.85,53.1934,7.77158,20,55.3,4.0
4,64.47,1072.85,90.8093,9.53537,20,56.3,5.0
4,64.47,1072.85,172.122,11.321,20,58.3,7.0
5,60.73,581.57,121.281,28.8946,20,52.3,1.0
5,60.73,581.57,393.969,34.1886,20,53.3,2.0
5,60.73,581.57,812.789,43.9696,20,54.3,3.0
5,60.73,581.57,1441.55,54.7034,20,55.3,4.0
5,60.73,581.57,2143.01,70.5543,20,56.3,5.0
5,60.73,581.57,3724.7,112.151,20,58.3,7.0
6,65.68,560.38,27.8952,25.4557,20,52.3,1.0
6,65.68,560.38,154.409,27.7082,20,53.3,2.0
6,65.68,560.38,289.868,30.8599,20,54.3,3.0
6,65.68,560.38,682.852,36.479,20,55.3,4.0
6,65.68,560.38,839.075,40.9056,20,56.3,5.0
6,65.68,560.38,2347.09,58.2592,20,58.3,7.0
7,72.28,1057.43,3.98428,4.05276,20,52.3,1.0
7,72.28,1057.43,10.5758,4.30096,20,53.3,2.0
7,72.28,1057.43,21.3928,4.91191,20,54.3,3.0
7,72.28,1057.43,29.5616,5.23992,20,55.3,4.0
7,72.28,1057.43,42.6785,6.50326,20,56.3,5.0
7,72.28,1057.43,79.509,7.57106,20,58.3,7.0
8,73.47,817.96,53.338,21.5036,20,52.3,1.0
8,73.47,817.96,140.877,22.9664,20,53.3,2.0
8,73.47,817.96,287.195,25.6573,20,54.3,3.0
8,73.47,817.96,442.886,28.8356,20,55.3,4.0
8,73.47,817.96,662.677,34.5486,20,56.3,5.0
8,73.47,817.96,1710.33,102.286,20,58.3,7.0
9,76.66,104.65,0.920072,6.02941,20,52.3,1.0
9,76.66,104.65,9.33637,6.06912,20,53.3,2.0
9,76.66,104.65,22.4874,6.97835,20,54.3,3.0
9,76.66,104.65,38.8539,7.65538,20,55.3,4.0
9,76.66,104.65,68.1061,8.74095,20,56.3,5.0
9,76.66,104.65,133.683,11.0755,20,58.3,7.0
10,94.76,363.72,1.5079,6.47796,20,52.3,1.0
10,94.76,363.72,2.31283,7.23141,20,53.3,2.0
10,94.76,363.72,17.1746,8.09859,20,54.3,3.0
10,94.76,363.72,32.5937,8.85015,20,55.3,4.0
10,94.76,363.72,62.1819,10.0938,20,56.3,5.0
10,94.76,363.72,125.711,12.657,20,58.3,7.0
11,114.43,329.33,1.17985,2.01805,20,52.3,1.0
11,114.43,329.33,2.60917,2.25953,20,53.3,2.0
11,114.43,329.33,5.9195,2.49397,20,54.3,3.0
11,114.43,329.33,7.54051,2.622,20,55.3,4.0
11,114.43,329.33,10.0593,3.03865,20,56.3,5.0
11,114.43,329.33,23.1389,3.77119,20,58.3,7.0
12,138.04,265.3,6.31039,5.72561,20,52.3,1.0
12,138.04,265.3,22.1448,6.63042,20,53.3,2.0
12,138.04,265.3,44.7484,7.84373,20,54.3,3.0
12,138.04,265.3,66.5349,8.58472,20,55.3,4.0
12,138.04,265.3,96.9515,9.52869,20,56.3,5.0
12,138.04,265.3,165.01,11.3923,20,58.3,7.0
13,158.17,919.94,15.0037,10.1968,20,52.3,1.0
13,158.17,919.94,52.2289,11.1194,20,53.3,2.0
13,158.17,919.94,87.0166,12.4917,20,54.3,3.0
13,158.17,919.94,135.347,13.7156,20,55.3,4.0
13,158.17,919.94,199.72,15.7918,20,56.3,5.0
13,158.17,919.94,323.72,20.1055,20,58.3,7.0
14,182.3,951.9,9.81458,16.5481,20,52.3,1.0
14,182.3,951.9,50.3208,18.3171,20,53.3,2.0
14,182.3,951.9,141.011,20.2999,20,54.3,3.0
14,182.3,951.9,280.401,21.4922,20,55.3,4.0
14,182.3,951.9,462.8,25.7328,20,56.3,5.0
14,182.3,951.9,1098.25,33.9418,20,58.3,7.0
15,180.08,179.16,110.98,46.5865,20,52.3,1.0
15,180.08,179.16,435.928,51.7296,20,53.3,2.0
15,180.08,179.16,1017.98,59.7509,20,54.3,3.0
15,180.08,179.16,1932.2,64.8477,20,55.3,4.0
15,180.08,179.16,3362.56,77.9837,20,56.3,5.0
15,180.08,179.16,8095.57,111.501,20,58.3,7.0
16,195.72,527.12,8.57896,11.9772,20,52.3,1.0
16,195.72,527.12,31.3456,13.3993,20,53.3,2.0
16,195.72,527.12,63.0895,14.6746,20,54.3,3.0
16,195.72,527.12,133.253,16.2024,20,55.3,4.0
16,195.72,527.12,209.675,18.5991,20,56.3,5.0
16,195.72,527.12,496.266,22.9775,20,58.3,7.0
17,195.45,63.59,10.0453,7.11542,20,52.3,1.0
17,195.45,63.59,33.207,8.37235,20,53.3,2.0
17,195.45,63.59,65.4059,9.51674,20,54.3,3.0
17,195.45,63.59,97.8434,10.4399,20,55.3,4.0
17,195.45,63.59,142.486,11.8034,20,56.3,5.0
17,195.45,63.59,240.746,14.8784,20,58.3,7.0
18,222.18,926.46,0.799453,1.90567,20,52.3,1.0
18,222.18,926.46,1.38871,2.09848,20,53.3,2.0
18,222.18,926.46,4.08893,2.62118,20,54.3,3.0
18,222.18,926.46,7.65793,2.59069,20,55.3,4.0
18,222.18,926.46,10.3318,2.68625,20,56.3,5.0
18,222.18,926.46,24.3013,3.40896,20,58.3,7.0
19,229.17,91.39,1.19496,3.37152,20,52.3,1.0
19,229.17,91.39,5.19257,3.70876,20,53.3,2.0
19,229.17,91.39,13.7106,4.12357,20,54.3,3.0
19,229.17,91.39,21.006,4.17801,20,55.3,4.0
19,229.17,91.39,31.1781,5.14906,20,56.3,5.0
19,229.17,91.39,70.8422,5.96764,20,58.3,7.0
20,237.19,763.56,2.31087,4.53689,20,52.3,1.0
20,237.19,763.56,5.60938,5.07657,20,53.3,2.0
20,237.19,763.56,12.8832,5.59938,20,54.3,3.0
20,237.19,763.56,22.518,6.11917,20,55.3,4.0
20,237.19,763.56,39.3261,6.98811,20,56.3,5.0
20,237.19,763.56,91.2791,8.56603,20,58.3,7.0
21,235.14,250.7,27.3978,20.1205,20,52.3,1.0
21,235.14,250.7,76.6173,22.6329,20,53.3,2.0
21,235.14,250.7,145.171,25.5498,20,54.3,3.0
21,235.14,250.7,219.375,26.7562,20,55.3,4.0
21,235.14,250.7,325.324,31.6937,20,56.3,5.0
21,235.14,250.7,1716.32,97.0216,20,58.3,7.0
22,253.94,358.21,17.339,14.7619,20,52.3,1.0
