spot,x,y,luminosity,error,T,v
0,3.7,741.85,63.3644,5.86628,17,5
0,3.7,741.85,73.0694,6.06538,19,5
0,3.7,741.85,88.3698,6.61895,21,5
0,3.7,741.85,97.1034,6.50909,23,5
1,60.62,539.16,367.179,19.432,17,5
1,60.62,539.16,426.622,20.3373,19,5
1,60.62,539.16,491.701,21.2757,21,5
1,60.62,539.16,544.899,21.568,23,5
2,62.51,1072.56,179.823,15.0144,17,5
2,62.51,1072.56,192.738,15.0605,19,5
2,62.51,1072.56,316.144,15.883,21,5
2,62.51,1072.56,383.217,15.8308,23,5
3,61.47,581.68,2930.48,48.0166,17,5
3,61.47,581.68,3328.05,48.8072,19,5
3,61.47,581.68,3733.84,53.21,21,5
3,61.47,581.68,4154.93,51.7727,23,5
4,66.57,559.79,760.703,30.621,17,5
4,66.57,559.79,923.373,32.0204,19,5
4,66.57,559.79,1184.86,36.3531,21,5
4,66.57,559.79,1370.42,34.2957,23,5
5,70.2,1057.09,30.4868,5.1663,17,5
5,70.2,1057.09,40.1572,5.13195,19,5
5,70.2,1057.09,44.1904,5.48609,21,5
5,70.2,1057.09,54.3649,5.39271,23,5
6,73.1,817.94,1369.04,71.5601,17,5
6,73.1,817.94,621.446,23.4911,19,5
6,73.1,817.94,769.993,25.1548,21,5
6,73.1,817.94,860.556,25.7223,23,5
7,80.94,104.89,46.1269,6.34823,17,5
7,80.94,104.89,54.1285,6.52969,19,5
7,80.94,104.89,65.0165,6.53778,21,5
7,80.94,104.89,64.5758,6.47403,23,5
8,96.9,363.54,180.809,14.0514,17,5
8,96.9,363.54,215.126,14.6644,19,5
8,96.9,363.54,252.315,15.5702,21,5
8,96.9,363.54,281.281,15.6477,23,5
9,140.73,265.66,37.278,5.11781,17,5
9,140.73,265.66,37.2669,5.02249,19,5
9,140.73,265.66,48.2581,5.5666,21,5
9,140.73,265.66,50.3105,5.64988,23,5
10,157.34,920.18,180.35,14.064,17,5
10,157.34,920.18,218.866,14.1885,19,5
10,157.34,920.18,248.216,14.5689,21,5
10,157.34,920.18,300.59,15.937,23,5
11,180.6,951.9,357.743,17.5835,17,5
11,180.6,951.9,416.749,18.5724,19,5
11,180.6,951.9,494.647,19.6022,21,5
11,180.6,951.9,569.063,20.1319,23,5
12,183.4,179.67,4218.35,57.36,17,5
12,183.4,179.67,4592.03,59.2335,19,5
12,183.4,179.67,5062.93,62.3592,21,5
12,183.4,179.67,5561.21,62.7686,23,5
13,197.07,527.49,207.329,14.5832,17,5
13,197.07,527.49,237.107,14.0152,19,5
13,197.07,527.49,263.05,14.9874,21,5
13,197.07,527.49,296.935,15.9265,23,5
14,199.7,64.11,87.6705,10.6788,17,5
14,199.7,64.11,106.719,10.4259,19,5
14,199.7,64.11,125.619,11.7018,21,5
14,199.7,64.11,179.466,11.8553,23,5
15,233.04,92.72,7.55707,2.18116,17,5
15,233.04,92.72,11.7318,2.16527,19,5
15,233.04,92.72,12.9589,2.34592,21,5
15,233.04,92.72,15.8405,2.45545,23,5
17,238.46,251.28,694.946,24.8927,17,5
17,238.46,251.28,784.838,26.3967,19,5
17,238.46,251.28,891.938,27.8452,21,5
17,238.46,251.28,952.506,29.6405,23,5
18,255.61,358.47,320.432,15.5565,17,5
18,255.61,358.47,350.595,15.501,19,5
18,255.61,358.47,412.057,16.7674,21,5
18,255.61,358.47,440.618,18.0833,23,5
20,337.6,294.56,16.3461,4.58351,17,5
20,337.6,294.56,25.8705,4.59113,19,5
20,337.6,294.56,26.809,4.749,21,5
20,337.6,294.56,35.4095,4.78808,23,5
21,350.06,48.04,11.9797,2.45544,17,5
21,350.06,48.04,11.1657,2.36208,19,5
21,350.06,48.04,11.5639,2.60727,21,5
21,350.06,48.04,14.6934,2.55197,23,5
22,362.6,853.46,136.616,12.5415,17,5
22,362.6,853.46,195.276,12.911,19,5
22,362.6,853.46,195.474,14.2436,21,5
22,362.6,853.46,223.232,14.0617,23,5
24,420.4,555.59,11.3795,3.37011,17,5
24,420.4,555.59,14.2934,3.28625,19,5
24,420.4,555.59,17.9361,3.61925,21,5
24,420.4,555.59,19.1597,3.71792,23,5
25,422.11,954.34,148.995,11.2305,17,5
25,422.11,954.34,177.881,11.4735,19,5
25,422.11,954.34,193.843,12.534,21,5
25,422.11,954.34,226.811,12.6853,23,5
26,425.73,78.97,92.223,9.73938,17,5
26,425.73,78.97,110.4,10.0046,19,5
26,425.73,78.97,123.166,10.5681,21,5
26,425.73,78.97,136.967,10.5868,23,5
27,432.65,492.83,644.122,24.0989,17,5
27,432.65,492.83,765.054,24.4523,19,5
27,432.65,492.83,884.559,26.5862,21,5
27,432.65,492.83,1017.78,26.6488,23,5
28,460.84,773.3,46.0782,6.29748,17,5
28,460.84,773.3,51.5765,6.33887,19,5
28,460.84,773.3,65.5674,7.07601,21,5
28,460.84,773.3,76.1998,6.83008,23,5
29,490.63,103.76,1195.76,32.2289,17,5
29,490.63,103.76,1359.96,32.6322,19,5
29,490.63,103.76,1529.71,34.5351,21,5
29,490.63,103.76,1745.18,35.6685,23,5
30,504.7,15.25,18.8242,3.80272,17,5
30,504.7,15.25,18.0378,3.71662,19,5
30,504.7,15.25,23.1936,4.19409,21,5
30,504.7,15.25,27.4835,4.26148,23,5
31,510.01,1004.14,44.976,8.98103,17,5
31,510.01,1004.14,54.7734,10.1513,19,5
31,510.01,1004.14,66.8861,10.4228,21,5
31,510.01,1004.14,75.5472,10.0261,23,5
32,510.32,144.63,115.192,12.0086,17,5
32,510.32,144.63,128.914,12.657,19,5
32,510.32,144.63,160.53,12.9299,21,5
32,510.32,144.63,194.445,13.5729,23,5
34,520.58,887.76,1067.44,27.0715,17,5
34,520.58,887.76,1213.01,27.4463,19,5
34,520.58,887.76,1142.45,41.9159,21,5
34,520.58,887.76,1035.16,45.3718,23,5
35,600.08,532.39,17.219,4.01801,17,5
35,600.08,532.39,20.1729,4.11588,19,5
35,600.08,532.39,24.9929,4.60583,21,5
35,600.08,532.39,30.3872,4.2413,23,5
36,612.2,340.47,13.6397,4.07893,17,5
36,612.2,340.47,19.4307,3.79565,19,5
36,612.2,340.47,21.0657,4.29022,21,5
36,612.2,340.47,25.1447,4.31077,23,5
37,616.12,1037.77,15.6333,3.60857,17,5
37,616.12,1037.77,17.58,3.24699,19,5
37,616.12,1037.77,21.3265,3.62215,21,5
37,616.12,1037.77,21.3427,3.50878,23,5
38,632.6,59.57,266.82,14.7649,17,5
38,632.6,59.57,311.03,14.9072,19,5
38,632.6,59.57,358.576,15.7525,21,5
38,632.6,59.57,400.336,16.3045,23,5
39,641.92,920.85,32.7477,5.34631,17,5
39,641.92,920.85,37.1164,5.21293,19,5
39,641.92,920.85,44.7624,5.38656,21,5
39,641.92,920.85,53.7039,5.48628,23,5
40,652.34,444.47,88.9421,9.34135,17,5
40,652.34,444.47,104.342,9.37691,19,5
40,652.34,444.47,124.665,10.2196,21,5
