spot,x,y,luminosity,error,T,v
0,3.68,741.82,74.0162,6.79878,17,5
0,3.68,741.82,87.3774,6.65762,19,5
0,3.68,741.82,110.723,7.07341,21,5
0,3.68,741.82,126.871,7.12257,23,5
1,5.4,453.54,24.9489,7.56444,17,5
1,5.4,453.54,39.2069,7.66282,19,5
1,5.4,453.54,42.6696,8.12284,21,5
1,5.4,453.54,36.3261,8.01037,23,5
2,62.55,1072.54,234.034,7.97909,17,5
2,62.55,1072.54,249.924,7.92164,19,5
2,62.55,1072.54,394.533,8.28617,21,5
2,62.55,1072.54,483.682,8.22863,23,5
3,62.56,572.86,3672.04,11.9066,17,5
3,62.56,572.86,4255.94,16.7665,19,5
3,62.56,572.86,4918.94,14.8696,21,5
3,62.56,572.86,5523.13,14.5306,23,5
4,73.12,817.92,1475.69,20.0551,17,5
4,73.12,817.92,663.385,9.20308,19,5
4,73.12,817.92,828.393,9.75046,21,5
4,73.12,817.92,924.883,9.59863,23,5
5,81.03,104.88,57.4092,9.10053,17,5
5,81.03,104.88,63.2728,9.30207,19,5
5,81.03,104.88,76.4772,9.40146,21,5
5,81.03,104.88,81.6213,9.57394,23,5
6,96.94,363.66,220.137,10.7293,17,5
6,96.94,363.66,263.02,10.9399,19,5
6,96.94,363.66,315.156,10.4437,21,5
6,96.94,363.66,343.117,10.291,23,5
7,116.69,329.45,23.2012,8.44727,17,5
7,116.69,329.45,30.5687,8.48721,19,5
7,116.69,329.45,43.0789,8.87001,21,5
7,116.69,329.45,37.7299,8.86635,23,5
8,140.69,265.63,67.1987,8.86039,17,5
8,140.69,265.63,47.637,8.60336,19,5
8,140.69,265.63,72.9073,9.39733,21,5
8,140.69,265.63,77.875,9.24694,23,5
9,157.41,920.17,213.853,8.4409,17,5
9,157.41,920.17,247.416,8.33881,19,5
9,157.41,920.17,275.123,8.69047,21,5
9,157.41,920.17,326.423,8.80608,23,5
10,180.68,951.97,392.474,9.0038,17,5
10,180.68,951.97,467.199,9.01445,19,5
10,180.68,951.97,546.078,9.46759,21,5
10,180.68,951.97,633.587,9.51006,23,5
11,183.38,179.65,4296.13,9.45552,17,5
11,183.38,179.65,4680.09,9.72574,19,5
11,183.38,179.65,5160.06,10.1711,21,5
11,183.38,179.65,5667.13,9.89097,23,5
12,197.06,527.46,227.656,8.819,17,5
12,197.06,527.46,274.42,8.78203,19,5
12,197.06,527.46,302.38,9.23154,21,5
12,197.06,527.46,343.391,9.52009,23,5
13,199.71,64.05,102.804,8.22772,17,5
13,199.71,64.05,126.644,8.26574,19,5
13,199.71,64.05,140.662,8.86526,21,5
13,199.71,64.05,209.962,8.74409,23,5
14,221.27,926.97,12.1929,8.54795,17,5
14,221.27,926.97,11.7132,9.26533,19,5
14,221.27,926.97,21.2004,9.14078,21,5
14,221.27,926.97,28.5653,9.02451,23,5
15,232.87,92.77,26.0233,9.70236,17,5
15,232.87,92.77,27.2926,11.1525,19,5
15,232.87,92.77,23.4478,12.6557,21,5
15,232.87,92.77,38.0063,11.4044,23,5
16,236.85,764.7,17.9703,8.32989,17,5
16,236.85,764.7,10.1704,8.24693,19,5
16,236.85,764.7,12.3232,8.67402,21,5
16,236.85,764.7,20.6484,8.74455,23,5
17,238.43,251.33,750.263,8.84517,17,5
17,238.43,251.33,840.097,9.01769,19,5
17,238.43,251.33,961.568,9.27691,21,5
17,238.43,251.33,1020.61,9.95806,23,5
18,255.75,358.52,365.763,8.33604,17,5
18,255.75,358.52,405.675,8.21789,19,5
18,255.75,358.52,464.656,8.93912,21,5
18,255.75,358.52,507.15,8.84759,23,5
19,265.11,502.54,8.44585,8.41964,17,5
19,265.11,502.54,18.4976,8.37836,19,5
19,265.11,502.54,18.7831,8.5465,21,5
19,265.11,502.54,17.4838,8.8714,23,5
20,277.21,26.23,25.1286,8.23559,17,5
20,277.21,26.23,18.9522,8.44178,19,5
20,277.21,26.23,18.2008,8.69556,21,5
20,277.21,26.23,19.107,8.75692,23,5
21,295.23,298.06,14.5697,8.75362,17,5
21,295.23,298.06,31.1483,8.69784,19,5
21,295.23,298.06,35.3378,8.98218,21,5
21,295.23,298.06,36.7765,8.92558,23,5
22,337.68,294.51,44.3294,8.18871,17,5
22,337.68,294.51,54.2556,8.13525,19,5
22,337.68,294.51,53.4883,8.45928,21,5
22,337.68,294.51,82.0472,8.44502,23,5
23,349.94,47.75,34.3795,8.68534,17,5
23,349.94,47.75,40.2619,8.6084,19,5
23,349.94,47.75,36.735,8.909,21,5
23,349.94,47.75,42.8902,9.02135,23,5
24,362.6,853.42,166.998,8.21674,17,5
24,362.6,853.42,224.098,8.28133,19,5
24,362.6,853.42,239.687,8.72109,21,5
24,362.6,853.42,276.813,8.7394,23,5
25,377.3,376.36,41.9776,8.12239,17,5
25,377.3,376.36,52.5618,8.36289,19,5
25,377.3,376.36,51.7833,8.55767,21,5
25,377.3,376.36,68.1974,8.86374,23,5
26,415.66,765.48,15.4797,8.61721,17,5
26,415.66,765.48,2.85974,8.59139,19,5
26,415.66,765.48,27.7537,9.03757,21,5
26,415.66,765.48,13.9631,9.2277,23,5
27,420.52,555.49,14.0887,8.02448,17,5
27,420.52,555.49,30.8983,8.10871,19,5
27,420.52,555.49,26.502,8.43835,21,5
27,420.52,555.49,55.0708,8.63372,23,5
28,422.15,954.39,172.601,8.17527,17,5
28,422.15,954.39,210.026,8.14014,19,5
28,422.15,954.39,230.824,8.46583,21,5
28,422.15,954.39,269.657,8.68374,23,5
29,425.77,79.02,122.969,8.36908,17,5
29,425.77,79.02,153.552,8.47826,19,5
