spot,x,y,luminosity,error,T,v,v_fin
0,2.11,737.72,2.79898,3.08163,20,52.3,1.0
0,2.11,737.72,7.335,3.32804,20,53.3,2.0
0,2.11,737.72,14.8456,3.59719,20,54.3,3.0
0,2.11,737.72,26.5376,3.65767,20,55.3,4.0
0,2.11,737.72,41.3707,4.09573,20,56.3,5.0
0,2.11,737.72,77.8135,5.03429,20,58.3,7.0
1,2.99,449.56,0.439787,2.44765,20,52.3,1.0
1,2.99,449.56,1.60102,2.57527,20,53.3,2.0
1,2.99,449.56,3.80536,2.70782,20,54.3,3.0
1,2.99,449.56,10.263,2.93404,20,55.3,4.0
1,2.99,449.56,15.4809,3.26727,20,56.3,5.0
1,2.99,449.56,32.3939,3.81112,20,58.3,7.0
2,38.7,639.62,-0.615814,1.88003,20,52.3,1.0
2,38.7,639.62,0.50604,1.97706,20,53.3,2.0
2,38.7,639.62,2.8528,2.2837,20,54.3,3.0
2,38.7,639.62,4.80426,2.48378,20,55.3,4.0
2,38.7,639.62,9.68973,2.667,20,56.3,5.0
2,38.7,639.62,20.1681,3.19435,20,58.3,7.0
3,57.73,535.05,42.4099,18.9559,20,52.3,1.0
3,57.73,535.05,138.729,20.2116,20,53.3,2.0
3,57.73,535.05,274.0,21.7283,20,54.3,3.0
3,57.73,535.05,426.932,24.0038,20,55.3,4.0
3,57.73,535.05,603.703,27.3053,20,56.3,5.0
3,57.73,535.05,1111.01,36.5258,20,58.3,7.0
4,58.39,1068.87,16.3334,13.8093,20,52.3,1.0
4,58.39,1068.87,73.5622,13.8621,20,53.3,2.0
4,58.39,1068.87,152.528,15.2094,20,54.3,3.0
4,58.39,1068.87,231.696,16.2054,20,55.3,4.0
4,58.39,1068.87,322.569,18.3068,20,56.3,5.0
4,58.39,1068.87,561.356,23.2136,20,58.3,7.0
5,58.49,577.24,110.545,31.2166,20,52.3,1.0
5,58.49,577.24,374.963,32.2067,20,53.3,2.0
5,58.49,577.24,762.234,35.6336,20,54.3,3.0
5,58.49,577.24,1278.74,39.0578,20,55.3,4.0
5,58.49,577.24,1886.43,45.5976,20,56.3,5.0
5,58.49,577.24,3679.57,63.857,20,58.3,7.0
6,63.43,556.03,36.012,24.765,20,52.3,1.0
6,63.43,556.03,127.655,24.7077,20,53.3,2.0
6,63.43,556.03,345.61,28.5006,20,54.3,3.0
6,63.43,556.03,576.304,29.9986,20,55.3,4.0
6,63.43,556.03,873.549,34.3108,20,56.3,5.0
6,63.43,556.03,2205.37,49.3461,20,58.3,7.0
7,65.8,1053.01,4.58691,4.43692,20,52.3,1.0
7,65.8,1053.01,8.38769,4.41199,20,53.3,2.0
7,65.8,1053.01,20.6557,4.73355,20,54.3,3.0
7,65.8,1053.01,27.0844,5.17107,20,55.3,4.0
7,65.8,1053.01,45.2549,5.74363,20,56.3,5.0
7,65.8,1053.01,83.8432,7.37925,20,58.3,7.0
8,69.23,813.71,40.6783,25.6813,20,52.3,1.0
8,69.23,813.71,138.04,26.4408,20,53.3,2.0
8,69.23,813.71,262.733,29.4261,20,54.3,3.0
8,69.23,813.71,425.546,31.7203,20,55.3,4.0
8,69.23,813.71,632.157,35.8063,20,56.3,5.0
8,69.23,813.71,2378.82,140.384,20,58.3,7.0
9,78.31,100.8,5.64923,6.05904,20,52.3,1.0
9,78.31,100.8,13.1074,6.4124,20,53.3,2.0
9,78.31,100.8,28.6781,7.45211,20,54.3,3.0
9,78.31,100.8,43.3326,7.38656,20,55.3,4.0
9,78.31,100.8,75.2937,8.64908,20,56.3,5.0
9,78.31,100.8,157.088,11.051,20,58.3,7.0
10,94.26,359.82,-1.01571,12.7697,20,52.3,1.0
10,94.26,359.82,11.393,14.1398,20,53.3,2.0
10,94.26,359.82,57.3404,15.4407,20,54.3,3.0
10,94.26,359.82,107.589,16.0435,20,55.3,4.0
10,94.26,359.82,172.615,17.2597,20,56.3,5.0
10,94.26,359.82,333.34,21.6247,20,58.3,7.0
11,114.26,324.08,1.89931,2.60012,20,52.3,1.0
11,114.26,324.08,3.23481,2.5772,20,53.3,2.0
11,114.26,324.08,7.55149,2.7865,20,54.3,3.0
11,114.26,324.08,10.1042,3.32006,20,55.3,4.0
11,114.26,324.08,11.5339,3.41066,20,56.3,5.0
11,114.26,324.08,25.8059,4.02209,20,58.3,7.0
12,138.27,261.67,4.37762,4.69665,20,52.3,1.0
12,138.27,261.67,10.2398,4.92383,20,53.3,2.0
12,138.27,261.67,20.5827,5.14412,20,54.3,3.0
12,138.27,261.67,32.2889,5.6132,20,55.3,4.0
12,138.27,261.67,41.0116,6.26965,20,56.3,5.0
