spot,x,y,luminosity,error,T,v
0,1.97,739.88,34.8067,3.78461,17,5
0,1.97,739.88,36.5075,3.76867,19,5
0,1.97,739.88,34.9319,3.51999,21,5
0,1.97,739.88,41.9552,3.61103,23,5
1,57.02,537.01,471.849,21.4336,17,5
1,57.02,537.01,550.05,21.8419,19,5
1,57.02,537.01,590.518,21.9656,21,5
1,57.02,537.01,661.809,22.5172,23,5
2,57.72,1070.54,252.022,17.471,17,5
2,57.72,1070.54,305.099,17.7186,19,5
2,57.72,1070.54,355.289,17.206,21,5
2,57.72,1070.54,421.421,17.3263,23,5
3,57.79,579.53,1630.31,39.4508,17,5
3,57.79,579.53,1767.6,38.0323,19,5
3,57.79,579.53,1949.39,39.2385,21,5
3,57.79,579.53,2182.42,39.3686,23,5
4,62.94,557.55,764.941,30.2171,17,5
4,62.94,557.55,1018.05,29.965,19,5
4,62.94,557.55,996.957,32.3976,21,5
4,62.94,557.55,1164.37,31.8881,23,5
5,65.15,1055.14,32.4606,5.86949,17,5
5,65.15,1055.14,36.6971,6.00633,19,5
5,65.15,1055.14,48.3098,5.74918,21,5
5,65.15,1055.14,54.7172,5.80406,23,5
6,68.75,815.65,831.916,58.6387,17,5
6,68.75,815.65,542.78,24.7186,19,5
6,68.75,815.65,631.502,24.7949,21,5
6,68.75,815.65,742.305,24.7587,23,5
7,78.15,102.63,61.4895,7.64393,17,5
7,78.15,102.63,55.6579,7.45491,19,5
7,78.15,102.63,68.9451,7.86723,21,5
7,78.15,102.63,78.2885,7.83932,23,5
8,93.74,361.34,118.209,12.7494,17,5
8,93.74,361.34,147.228,12.4662,19,5
8,93.74,361.34,170.032,12.0246,21,5
8,93.74,361.34,196.438,12.4745,23,5
9,137.92,263.86,30.6919,4.93024,17,5
9,137.92,263.86,32.724,4.89526,19,5
9,137.92,263.86,38.7048,5.02397,21,5
9,137.92,263.86,39.6589,4.97607,23,5
10,152.77,918.19,319.54,18.8683,17,5
10,152.77,918.19,361.528,18.9901,19,5
10,152.77,918.19,422.586,18.5661,21,5
10,152.77,918.19,506.837,19.6165,23,5
11,175.95,950.02,365.475,19.0165,17,5
11,175.95,950.02,427.225,18.8152,19,5
11,175.95,950.02,501.814,18.8069,21,5
11,175.95,950.02,585.873,19.3121,23,5
12,180.67,177.87,4239.65,61.3543,17,5
12,180.67,177.87,4632.04,63.6239,19,5
12,180.67,177.87,5117.76,64.828,21,5
12,180.67,177.87,5597.66,64.1493,23,5
13,193.41,525.85,218.027,16.118,17,5
13,193.41,525.85,241.767,15.88,19,5
13,193.41,525.85,282.021,15.6394,21,5
13,193.41,525.85,331.509,16.3386,23,5
14,197.3,62.27,85.3946,9.36799,17,5
14,197.3,62.27,103.504,9.02445,19,5
14,197.3,62.27,127.574,8.92214,21,5
14,197.3,62.27,149.825,9.24848,23,5
15,230.58,90.66,38.7852,5.74928,17,5
15,230.58,90.66,48.4567,5.80303,19,5
15,230.58,90.66,50.593,5.67977,21,5
15,230.58,90.66,65.6508,5.47233,23,5
16,232.82,762.93,16.4905,3.60444,17,5
16,232.82,762.93,19.6038,3.54974,19,5
16,232.82,762.93,23.0046,3.51285,21,5
16,232.82,762.93,27.6026,3.52759,23,5
17,235.55,249.56,634.738,31.1303,17,5
17,235.55,249.56,622.882,30.0955,19,5
17,235.55,249.56,1011.57,30.799,21,5
17,235.55,249.56,1091.01,32.2099,23,5
18,252.57,356.72,155.851,12.3049,17,5
