spot,x,y,luminosity,error,T,v
0,297.16,458.04,24.1083,6.41302,16.0,7.0
0,297.16,458.04,63.8976,6.30288,16.0,9.0
0,297.16,458.04,24.4534,6.49064,18.0,7.0
0,297.16,458.04,63.2638,6.21935,18.0,9.0
0,297.16,458.04,22.7269,6.45001,20.0,7.0
0,297.16,458.04,69.3564,6.45425,20.0,9.0
0,297.16,458.04,31.9477,6.46504,22.0,7.0
0,297.16,458.04,79.9069,6.45643,22.0,9.0
1,370.72,506.72,70.456,5.64952,16.0,7.0
1,370.72,506.72,181.927,5.50828,16.0,9.0
1,370.72,506.72,96.544,5.7041,18.0,7.0
1,370.72,506.72,201.532,5.58976,18.0,9.0
1,370.72,506.72,109.779,5.66319,20.0,7.0
1,370.72,506.72,229.217,5.59833,20.0,9.0
1,370.72,506.72,118.4,5.7534,22.0,7.0
1,370.72,506.72,258.367,5.66573,22.0,9.0
2,500.82,813.15,155.483,6.19459,16.0,7.0
2,500.82,813.15,311.589,6.16865,16.0,9.0
2,500.82,813.15,175.419,6.22686,18.0,7.0
2,500.82,813.15,341.249,6.22763,18.0,9.0
2,500.82,813.15,207.36,6.20638,20.0,7.0
2,500.82,813.15,408.807,6.29468,20.0,9.0
2,500.82,813.15,222.582,6.37888,22.0,7.0
2,500.82,813.15,467.009,6.30081,22.0,9.0
3,574.84,853.64,369.913,6.35676,16.0,7.0
3,574.84,853.64,844.173,6.26639,16.0,9.0
3,574.84,853.64,416.267,6.40071,18.0,7.0
3,574.84,853.64,955.011,6.21013,18.0,9.0
3,574.84,853.64,478.629,6.26407,20.0,7.0
3,574.84,853.64,1111.41,6.43734,20.0,9.0
3,574.84,853.64,528.987,6.37296,22.0,7.0
3,574.84,853.64,1252.37,6.4663,22.0,9.0
4,683.7,69.55,49.0908,5.85662,16.0,7.0
4,683.7,69.55,123.781,5.73901,16.0,9.0
4,683.7,69.55,45.6496,5.81129,18.0,7.0
4,683.7,69.55,134.576,5.80279,18.0,9.0
4,683.7,69.55,56.7934,5.68797,20.0,7.0
