spot,x,y,luminosity,error,T,v
0,297.16,458.04,-2.76965,6.27428,20,2
0,297.16,458.04,-4.09682,6.33656,20,4
0,297.16,458.04,20.6399,6.47104,20,6
0,297.16,458.04,43.8031,6.23338,20,8
1,370.72,506.72,18.0495,5.43195,20,2
1,370.72,506.72,35.9697,5.52131,20,4
1,370.72,506.72,77.0059,5.52039,20,6
1,370.72,506.72,145.294,5.49938,20,8
2,500.82,813.15,24.2527,6.06483,20,2
2,500.82,813.15,72.9104,6.00475,20,4
2,500.82,813.15,151.213,6.04534,20,6
2,500.82,813.15,259.637,6.08942,20,8
3,574.84,853.64,35.3826,6.07041,20,2
3,574.84,853.64,137.965,6.00898,20,4
3,574.84,853.64,307.11,6.17753,20,6
3,574.84,853.64,675.19,6.08968,20,8
4,683.7,69.55,4.73233,5.73799,20,2
4,683.7,69.55,20.1275,5.71115,20,4
4,683.7,69.55,35.1449,5.74805,20,6
4,683.7,69.55,88.351,5.66946,20,8
5,844.9,69.81,9.8138,5.81967,20,2
5,844.9,69.81,2.86181,5.78096,20,4
5,844.9,69.81,7.11273,5.84679,20,6
5,844.9,69.81,25.0765,5.74933,20,8
6,1078.76,182.4,4.34069,5.88208,20,2
6,1078.76,182.4,21.6168,5.84665,20,4
6,1078.76,182.4,61.6841,5.75244,20,6
6,1078.76,182.4,183.797,5.77813,20,8
7,1138.88,649.41,5.28504,5.56003,20,2
7,1138.88,649.41,7.73797,5.51645,20,4
7,1138.88,649.41,23.9102,5.55896,20,6
7,1138.88,649.41,42.3838,5.59692,20,8
8,1205.53,225.4,-6.48855,5.95058,20,2
8,1205.53,225.4,9.50787,6.0281,20,4
8,1205.53,225.4,5.08364,5.89723,20,6
8,1205.53,225.4,23.7873,5.98934,20,8
9,1328.97,313.79,2.56993,5.94403,20,2
9,1328.97,313.79,4.19783,5.79748,20,4
9,1328.97,313.79,19.4334,5.9368,20,6
9,1328.97,313.79,46.2798,5.87536,20,8
10,1402.55,474.6,12.0218,6.43426,20,2
10,1402.55,474.6,12.2841,6.15173,20,4
10,1402.55,474.6,42.9877,6.22356,20,6
10,1402.55,474.6,72.1924,6.55901,20,8
11,1497.28,263.02,-1.68156,5.44827,20,2
11,1497.28,263.02,-3.15191,5.37219,20,4
11,1497.28,263.02,17.308,5.42624,20,6
11,1497.28,263.02,35.0641,5.47195,20,8
12,1808.82,174.94,7.89918,5.47783,20,2
12,1808.82,174.94,15.7541,5.48243,20,4
12,1808.82,174.94,34.3164,5.45828,20,6
12,1808.82,174.94,80.0521,5.52812,20,8
