spot,x,y,luminosity,error,T,v,v_fin,phase,detected
0.0,2.11,737.72,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
0.0,3.73,742.48,155.675,2.93802,20.0,58.3,7.0,annealing_T=75_h=25,True
0.0,4.09,740.56,174.734,3.01933,20.0,58.3,7.0,annealing_T=75_h=5,True
0.0,2.11,737.72,77.8135,2.17495,20.0,58.3,7.0,before_annealing,True
1.0,2.99,449.56,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
1.0,3.67,454.35,39.7734,2.31558,20.0,58.3,7.0,annealing_T=75_h=25,True
1.0,5.96,452.55,49.0065,2.58891,20.0,58.3,7.0,annealing_T=75_h=5,True
1.0,2.99,449.56,32.3939,1.86698,20.0,58.3,7.0,before_annealing,True
2.0,38.7,639.62,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
2.0,41.2,643.95,31.171,2.07811,20.0,58.3,7.0,annealing_T=75_h=25,True
2.0,38.7,639.62,0.0,0.0,20.0,58.3,7.0,annealing_T=75_h=5,False
2.0,38.7,639.62,20.1681,1.73139,20.0,58.3,7.0,before_annealing,True
3.0,55.35,537.92,441.786,4.94302,20.0,58.3,7.0,annealing_T=100_h=5,True
3.0,59.73,539.38,785.754,5.87,20.0,58.3,7.0,annealing_T=75_h=25,True
3.0,61.44,537.84,880.162,7.83602,20.0,58.3,7.0,annealing_T=75_h=5,True
3.0,57.73,535.05,1111.01,7.07287,20.0,58.3,7.0,before_annealing,True
4.0,55.89,1071.33,152.629,3.88567,20.0,58.3,7.0,annealing_T=100_h=5,True
4.0,64.47,1072.85,172.122,3.66112,20.0,58.3,7.0,annealing_T=75_h=25,True
4.0,63.1,1071.42,531.709,5.3799,20.0,58.3,7.0,annealing_T=75_h=5,True
4.0,58.39,1068.87,561.356,5.33321,20.0,58.3,7.0,before_annealing,True
5.0,56.09,580.08,5138.05,39.1926,20.0,58.3,7.0,annealing_T=100_h=5,True
5.0,60.73,581.57,3724.7,21.8621,20.0,58.3,7.0,annealing_T=75_h=25,True
5.0,61.87,580.07,7129.09,13.3879,20.0,58.3,7.0,annealing_T=75_h=5,True
5.0,58.49,577.24,3679.57,9.59164,20.0,58.3,7.0,before_annealing,True
6.0,60.92,558.81,1706.43,13.8757,20.0,58.3,7.0,annealing_T=100_h=5,True
6.0,65.68,560.38,2347.09,9.34953,20.0,58.3,7.0,annealing_T=75_h=25,True
6.0,67.38,558.85,2803.75,9.6232,20.0,58.3,7.0,annealing_T=75_h=5,True
6.0,63.43,556.03,2205.37,8.20089,20.0,58.3,7.0,before_annealing,True
7.0,63.87,1055.72,95.3116,3.41805,20.0,58.3,7.0,annealing_T=100_h=5,True
7.0,72.28,1057.43,79.509,3.01561,20.0,58.3,7.0,annealing_T=75_h=25,True
7.0,70.49,1055.87,79.2601,2.79753,20.0,58.3,7.0,annealing_T=75_h=5,True
7.0,65.8,1053.01,83.8432,2.64847,20.0,58.3,7.0,before_annealing,True
8.0,66.96,816.64,2713.44,34.428,20.0,58.3,7.0,annealing_T=100_h=5,True
8.0,73.47,817.96,1710.33,24.2451,20.0,58.3,7.0,annealing_T=75_h=25,True
8.0,73.63,816.52,5456.63,11.2671,20.0,58.3,7.0,annealing_T=75_h=5,True
8.0,69.23,813.71,2378.82,31.9368,20.0,58.3,7.0,before_annealing,True
9.0,75.92,103.44,267.321,4.38234,20.0,58.3,7.0,annealing_T=100_h=5,True
9.0,76.66,104.65,133.683,3.59446,20.0,58.3,7.0,annealing_T=75_h=25,True
9.0,80.99,103.41,137.683,3.88624,20.0,58.3,7.0,annealing_T=75_h=5,True
9.0,78.31,100.8,157.088,3.44113,20.0,58.3,7.0,before_annealing,True
10.0,90.51,361.95,21.511,2.07084,20.0,58.3,7.0,annealing_T=100_h=5,True
10.0,94.76,363.72,125.711,3.54733,20.0,58.3,7.0,annealing_T=75_h=25,True
10.0,97.6,362.54,503.036,4.87452,20.0,58.3,7.0,annealing_T=75_h=5,True
10.0,94.26,359.82,333.34,4.8186,20.0,58.3,7.0,before_annealing,True
11.0,114.26,324.08,0.0,0.0,20.0,58.3,7.0,annealing_T=100_h=5,False
11.0,114.43,329.33,23.1389,2.04322,20.0,58.3,7.0,annealing_T=75_h=25,True
11.0,117.87,328.49,23.5739,2.06159,20.0,58.3,7.0,annealing_T=75_h=5,True
11.0,114.26,324.08,25.8059,2.1434,20.0,58.3,7.0,before_annealing,True
12.0,135.63,264.43,156.331,3.40009,20.0,58.3,7.0,annealing_T=100_h=5,True
12.0,138.04,265.3,165.01,3.31693,20.0,58.3,7.0,annealing_T=75_h=25,True
12.0,141.17,264.27,66.7726,2.39784,20.0,58.3,7.0,annealing_T=75_h=5,True
12.0,138.27,261.67,69.4547,2.79724,20.0,58.3,7.0,before_annealing,True
13.0,150.87,919.03,365.704,4.26623,20.0,58.3,7.0,annealing_T=100_h=5,True
13.0,158.17,919.94,323.72,4.91578,20.0,58.3,7.0,annealing_T=75_h=25,True
13.0,157.63,918.9,417.068,4.73017,20.0,58.3,7.0,annealing_T=75_h=5,True
13.0,153.16,916.5,663.043,5.50109,20.0,58.3,7.0,before_annealing,True
14.0,174.46,951.29,1119.04,6.61757,20.0,58.3,7.0,annealing_T=100_h=5,True
