x,y,luminosity,error,T,v,spot
298.03,457.88,20.3884,2.79742,16.0,7.0,0
298.03,457.88,23.8684,2.77747,18.0,7.0,0
298.03,457.88,23.5255,2.90099,20.0,7.0,0
298.03,457.88,27.632,2.93634,22.0,7.0,0
369.73,506.07,69.8185,3.11393,16.0,7.0,1
369.73,506.07,82.0819,3.12319,18.0,7.0,1
369.73,506.07,93.4606,3.13455,20.0,7.0,1
369.73,506.07,100.165,3.14001,22.0,7.0,1
502.15,811.53,133.848,3.16844,16.0,7.0,2
502.15,811.53,158.138,3.23428,18.0,7.0,2
502.15,811.53,176.279,3.21919,20.0,7.0,2
502.15,811.53,195.807,3.21588,22.0,7.0,2
574.81,851.94,327.608,3.16651,16.0,7.0,3
574.81,851.94,368.67,3.18556,18.0,7.0,3
574.81,851.94,419.349,3.24788,20.0,7.0,3
574.81,851.94,467.987,3.23598,22.0,7.0,3
681.68,69.42,42.0479,2.99051,16.0,7.0,4
681.68,69.42,42.936,3.00641,18.0,7.0,4
681.68,69.42,52.0889,2.90384,20.0,7.0,4
681.68,69.42,60.2022,2.95823,22.0,7.0,4
845.61,69.6,6.44531,3.20247,16.0,7.0,5
845.61,69.6,4.78193,3.12647,18.0,7.0,5
845.61,69.6,12.1911,3.08833,20.0,7.0,5
845.61,69.6,14.5511,3.21807,22.0,7.0,5
1076.92,182.71,77.5562,3.56146,16.0,7.0,6
1076.92,182.71,82.452,3.62289,18.0,7.0,6
1076.92,182.71,95.4545,3.67541,20.0,7.0,6
1076.92,182.71,96.9338,3.67751,22.0,7.0,6
1141.22,646.88,19.5841,2.59117,16.0,7.0,7
1141.22,646.88,26.1923,2.56469,18.0,7.0,7
1141.22,646.88,30.4254,2.60578,20.0,7.0,7
1141.22,646.88,30.6242,2.65371,22.0,7.0,7
1330.59,313.09,17.5343,2.85254,16.0,7.0,8
1330.59,313.09,18.3891,2.90117,18.0,7.0,8
1330.59,313.09,23.2933,2.85658,20.0,7.0,8
1330.59,313.09,24.4911,2.94417,22.0,7.0,8
1405.28,475.68,35.8135,2.9858,16.0,7.0,9
1405.28,475.68,41.7607,3.01235,18.0,7.0,9
1405.28,475.68,46.2164,3.01541,20.0,7.0,9
1405.28,475.68,47.7379,3.11816,22.0,7.0,9
1498.72,262.79,14.3899,2.79574,16.0,7.0,10
1498.72,262.79,19.3784,2.82316,18.0,7.0,10
1498.72,262.79,20.0885,2.84504,20.0,7.0,10
1498.72,262.79,19.3939,2.89943,22.0,7.0,10
1811.47,172.1,35.1088,3.06177,16.0,7.0,11
1811.47,172.1,46.2365,3.03704,18.0,7.0,11
1811.47,172.1,43.6866,3.03771,20.0,7.0,11
1811.47,172.1,54.2973,3.07866,22.0,7.0,11
