x,y,luminosity,error,T,v,spot
298.03,457.88,20.3884,2.79742,16.0,7.0,0
297.13,458.12,44.4379,2.97355,16.0,9.0,0
298.03,457.88,23.8684,2.77747,18.0,7.0,0
297.13,458.12,53.7516,2.94173,18.0,9.0,0
298.03,457.88,23.5255,2.90099,20.0,7.0,0
297.13,458.12,59.1833,3.05596,20.0,9.0,0
298.03,457.88,27.632,2.93634,22.0,7.0,0
297.13,458.12,68.2134,3.01752,22.0,9.0,0
369.73,506.07,69.8185,3.11393,16.0,7.0,1
370.69,506.93,141.152,3.04544,16.0,9.0,1
369.73,506.07,82.0819,3.12319,18.0,7.0,1
370.69,506.93,155.735,3.10659,18.0,9.0,1
369.73,506.07,93.4606,3.13455,20.0,7.0,1
370.69,506.93,175.592,3.05883,20.0,9.0,1
369.73,506.07,100.165,3.14001,22.0,7.0,1
370.69,506.93,198.815,3.13815,22.0,9.0,1
385.84,493.9,0.0,0.0,16.0,7.0,2
385.84,493.9,15.9795,2.72338,16.0,9.0,2
385.84,493.9,0.0,0.0,18.0,7.0,2
385.84,493.9,14.4136,2.7816,18.0,9.0,2
385.84,493.9,0.0,0.0,20.0,7.0,2
385.84,493.9,20.0163,2.76491,20.0,9.0,2
385.84,493.9,0.0,0.0,22.0,7.0,2
385.84,493.9,24.0404,2.74855,22.0,9.0,2
502.15,811.53,133.848,3.16844,16.0,7.0,3
500.47,813.38,246.574,3.00208,16.0,9.0,3
502.15,811.53,158.138,3.23428,18.0,7.0,3
500.47,813.38,277.171,3.07238,18.0,9.0,3
502.15,811.53,176.279,3.21919,20.0,7.0,3
500.47,813.38,324.923,3.18225,20.0,9.0,3
502.15,811.53,195.807,3.21588,22.0,7.0,3
500.47,813.38,375.795,3.1635,22.0,9.0,3
572.61,829.6299999999999,0.0,0.0,16.0,7.0,4
572.61,829.63,26.7907,2.69852,16.0,9.0,4
572.61,829.6299999999999,0.0,0.0,18.0,7.0,4
572.61,829.63,27.0666,2.72815,18.0,9.0,4
572.61,829.6299999999999,0.0,0.0,20.0,7.0,4
572.61,829.63,30.6948,2.71462,20.0,9.0,4
572.61,829.6299999999999,0.0,0.0,22.0,7.0,4
572.61,829.63,34.1289,2.67572,22.0,9.0,4
574.81,851.94,327.608,3.16651,16.0,7.0,5
574.63,853.84,636.213,3.14729,16.0,9.0,5
574.81,851.94,368.67,3.18556,18.0,7.0,5
574.63,853.84,731.826,3.11548,18.0,9.0,5
574.81,851.94,419.349,3.24788,20.0,7.0,5
574.63,853.84,842.262,3.25113,20.0,9.0,5
574.81,851.94,467.987,3.23598,22.0,7.0,5
574.63,853.84,954.72,3.2334,22.0,9.0,5
681.68,69.42,42.0479,2.99051,16.0,7.0,6
684.0,69.28,88.927,2.95535,16.0,9.0,6
681.68,69.42,42.936,3.00641,18.0,7.0,6
684.0,69.28,99.3791,2.97688,18.0,9.0,6
681.68,69.42,52.0889,2.90384,20.0,7.0,6
684.0,69.28,115.903,3.10512,20.0,9.0,6
681.68,69.42,60.2022,2.95823,22.0,7.0,6
684.0,69.28,134.191,3.00254,22.0,9.0,6
845.61,69.6,6.44531,3.20247,16.0,7.0,7
844.59,70.54,35.1188,3.20582,16.0,9.0,7
845.61,69.6,4.78193,3.12647,18.0,7.0,7
844.59,70.54,37.1524,3.0336,18.0,9.0,7
845.61,69.6,12.1911,3.08833,20.0,7.0,7
844.59,70.54,39.9772,3.21279,20.0,9.0,7
845.61,69.6,14.5511,3.21807,22.0,7.0,7
844.59,70.54,32.1578,3.17524,22.0,9.0,7
1060.22,177.69,0.0,0.0,16.0,7.0,8
1060.22,177.69,18.9832,2.91014,16.0,9.0,8
1060.22,177.69,0.0,0.0,18.0,7.0,8
1060.22,177.69,15.8803,2.86064,18.0,9.0,8
1060.22,177.69,0.0,0.0,20.0,7.0,8
1060.22,177.69,20.6764,2.93715,20.0,9.0,8
1060.22,177.69,0.0,0.0,22.0,7.0,8
1060.22,177.69,23.7974,2.97652,22.0,9.0,8
1076.92,182.71,77.5562,3.56146,16.0,7.0,9
1078.83,182.34,188.633,3.50287,16.0,9.0,9
1076.92,182.71,82.452,3.62289,18.0,7.0,9
1078.83,182.34,222.323,3.56066,18.0,9.0,9
1076.92,182.71,95.4545,3.67541,20.0,7.0,9
1078.83,182.34,250.238,3.56039,20.0,9.0,9
1076.92,182.71,96.9338,3.67751,22.0,7.0,9
1078.83,182.34,273.22,3.70526,22.0,9.0,9
1141.22,646.88,19.5841,2.59117,16.0,7.0,10
1138.46,649.6,43.9637,2.55014,16.0,9.0,10
1141.22,646.88,26.1923,2.56469,18.0,7.0,10
1138.46,649.6,52.0788,2.61,18.0,9.0,10
1141.22,646.88,30.4254,2.60578,20.0,7.0,10
1138.46,649.6,59.9701,2.54736,20.0,9.0,10
1141.22,646.88,30.6242,2.65371,22.0,7.0,10
1138.46,649.6,64.1156,2.55244,22.0,9.0,10
1205.38,226.35,0.0,0.0,16.0,7.0,11
1205.38,226.35,15.2662,2.81272,16.0,9.0,11
1205.38,226.35,0.0,0.0,18.0,7.0,11
1205.38,226.35,17.1649,2.79953,18.0,9.0,11
1205.38,226.35,0.0,0.0,20.0,7.0,11
1205.38,226.35,17.8259,2.89339,20.0,9.0,11
1205.38,226.35,0.0,0.0,22.0,7.0,11
1205.38,226.35,21.0454,2.80482,22.0,9.0,11
1330.59,313.09,17.5343,2.85254,16.0,7.0,12
1327.94,314.16,37.4988,2.86107,16.0,9.0,12
1330.59,313.09,18.3891,2.90117,18.0,7.0,12
1327.94,314.16,40.6086,2.92853,18.0,9.0,12
1330.59,313.09,23.2933,2.85658,20.0,7.0,12
1327.94,314.16,48.5066,2.90252,20.0,9.0,12
1330.59,313.09,24.4911,2.94417,22.0,7.0,12
1327.94,314.16,54.7852,2.94468,22.0,9.0,12
1405.28,475.68,35.8135,2.9858,16.0,7.0,13
1402.25,474.52,71.3893,3.01908,16.0,9.0,13
1405.28,475.68,41.7607,3.01235,18.0,7.0,13
1402.25,474.52,79.7576,2.96454,18.0,9.0,13
1405.28,475.68,46.2164,3.01541,20.0,7.0,13
1402.25,474.52,87.1528,3.10412,20.0,9.0,13
1405.28,475.68,47.7379,3.11816,22.0,7.0,13
1402.25,474.52,104.238,3.0218,22.0,9.0,13
1498.72,262.79,14.3899,2.79574,16.0,7.0,14
1497.11,263.51,30.283,2.6754,16.0,9.0,14
1498.72,262.79,19.3784,2.82316,18.0,7.0,14
1497.11,263.51,36.336,2.65194,18.0,9.0,14
1498.72,262.79,20.0885,2.84504,20.0,7.0,14
1497.11,263.51,40.8271,2.71447,20.0,9.0,14
1498.72,262.79,19.3939,2.89943,22.0,7.0,14
1497.11,263.51,49.6648,2.74367,22.0,9.0,14
1811.47,172.1,35.1088,3.06177,16.0,7.0,15
1809.06,174.74,83.6324,2.84823,16.0,9.0,15
1811.47,172.1,46.2365,3.03704,18.0,7.0,15
1809.06,174.74,94.092,2.87495,18.0,9.0,15
1811.47,172.1,43.6866,3.03771,20.0,7.0,15
1809.06,174.74,107.516,2.86059,20.0,9.0,15
1811.47,172.1,54.2973,3.07866,22.0,7.0,15
1809.06,174.74,116.49,2.87405,22.0,9.0,15
