spot,x,y,phase,A,A_stat_error,B,B_stat_error,deltaB,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,66.59,807.73,annealing_T=75_h=25,42.6063,0.416243,1.73626,0.00674161,0.0388111,1214.67,4,303.667,1.05313e-261,0,3,9.48302e-09,1
1,79.86,94.69,annealing_T=75_h=25,0.631752,0.0595405,2.86748,0.0510166,0.3339,185.224,4,46.306,5.62887e-39,0,3,1.86403e-07,1
2,93.48,353.17,annealing_T=75_h=25,1.10524,0.0706947,2.64049,0.0347929,0.201221,111.987,4,27.9967,2.74287e-23,0,3,2.07715e-06,1
3,138.56,255.95,annealing_T=75_h=25,6.29083,0.243361,1.80761,0.0219759,0.104229,64.8103,4,16.2026,2.82116e-13,0,3,5.25067e-09,1
4,181.84,170.46,annealing_T=75_h=25,67.9338,0.168824,2.4442,0.00155191,0.0365345,9546.29,4,2386.57,0,0,3,7.2561e-09,1
5,192.74,518.47,annealing_T=75_h=25,3.67185,0.0773355,2.58417,0.0116029,0.0429981,226.282,4,56.5705,8.33612e-48,0,3,4.0253e-08,1
6,231.34,755.44,annealing_T=75_h=25,0.767865,0.105208,2.55681,0.0750456,0.54475,82.3479,4,20.587,5.53889e-17,0,3,7.25213e-08,1
7,236.29,242.27,annealing_T=75_h=25,17.7175,0.393944,1.86752,0.0151041,0.168067,4679.08,4,1169.77,0,0,3,5.68541e-08,1
8,252.84,349.72,annealing_T=75_h=25,8.60465,0.0976178,2.50456,0.00646626,0.0788448,346.749,4,86.6872,8.82871e-74,0,3,1.96852e-09,1
9,335.12,286.38,annealing_T=75_h=25,2.56715,0.155635,1.95612,0.0340778,0.207905,69.179,4,17.2947,3.38299e-14,0,3,2.26493e-06,1
10,355.75,845.56,annealing_T=75_h=25,2.95344,0.168348,2.17857,0.0318442,0.124709,52.704,4,13.176,9.82797e-11,0,3,3.71545e-08,1
11,374.33,368.39,annealing_T=75_h=25,1.42211,0.0730537,2.52034,0.0281616,0.142475,9.77903,4,2.44476,0.044319,0,3,2.6833e-09,1
12,414.66,946.82,annealing_T=75_h=25,15.1719,0.269168,1.66465,0.0104521,0.0233771,291.206,4,72.8015,8.54264e-62,0,3,9.23911e-07,1
13,416.35,548.47,annealing_T=75_h=25,3.72935,0.516495,1.37114,0.0855994,0.119,76.326,4,19.0815,1.04448e-15,0,3,8.13329e-07,1
14,424.95,71.32,annealing_T=75_h=25,2.04682,0.09762,2.46545,0.026072,0.114595,104.671,4,26.1678,9.95324e-22,0,3,1.67342e-09,1
15,428.71,485.46,annealing_T=75_h=25,27.1466,0.202455,1.89234,0.00447161,0.040018,518.884,4,129.721,5.51547e-111,0,3,2.82053e-08,1
16,501.87,997,annealing_T=75_h=25,8.72569,0.412196,1.43759,0.0284757,0.132894,189.667,4,47.4168,6.24871e-40,0,3,2.93556e-06,1
17,596.16,526.59,annealing_T=75_h=25,0.0874283,0.0224592,3.52613,0.136154,0.483092,104.921,4,26.2302,8.8055e-22,0,3,5.04473e-06,1
18,609.3,334.84,annealing_T=75_h=25,3.23809,0.296155,1.53881,0.0529705,0.0470347,85.883,4,21.4708,9.85399e-18,0,3,2.75609e-06,1
19,648.81,439.02,annealing_T=75_h=25,4.97879,0.27189,1.71169,0.0317532,0.0791993,75.0702,4,18.7676,1.92558e-15,0,3,4.04366e-08,1
20,648.85,572.65,annealing_T=75_h=25,33.051,0.143501,2.32898,0.00259132,0.039699,425.223,4,106.306,9.85216e-91,0,3,2.73721e-06,1
21,659.78,686.99,annealing_T=75_h=25,1.79822,0.132941,2.25001,0.040329,0.213192,6.36105,4,1.59026,0.173759,0,3,1.25815e-05,1
22,700.01,365.51,annealing_T=75_h=25,-1.37943e-06,4.19289e-06,8.00155,1.56403,0,32.5371,4,8.13428,1.48563e-06,1,2,1.66536e-07,0
23,807.56,586.62,annealing_T=75_h=25,22.9623,0.27834,1.7066,0.00710687,0.0587721,190.059,4,47.5146,5.14894e-40,0,3,6.32773e-09,1
24,815.5,313.84,annealing_T=75_h=25,2.62779,0.159538,2.18819,0.0337927,0.107784,62.0692,4,15.5173,1.06526e-12,0,3,1.07776e-05,1
25,867.28,1006.11,annealing_T=75_h=25,14.0709,0.225162,1.91241,0.00942417,0.0513397,333.427,4,83.3567,6.63512e-71,0,3,8.8718e-06,1
26,1005.96,121.78,annealing_T=75_h=25,3.04239,0.208948,1.77987,0.0396649,0.256021,41.7453,4,10.4363,1.8838e-08,0,3,3.50044e-07,1
27,1047.35,956.05,annealing_T=75_h=25,12.8221,0.246621,1.81465,0.0110787,0.0357484,80.8031,4,20.2008,1.1772e-16,0,3,8.02043e-07,1
28,1050.29,802.68,annealing_T=75_h=25,1.5715,0.105889,2.31398,0.037692,0.171554,46.8508,4,11.7127,1.638e-09,0,3,5.72906e-07,1
29,1067.22,233.43,annealing_T=75_h=25,1.10202,0.172512,1.81863,0.0878672,0.299232,65.1645,4,16.2911,2.37584e-13,0,3,1.48722e-07,1
30,1087.11,909.07,annealing_T=75_h=25,0.274634,0.0286288,3.47238,0.0554339,0.108018,1282.92,4,320.731,1.6759e-276,0,3,8.5158e-08,1
31,1088,686.44,annealing_T=75_h=25,2.85849,0.110409,2.33403,0.0214325,0.0694596,8.14834,4,2.03708,0.086293,0,3,1.0892e-06,1
32,1148.14,428.09,annealing_T=75_h=25,7.00632,0.306189,1.2417,0.026448,0.058157,20.2885,4,5.07213,0.000437984,0,3,1.98654e-06,1
33,1168.74,238.75,annealing_T=75_h=25,250.291,0.451846,1.62773,0.00118086,0.0209399,1311.28,4,327.82,1.19306e-282,0,3,7.53452e-11,1
34,1175.6,928.7,annealing_T=75_h=25,1.49914,0.153657,2.18582,0.0568804,0.169193,100.052,4,25.0131,9.58753e-21,0,3,1.72884e-08,1
35,1179.85,592.88,annealing_T=75_h=25,0.590212,0.0609244,2.69902,0.0556217,0.134155,201.985,4,50.4963,1.40619e-42,0,3,1.24992e-07,1
36,1227.31,669.2,annealing_T=75_h=25,0.475671,0.0368982,3.2123,0.0430766,0.267265,417.112,4,104.278,5.58053e-89,0,3,3.53318e-07,1
37,1240.51,153.12,annealing_T=75_h=25,1.81727,0.179267,1.9661,0.0557987,0.263789,192.726,4,48.1814,1.37577e-40,0,3,1.08937e-06,1
38,1243.5,483.06,annealing_T=75_h=25,7.4998,0.207904,1.90643,0.0162388,0.0960444,1265.49,4,316.373,1.00971e-272,0,3,3.85415e-06,1
39,1254.69,595.79,annealing_T=75_h=25,0.0224741,0.0159904,3.6544,0.374926,0.829157,61.4585,4,15.3646,1.43191e-12,0,3,1.33044e-06,1
40,1254.77,232.77,annealing_T=75_h=25,-0.134625,0.0663904,2.77982,0.269594,3.63499,29.3944,4,7.34861,6.49987e-06,0,3,1.33874e-06,1
41,1265.77,412.42,annealing_T=75_h=25,2.13093,0.316299,1.66187,0.0854703,0.550518,152.211,4,38.0527,6.83814e-32,0,3,4.70336e-06,1
42,1286.33,873.1,annealing_T=75_h=25,6.89443,0.291268,1.32573,0.02589,0.0476353,101.325,4,25.3311,5.13849e-21,0,3,3.13181e-08,1
43,1292.01,319.81,annealing_T=75_h=25,1.42144,0.0902024,2.38429,0.0347978,0.202214,153.044,4,38.2609,4.53347e-32,0,3,1.88437e-07,1
44,1320.1,73.12,annealing_T=75_h=25,1.47449,0.16665,2.13301,0.0635734,0.133531,57.0866,4,14.2716,1.18649e-11,0,3,1.49871e-05,1
45,1371.28,810.42,annealing_T=75_h=25,12.1907,0.197429,1.72648,0.00945423,0.0640568,375.978,4,93.9946,4.30308e-80,0,3,1.40361e-07,1
46,1374.87,911.89,annealing_T=75_h=25,1.6972,0.0530394,2.99803,0.0167364,0.036057,1179.18,4,294.795,5.19383e-254,0,3,2.81802e-07,1
47,1387.12,117.33,annealing_T=75_h=25,0.105638,0.0144404,3.72746,0.0719531,0.217419,422.45,4,105.613,3.91654e-90,0,3,2.28717e-07,1
48,1404.2,206.51,annealing_T=75_h=25,4.79449,0.111249,2.2911,0.0128525,0.0624964,217.546,4,54.3865,6.32369e-46,0,3,5.34451e-07,1
49,1496.04,507.39,annealing_T=75_h=25,4.4294,0.034705,3.07136,0.00440173,0.0245356,103.827,4,25.9569,1.50563e-21,0,3,3.80547e-08,1
50,1501.49,862.88,annealing_T=75_h=25,2.64653,0.160105,1.97609,0.0338621,0.292769,143.866,4,35.9664,4.19626e-30,0,3,5.90031e-09,1
51,1535.25,404.55,annealing_T=75_h=25,0.722093,0.123242,2.30788,0.0939977,0.112239,42.8255,4,10.7064,1.12473e-08,0,3,9.16526e-07,1
52,1583.68,650.62,annealing_T=75_h=25,0.989651,0.0749129,2.47477,0.0415646,0.126527,156.403,4,39.1007,8.63489e-33,0,3,9.03752e-08,1
53,1584.36,810.43,annealing_T=75_h=25,1.64009,0.299734,1.59287,0.105972,0.774149,200.717,4,50.1793,2.63413e-42,0,3,8.75681e-08,1
54,1731.77,722.14,annealing_T=75_h=25,204.853,0.365547,2.03165,0.00131582,0.0141592,4129.45,4,1032.36,0,0,3,4.69635e-09,1
55,1771.71,477.91,annealing_T=75_h=25,41.4934,0.394362,1.49276,0.00563148,0.0124598,184.599,4,46.1496,7.67025e-39,0,3,5.62769e-10,1
56,1781.69,555.34,annealing_T=75_h=25,14.5245,0.304273,1.67692,0.0121403,0.0478144,120.164,4,30.041,4.92712e-25,0,3,1.23533e-05,1
57,1819.97,356.42,annealing_T=75_h=25,5.53647,0.0825183,2.61178,0.00840119,0.0877898,734.097,4,183.524,1.44116e-157,0,3,3.42544e-06,1
58,1820.31,992.4,annealing_T=75_h=25,2.38497,0.257698,1.94029,0.0620521,0.146747,264.41,4,66.1025,5.11193e-56,0,3,1.1042e-07,1
59,1850.35,557.86,annealing_T=75_h=25,45.0942,0.295513,1.83179,0.00396701,0.0179842,67.1562,4,16.7891,9.0368e-14,0,3,4.54553e-08,1
60,454.56,766.05,annealing_T=75_h=25,10.6982,0.423378,1.28643,0.024342,0.0874637,22.4383,4,5.60956,0.000163921,0,3,7.15165e-06,1
