spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,66.59,807.73,58.2448,1.0618,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.9581879378649896,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,1.4386,4.5707,4.5707,1.73626,0.00674161,0.0388111,42.6063,0.416243,1214.67,4,303.667,0,3,9.48302e-09,1
0,66.59,807.73,140.491,1.11613,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.9581879378649896,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,3.543,0.218,3.543,1.73626,0.00674161,0.0388111,42.6063,0.416243,1214.67,4,303.667,0,3,9.48302e-09,1
0,66.59,807.73,294.71,1.33994,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.9581879378649896,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,1.87,1.728,1.87,1.73626,0.00674161,0.0388111,42.6063,0.416243,1214.67,4,303.667,0,3,9.48302e-09,1
0,66.59,807.73,455.526,1.46843,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.9581879378649896,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,0.111,0.919,0.919,1.73626,0.00674161,0.0388111,42.6063,0.416243,1214.67,4,303.667,0,3,9.48302e-09,1
0,66.59,807.73,698.55,1.67607,20.0,56.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.9581879378649896,annealing_T=75_h=25,20260530-001924,phase_detection,5.0,6.454,12.212,12.212,1.73626,0.00674161,0.0388111,42.6063,0.416243,1214.67,4,303.667,0,3,9.48302e-09,1
0,66.59,807.73,1848.99,20.9163,20.0,58.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.9581879378649896,annealing_T=75_h=25,20260530-001924,phase_detection,7.0,19.6,54.06,54.06,1.73626,0.00674161,0.0388111,42.6063,0.416243,1214.67,4,303.667,0,3,9.48302e-09,1
1,79.86,94.69,-14.1066,1.1876,20.0,52.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7993887851156591,annealing_T=75_h=25,20260530-001924,phase_detection,1.0,5.9505,6.85037,6.85037,2.86748,0.0510166,0.3339,0.631752,0.0595405,185.224,4,46.306,0,3,1.86403e-07,1
1,79.86,94.69,-1.29089,1.21681,20.0,53.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7993887851156591,annealing_T=75_h=25,20260530-001924,phase_detection,2.0,6.319,6.56606,6.56606,2.86748,0.0510166,0.3339,0.631752,0.0595405,185.224,4,46.306,0,3,1.86403e-07,1
1,79.86,94.69,18.0925,1.29907,20.0,54.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7993887851156591,annealing_T=75_h=25,20260530-001924,phase_detection,3.0,11.48933,0.1131,11.48933,2.86748,0.0510166,0.3339,0.631752,0.0595405,185.224,4,46.306,0,3,1.86403e-07,1
1,79.86,94.69,35.0659,1.44297,20.0,55.3,annealing_T=75_h=25,present,present,20.0,1256.6370614359173,20260530-001924,1.7993887851156591,annealing_T=75_h=25,20260530-001924,phase_detection,4.0,0.2866,3.6019,3.6019,2.86748,0.0510166,0.3339,0.631752,0.0595405,185.224,4,46.306,0,3,1.86403e-07,1
