spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=75_h=5,2.5516,0.00153642,290886,4,72721.6,0,3,1.99652e-08,1,2.44713,0.00174153,192105,4,48026.4,0,3,1.20837e-10,1
1,annealing_T=75_h=5,2.2187,0.0324675,241.477,4,60.3692,0,3,6.94695e-06,1,2.51773,0.059359,201.841,4,50.4604,0,3,1.00193e-07,1
2,annealing_T=75_h=5,2.27146,0.00912908,250.213,4,62.5534,0,3,9.12717e-06,1,2.47437,0.0131299,112.663,4,28.1659,0,3,2.93249e-07,1
3,annealing_T=75_h=5,1.52264,0.0260901,212.04,4,53.0099,0,3,6.12157e-07,1,1.33701,0.0388462,148.981,4,37.2453,0,3,1.03479e-05,1
4,annealing_T=75_h=5,2.31439,0.00114306,7593.77,4,1898.44,0,3,1.08755e-10,1,2.38126,0.00140011,5506.54,4,1376.63,0,3,3.22348e-07,1
5,annealing_T=75_h=5,2.31538,0.00913908,153.882,4,38.4706,0,3,1.25389e-07,1,2.45547,0.0136959,209.703,4,52.4256,0,3,1.53151e-08,1
6,annealing_T=75_h=5,2.6754,0.139285,235.627,4,58.9068,0,3,9.54594e-08,1,2.33543,0.290913,108.467,4,27.1168,0,3,4.59245e-06,1
7,annealing_T=75_h=5,1.83549,0.00421145,17136.7,4,4284.17,0,3,2.18744e-09,1,1.98782,0.00549222,10570.3,4,2642.58,0,3,1.25306e-05,1
8,annealing_T=75_h=5,2.50045,0.00524178,2194.21,4,548.552,0,3,1.2173e-05,1,2.64892,0.00818862,1039.39,4,259.847,0,3,3.44513e-07,1
9,annealing_T=75_h=5,1.65326,0.036972,54.7173,4,13.6793,0,3,1.58566e-08,1,1.75933,0.0513672,110.081,4,27.5202,0,3,8.45565e-07,1
10,annealing_T=75_h=5,2.65449,0.013354,646.683,4,161.671,0,3,9.25204e-08,1,2.6974,0.0168031,495.582,4,123.896,0,3,7.41575e-07,1
11,annealing_T=75_h=5,2.74924,0.0360018,173.859,4,43.4649,0,3,4.16102e-07,1,3.00307,0.0580051,146.21,4,36.5526,0,3,2.61626e-07,1
12,annealing_T=75_h=5,1.72081,0.00934679,84.0578,4,21.0144,0,3,4.09423e-06,1,1.78664,0.012514,101.173,4,25.2933,0,3,1.30605e-08,1
