spot,x,y,phase,A,A_stat_error,B,B_stat_error,deltaB,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.66,809.37,before_annealing,38.4471,0.413063,1.76013,0.00736819,0.0325699,2300.8,4,575.2,0,0,3,8.28431e-07,1
1,80.53,96.36,before_annealing,1.50539,0.106824,2.4821,0.0392322,0.209131,24.39,4,6.0975,6.67102e-05,0,3,5.02641e-09,1
2,94.67,355.08,before_annealing,6.08517,0.162222,2.18897,0.0151334,0.0521267,194.084,4,48.5211,7.02293e-41,0,3,4.23429e-06,1
3,139.61,257.49,before_annealing,3.41599,0.223888,1.82895,0.0372091,0.0697842,81.285,4,20.3213,9.30505e-17,0,3,4.17648e-06,1
4,182.58,172.15,before_annealing,110.826,0.185024,2.37401,0.00107733,0.0340392,16628.9,4,4157.22,0,0,3,8.33246e-08,1
5,193.7,520.1,before_annealing,5.41783,0.0923136,2.51725,0.00947152,0.0257245,238.43,4,59.6074,2.02126e-50,0,3,4.38473e-07,1
6,232.05,757.51,before_annealing,0.125709,0.0313085,3.45281,0.131626,1.10818,158.242,4,39.5604,3.48322e-33,0,3,1.37676e-12,1
7,237.11,244.17,before_annealing,30.9177,0.187462,2.07281,0.00388364,0.0691579,4391.43,4,1097.86,0,0,3,7.4787e-06,1
8,253.66,351.3,before_annealing,4.57591,0.118256,2.43487,0.0145036,0.0738004,277.444,4,69.361,7.92696e-59,0,3,1.94536e-07,1
9,336.26,288.35,before_annealing,4.30527,0.263731,1.69011,0.0351456,0.0891169,110.888,4,27.7221,4.7048e-23,0,3,7.06107e-07,1
10,356.71,847.02,before_annealing,4.35186,0.100941,2.48652,0.0132983,0.105427,252.404,4,63.101,1.97531e-53,0,3,4.23026e-07,1
11,375.07,369.64,before_annealing,0.8717,0.091104,2.29032,0.0590563,0.0459282,231.735,4,57.9338,5.58464e-49,0,3,1.27237e-06,1
12,415.86,948.67,before_annealing,12.1311,0.255609,1.77208,0.0123083,0.0661435,131.672,4,32.918,1.70934e-27,0,3,2.90535e-07,1
13,417.73,550.01,before_annealing,4.3624,0.530349,1.17701,0.0733585,0.353914,53.0193,4,13.2548,8.44289e-11,0,3,2.5069e-08,1
14,425.51,73.08,before_annealing,2.99363,0.111381,2.34421,0.020649,0.0362931,310.005,4,77.5013,7.52177e-66,0,3,5.23974e-09,1
15,429.64,486.98,before_annealing,48.158,0.180572,2.03393,0.00235088,0.0333837,1103.2,4,275.799,1.53511e-237,0,3,7.32991e-07,1
16,503.3,998.64,before_annealing,7.54858,0.48571,1.36677,0.0389487,0.175444,323.565,4,80.8913,8.91882e-69,0,3,4.08229e-08,1
17,596.49,528.05,before_annealing,0.246004,0.0385354,3.15782,0.0839089,0.226775,101.849,4,25.4622,3.97362e-21,0,3,3.30054e-07,1
18,610.17,336.26,before_annealing,3.14694,0.347307,1.44349,0.0641284,0.128821,230.912,4,57.7281,8.39778e-49,0,3,5.798e-06,1
19,649.51,440.37,before_annealing,11.0718,0.226038,1.64268,0.0119572,0.0459924,198.755,4,49.6887,6.95895e-42,0,3,9.94965e-07,1
20,649.81,574.03,before_annealing,29.9643,0.119874,2.41112,0.00239972,0.0311562,294.9,4,73.7251,1.364e-62,0,3,4.02575e-07,1
21,660.74,688.47,before_annealing,2.54476,0.104361,2.30923,0.0227629,0.128123,385.962,4,96.4904,3.00096e-82,0,3,7.84855e-06,1
22,700.4,366.42,before_annealing,2.35114,0.274436,1.70162,0.0679122,0.264822,106.271,4,26.5677,4.54011e-22,0,3,1.65889e-07,1
23,808.07,587.39,before_annealing,26.2342,0.283597,1.7319,0.00675249,0.0587438,66.4483,4,16.6121,1.27427e-13,0,3,2.0399e-07,1
24,816.52,315.2,before_annealing,2.51649,0.184784,2.02601,0.0413062,0.036867,66.8934,4,16.7234,1.02667e-13,0,3,8.87234e-07,1
25,868.58,1007.51,before_annealing,0.0229236,0.000976765,6.04689,0.0227988,0.191304,1631.99,4,407.998,0,0,3,2.52163e-08,1
26,1006.97,123.09,before_annealing,3.07197,0.263572,1.72662,0.0492411,0.111865,73.869,4,18.4673,3.45607e-15,0,3,4.30788e-06,1
27,1048.38,957.19,before_annealing,18.356,0.306644,1.66917,0.0097619,0.0218138,217.142,4,54.2855,7.72489e-46,0,3,2.458e-06,1
28,1051.56,804.3,before_annealing,1.36879,0.090417,2.41923,0.0365828,0.218238,204.118,4,51.0296,4.89081e-43,0,3,2.59805e-07,1
29,1068.22,234.4,before_annealing,0.577921,0.0858551,2.22605,0.0826016,0.881869,182.55,4,45.6374,2.11309e-38,0,3,4.88596e-07,1
30,1088.03,910.16,before_annealing,15.6647,0.354313,1.36824,0.0136614,0.0748818,209.529,4,52.3822,3.35513e-44,0,3,8.89443e-07,1
31,1088.97,687.67,before_annealing,1.99849,0.0687362,2.49275,0.0188936,0.0453785,117.268,4,29.3171,2.04656e-24,0,3,3.35801e-08,1
32,1148.98,429.02,before_annealing,10.9163,0.315432,1.2175,0.0176116,0.0607161,111.197,4,27.7992,4.04296e-23,0,3,2.89894e-08,1
33,1169.51,239.78,before_annealing,238.868,0.384778,1.63289,0.00108561,0.016243,1662.18,4,415.544,0,0,3,3.90604e-06,1
34,1176.84,929.62,before_annealing,2.23771,0.121837,2.33727,0.0301348,0.0715395,152.078,4,38.0196,7.30043e-32,0,3,1.40783e-09,1
35,1180.5,593.5,before_annealing,0.449554,0.0646623,2.75096,0.0780669,0.266569,158.627,4,39.6568,2.87932e-33,0,3,3.74414e-07,1
36,1227.88,667.09,before_annealing,10.8942,0.236269,1.74961,0.0126035,0.0223943,46.0373,4,11.5093,2.41927e-09,0,3,5.23822e-06,1
37,1241.42,154.52,before_annealing,1.78816,0.130229,2.13537,0.0406922,0.0566849,83.5307,4,20.8827,3.10905e-17,0,3,7.71818e-09,1
38,1244.61,484.28,before_annealing,18.3871,0.226369,1.58202,0.00745518,0.03476,618.063,4,154.516,1.90874e-132,0,3,3.5331e-06,1
39,1254.69,595.79,before_annealing,0.634744,0.0738536,2.63297,0.0635392,0.203626,25.4539,4,6.36348,4.07687e-05,0,3,5.77851e-07,1
40,1254.77,232.77,before_annealing,2.08047,0.193197,1.64807,0.0541319,0.272478,161.429,4,40.3573,7.21718e-34,0,3,1.08236e-08,1
41,1266.86,413.2,before_annealing,3.12404,0.252966,1.42435,0.0490772,0.0369702,137.896,4,34.4739,7.96325e-29,0,3,4.08597e-08,1
42,1287.8,874.2,before_annealing,4.73007,0.210419,1.5923,0.0265994,0.180956,239.647,4,59.9118,1.10518e-50,0,3,7.61763e-08,1
43,1292.86,320.54,before_annealing,1.93628,0.131326,2.1737,0.0381227,0.0836516,253.372,4,63.3431,1.22187e-53,0,3,1.8014e-07,1
44,1320.53,74.11,before_annealing,0.451132,0.0541926,2.86379,0.0658296,0.222505,89.1452,4,22.2863,2.00018e-18,0,3,4.1184e-08,1
45,1372.44,811.2,before_annealing,13.5002,0.240116,1.71945,0.0103626,0.0356683,296.694,4,74.1734,5.59732e-63,0,3,2.60304e-06,1
