spot,phase,B_R16,Berr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,B_R24,Berr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,before_annealing,1.72756,0.00554249,2125.65,4,531.411,0,3,1.00833e-06,1,1.77285,0.00908046,2420.72,4,605.179,0,3,9.12869e-06,1
1,before_annealing,2.36997,0.0311982,2.91029,4,0.727571,0,3,3.2145e-07,1,2.69123,0.0515565,132.236,4,33.059,0,3,5.68664e-08,1
2,before_annealing,2.19442,0.0135752,235.423,4,58.8558,0,3,4.8586e-07,1,2.13684,0.0171342,94.2702,4,23.5676,0,3,1.14505e-07,1
3,before_annealing,1.77213,0.0290686,27.9234,4,6.98084,0,3,2.70248e-08,1,1.75917,0.0404618,69.0198,4,17.255,0,3,1.80642e-07,1
4,before_annealing,2.34398,0.00100476,17321.1,4,4330.29,0,3,6.1859e-08,1,2.40805,0.00118411,14694,4,3673.51,0,3,1.43713e-11,1
5,before_annealing,2.49153,0.0080094,242.231,4,60.5578,0,3,4.63157e-09,1,2.54196,0.0113752,217.344,4,54.336,0,3,3.66353e-07,1
6,before_annealing,2.9918,0.0721079,225.886,4,56.4715,0,3,9.40329e-06,1,4.56099,0.408562,155.265,4,38.8162,0,3,1.73415e-06,1
7,before_annealing,2.00365,0.00337969,5730.15,4,1432.54,0,3,3.63222e-08,1,2.11947,0.00436794,3548.3,4,887.075,0,3,1.12893e-06,1
8,before_annealing,2.36107,0.0104441,434.628,4,108.657,0,3,5.66276e-06,1,2.45126,0.0165077,299.281,4,74.8201,0,3,1.55067e-06,1
9,before_annealing,1.60099,0.0332103,74.8914,4,18.7229,0,3,1.8313e-06,1,1.72275,0.0422766,53.4541,4,13.3635,0,3,5.67194e-08,1
10,before_annealing,2.38433,0.0108021,327.427,4,81.8569,0,3,4.71002e-07,1,2.59195,0.0148128,273.518,4,68.3795,0,3,2.75462e-08,1
11,before_annealing,2.24985,0.0504,167.143,4,41.7859,0,3,1.09656e-06,1,2.33625,0.0757671,355.784,4,88.946,0,3,1.42365e-07,1
12,before_annealing,1.70594,0.0103699,187.083,4,46.7708,0,3,8.33044e-06,1,1.76595,0.0144813,113.108,4,28.2769,0,3,1.18959e-06,1
13,before_annealing,1.25285,0.0593024,83.9472,4,20.9868,0,3,1.57195e-08,1,0.823095,0.0716929,31.7428,4,7.9357,0,3,4.28786e-08,1
14,before_annealing,2.36617,0.0179939,247.99,4,61.9974,0,3,3.591e-07,1,2.3805,0.0244561,268.994,4,67.2486,0,3,1.01328e-06,1
15,before_annealing,2.00055,0.00212991,1269.69,4,317.422,0,3,3.25261e-09,1,2.06706,0.00263268,808.4,4,202.1,0,3,5.58557e-06,1
16,before_annealing,1.46905,0.0300954,184.866,4,46.2164,0,3,6.91887e-07,1,1.19133,0.0511698,317.448,4,79.3619,0,3,1.50158e-06,1
17,before_annealing,2.93104,0.0582261,68.4708,4,17.1177,0,3,4.35827e-06,1,3.26078,0.109403,133.652,4,33.4131,0,3,1.31079e-05,1
18,before_annealing,1.47323,0.050591,220.543,4,55.1358,0,3,1.27325e-07,1,1.57231,0.0710727,294.383,4,73.5959,0,3,5.35982e-06,1
19,before_annealing,1.59669,0.00944309,155.26,4,38.8151,0,3,3.98359e-07,1,1.60085,0.0139493,149.495,4,37.3739,0,3,1.86626e-08,1
20,before_annealing,2.37996,0.0021899,592.215,4,148.054,0,3,2.16725e-08,1,2.43894,0.00265123,168.51,4,42.1275,0,3,1.97694e-07,1
21,before_annealing,2.29955,0.0166877,407.54,4,101.885,0,3,1.01147e-07,1,2.18111,0.0269251,394.701,4,98.6753,0,3,1.82726e-08,1
22,before_annealing,1.96644,0.052539,49.0963,4,12.2741,0,3,2.2682e-07,1,1.82592,0.0894182,97.9839,4,24.496,0,3,1.00486e-08,1
23,before_annealing,1.67316,0.00587232,92.3727,4,23.0932,0,3,1.07631e-06,1,1.78293,0.00795081,54.3797,4,13.5949,0,3,1.51418e-09,1
24,before_annealing,2.00565,0.0319165,31.2808,4,7.8202,0,3,6.82731e-09,1,2.06288,0.0568727,27.3918,4,6.84794,0,3,2.28671e-08,1
25,before_annealing,5.85559,0.0186438,2929.71,4,732.428,0,3,2.35917e-07,1,6.13256,0.0260533,1115.25,4,278.814,0,3,3.1557e-08,1
26,before_annealing,1.61475,0.0378763,54.7524,4,13.6881,0,3,7.53343e-09,1,1.72161,0.0621961,89.4788,4,22.3697,0,3,1.49546e-06,1
27,before_annealing,1.66001,0.00826201,177.835,4,44.4588,0,3,5.97527e-07,1,1.64736,0.0115001,236.496,4,59.1239,0,3,3.87885e-06,1
28,before_annealing,2.36773,0.0275921,171.98,4,42.9951,0,3,7.68855e-08,1,2.63747,0.0519796,268.103,4,67.0258,0,3,4.10357e-08,1
29,before_annealing,2.0174,0.0489159,205.226,4,51.3065,0,3,1.80353e-08,1,3.10792,0.20985,137.093,4,34.2733,0,3,6.53517e-07,1
30,before_annealing,1.44312,0.0112616,188.598,4,47.1494,0,3,1.42481e-10,1,1.37312,0.0166816,175.015,4,43.7537,0,3,1.07526e-06,1
31,before_annealing,2.53404,0.0159722,176.427,4,44.1067,0,3,7.25751e-06,1,2.53813,0.0217975,69.6414,4,17.4104,0,3,2.99136e-08,1
32,before_annealing,1.27822,0.0148708,47.0799,4,11.77,0,3,4.21968e-07,1,1.23179,0.0215178,150.604,4,37.6511,0,3,1.27966e-07,1
33,before_annealing,1.61665,0.000956689,1344.62,4,336.154,0,3,3.99922e-07,1,1.64913,0.00120871,1756.69,4,439.172,0,3,4.5341e-06,1
34,before_annealing,2.40881,0.0282614,141.266,4,35.3164,0,3,1.46023e-07,1,2.38427,0.0367797,50.2473,4,12.5618,0,3,9.63133e-07,1
35,before_annealing,2.76523,0.0602993,94.672,4,23.668,0,3,3.57109e-08,1,3.01753,0.111892,106.863,4,26.7159,0,3,8.71424e-07,1
36,before_annealing,1.73162,0.0101405,159.999,4,39.9997,0,3,2.05863e-08,1,1.772,0.0148584,23.1132,4,5.7783,0,3,5.93742e-08,1
37,before_annealing,2.09199,0.0357442,59.0916,4,14.7729,0,3,2.1433e-08,1,2.07869,0.0475903,169.173,4,42.2933,0,3,2.83215e-08,1
38,before_annealing,1.54726,0.00508552,977.61,4,244.403,0,3,4.13653e-08,1,1.58183,0.00893015,405.387,4,101.347,0,3,6.11233e-06,1
39,before_annealing,2.42934,0.0460486,43.1903,4,10.7976,0,3,1.0674e-06,1,2.58723,0.0843076,38.8191,4,9.70478,0,3,6.52038e-07,1
40,before_annealing,1.51061,0.0358778,84.5927,4,21.1482,0,3,1.16392e-06,1,1.37559,0.0688061,117.288,4,29.3221,0,3,3.7286e-06,1
41,before_annealing,1.44187,0.0378828,142.027,4,35.5067,0,3,1.08823e-05,1,1.38738,0.06327,155.372,4,38.8429,0,3,4.8872e-08,1
