spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,v_fin,deltaL1,deltaL2,deltaL,B,B_stat_error,deltaB,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.66,809.37,44.9062,0.977829,20.0,52.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,1.0,0.0733,1.6986,1.6986,1.76013,0.00736819,0.0325699,38.4471,0.413063,2300.8,4,575.2,0,3,8.28431e-07,1
0,67.66,809.37,132.409,1.15344,20.0,53.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,2.0,0.505,3.427,3.427,1.76013,0.00736819,0.0325699,38.4471,0.413063,2300.8,4,575.2,0,3,8.28431e-07,1
0,67.66,809.37,272.961,1.39479,20.0,54.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,3.0,6.282,5.244,6.282,1.76013,0.00736819,0.0325699,38.4471,0.413063,2300.8,4,575.2,0,3,8.28431e-07,1
0,67.66,809.37,430.309,1.51084,20.0,55.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,4.0,2.366,0.646,2.366,1.76013,0.00736819,0.0325699,38.4471,0.413063,2300.8,4,575.2,0,3,8.28431e-07,1
0,67.66,809.37,648.146,1.64187,20.0,56.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,5.0,0.203,5.123,5.123,1.76013,0.00736819,0.0325699,38.4471,0.413063,2300.8,4,575.2,0,3,8.28431e-07,1
0,67.66,809.37,2522.43,28.8148,20.0,58.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,7.0,33.72,66.66,66.66,1.76013,0.00736819,0.0325699,38.4471,0.413063,2300.8,4,575.2,0,3,8.28431e-07,1
1,80.53,96.36,-2.83155,1.17546,20.0,52.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,1.0,9.12495,6.30145,9.12495,2.4821,0.0392322,0.209131,1.50539,0.106824,24.39,4,6.0975,0,3,5.02641e-09,1
1,80.53,96.36,6.92239,1.27039,20.0,53.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,2.0,1.98838,2.62694,2.62694,2.4821,0.0392322,0.209131,1.50539,0.106824,24.39,4,6.0975,0,3,5.02641e-09,1
1,80.53,96.36,21.3623,1.56541,20.0,54.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,3.0,12.70483,4.447,12.70483,2.4821,0.0392322,0.209131,1.50539,0.106824,24.39,4,6.0975,0,3,5.02641e-09,1
1,80.53,96.36,45.9247,1.40439,20.0,55.3,before_annealing,present,reference,20.0,1256.6370614359173,20260513-032137,0.0,before_annealing,20260513-032137,phase_detection,4.0,2.6334,4.977,4.977,2.4821,0.0392322,0.209131,1.50539,0.106824,24.39,4,6.0975,0,3,5.02641e-09,1
