spot,phase,lambda_R16,lambdaerr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,lambda_R24,lambdaerr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,annealing_T=100_h=25,0.0781714,0.00203955,115.772,2,57.8861,0,3,3.87332e-06,1,0.0797616,0.0031443,60.8913,2,30.4457,0,3,4.26191e-06,1
1,annealing_T=100_h=25,0.0453145,0.00255187,66.2316,2,33.1158,0,3,2.27124e-09,1,0.0592763,0.00378057,72.7358,2,36.3679,0,3,7.70653e-09,1
2,annealing_T=100_h=25,0.277659,0.0473752,75.9687,2,37.9843,0,3,4.13902e-07,1,1.05939,0.0368138,96.0449,2,48.0224,4,1,0.042507,0
3,annealing_T=100_h=25,0.0431759,0.000184248,104.195,2,52.0973,0,3,5.80066e-08,1,0.0427053,0.000196328,119.09,2,59.545,0,3,1.11283e-07,1
4,annealing_T=100_h=25,0.0614525,0.0014558,15.0732,2,7.53662,0,3,3.70872e-06,1,0.0598031,0.00221453,11.6847,2,5.84233,0,3,1.1905e-07,1
5,annealing_T=100_h=25,0.104216,0.0256963,45.5877,2,22.7939,0,3,7.98136e-09,1,1.34374,0.0622221,14.449,2,7.22448,4,1,0.00649298,0
6,annealing_T=100_h=25,0.0318145,0.000615485,291.044,2,145.522,0,3,3.38418e-06,1,0.0337,0.000773444,254.49,2,127.245,0,3,5.28052e-07,1
7,annealing_T=100_h=25,0.0509914,0.00210769,2683.72,2,1341.86,0,3,1.19921e-07,1,0.0507677,0.00207787,2592.17,2,1296.09,0,3,2.414e-07,1
8,annealing_T=100_h=25,0.102397,0.00560023,4.11261,2,2.05631,0,3,1.30576e-09,1,0.0997698,0.00675102,15.1679,2,7.58393,0,3,8.88507e-09,1
9,annealing_T=100_h=25,0.155346,0.00650055,88.3004,2,44.1502,0,3,2.67892e-08,1,0.165795,0.00964064,0.786848,2,0.393424,0,3,1.82104e-07,1
10,annealing_T=100_h=25,0.0283899,0.0359752,153.761,2,76.8804,0,3,1.70937e-07,1,-0.0531311,0.0573527,5.61972,2,2.80986,0,3,7.12291e-06,1
11,annealing_T=100_h=25,0.0252092,0.00305892,51.6178,2,25.8089,0,3,1.52935e-09,1,0.0241969,0.00457936,2.58238,2,1.29119,0,3,1.14339e-07,1
12,annealing_T=100_h=25,0.153383,0.0250191,8.02826,2,4.01413,0,3,2.9598e-06,1,0.122508,0.0545228,4.89196,2,2.44598,0,3,3.20445e-09,1
13,annealing_T=100_h=25,0.048565,0.00550049,115.647,2,57.8236,0,3,1.10085e-06,1,0.0484578,0.00648987,45.6284,2,22.8142,0,3,9.47368e-08,1
14,annealing_T=100_h=25,0.0757249,0.000559672,183.548,2,91.774,0,3,1.90268e-07,1,0.0798382,0.000799602,104.263,2,52.1317,0,3,4.88063e-06,1
15,annealing_T=100_h=25,0.0894181,0.0140849,6.33734,2,3.16867,0,3,6.11473e-06,1,-0.0653898,0.0372588,53.5375,2,26.7687,0,3,1.00592e-05,1
16,annealing_T=100_h=25,0.112606,0.0338594,12.6977,2,6.34885,0,3,6.56649e-07,1,0.354737,0.0880317,53.0252,2,26.5126,0,3,5.54275e-06,1
17,annealing_T=100_h=25,0.0428439,0.0118732,16.6105,2,8.30527,0,3,1.96073e-06,1,0.042902,0.0149181,45.5189,2,22.7595,0,3,9.63593e-07,1
18,annealing_T=100_h=25,0.112684,0.00393715,1.10675,2,0.553376,0,3,4.59802e-06,1,0.168481,0.00721211,37.1495,2,18.5748,0,3,2.22974e-07,1
19,annealing_T=100_h=25,0.082547,0.000573981,70.9122,2,35.4561,0,3,3.17202e-08,1,0.0816238,0.000786083,11.2125,2,5.60626,0,3,1.82288e-07,1
20,annealing_T=100_h=25,0.100574,0.00680221,13.5013,2,6.75065,0,3,3.16069e-06,1,0.122402,0.0111196,19.0189,2,9.50944,0,3,2.07093e-07,1
21,annealing_T=100_h=25,0.0825056,0.00179372,32.4035,2,16.2018,0,3,9.46873e-10,1,0.0869342,0.00284098,9.25512,2,4.62756,0,3,5.65549e-08,1
22,annealing_T=100_h=25,0.0552475,0.00198131,47.5293,2,23.7647,0,3,3.79338e-06,1,0.0750045,0.00308474,128.665,2,64.3326,0,3,1.47761e-07,1
23,annealing_T=100_h=25,0.0902167,0.00299279,100.273,2,50.1366,0,3,3.30356e-07,1,0.0772375,0.00477094,48.0021,2,24.001,0,3,4.83218e-10,1
24,annealing_T=100_h=25,0.134968,0.00761143,20.7181,2,10.359,0,3,2.07607e-07,1,0.173174,0.0140183,16.3565,2,8.17825,0,3,1.1042e-06,1
25,annealing_T=100_h=25,0.08477,0.00608981,11.5135,2,5.75675,0,3,4.3374e-09,1,0.0645932,0.00921089,85.6051,2,42.8026,0,3,2.43935e-06,1
26,annealing_T=100_h=25,0.0522269,0.00153152,50.4238,2,25.2119,0,3,4.38227e-10,1,0.0553045,0.00231331,113.066,2,56.5328,0,3,2.9418e-08,1
27,annealing_T=100_h=25,0.0862881,0.00498386,26.8771,2,13.4386,0,3,3.32516e-07,1,0.0756098,0.0100715,41.5482,2,20.7741,0,3,1.14934e-06,1
28,annealing_T=100_h=25,1.10458,0.0756279,5.63406,2,2.81703,4,1,0.00691987,0,0.255144,0.0516021,26.972,2,13.486,0,3,2.92478e-07,1
29,annealing_T=100_h=25,0.0991036,0.00266718,165.675,2,82.8376,0,3,1.0474e-07,1,0.100887,0.00401027,336.193,2,168.097,0,3,2.91594e-06,1
30,annealing_T=100_h=25,0.0966038,0.00543491,13.8657,2,6.93286,0,3,1.45172e-06,1,0.138853,0.010216,9.28917,2,4.64459,0,3,3.76866e-06,1
31,annealing_T=100_h=25,0.0635341,0.000197923,149.283,2,74.6413,0,3,3.56844e-09,1,0.0632806,0.000208085,146.695,2,73.3475,0,3,3.42262e-09,1
32,annealing_T=100_h=25,-0.616737,0.181344,31.1409,2,15.5704,0,3,8.00565e-06,1,-0.112188,0.0338976,33.4805,2,16.7403,0,3,1.19814e-07,1
33,annealing_T=100_h=25,0.0165069,0.0234015,10.8122,2,5.40612,0,3,4.29767e-08,1,1.07385,0.0700612,27.0516,2,13.5258,4,1,0.0038994,0
34,annealing_T=100_h=25,0.0650124,0.0059379,6.20727,2,3.10364,0,3,9.79477e-10,1,0.0511138,0.00936503,48.8132,2,24.4066,0,3,1.03476e-08,1
35,annealing_T=100_h=25,0.102347,0.00109541,711.263,2,355.632,0,3,6.36321e-06,1,0.107868,0.0019311,109.66,2,54.8301,0,3,4.89968e-06,1
36,annealing_T=100_h=25,0.0577623,0.00463263,462.463,2,231.231,0,3,5.59153e-06,1,0.004388,0.00800265,220.583,2,110.291,0,3,1.94684e-07,1
37,annealing_T=100_h=25,0.201241,0.0764606,255.287,2,127.643,0,3,2.15673e-07,1,0.0347252,0.0258339,135.002,2,67.5011,0,3,3.81152e-09,1
38,annealing_T=100_h=25,0.100035,0.00549158,21.4973,2,10.7486,0,3,1.0304e-06,1,0.144656,0.010267,26.2714,2,13.1357,0,3,3.39813e-06,1
39,annealing_T=100_h=25,0.138509,0.01703,19.9316,2,9.96582,0,3,2.60328e-06,1,1.09122,0.051715,18.4729,2,9.23645,4,1,0.00343233,0
40,annealing_T=100_h=25,0.0724606,0.00318505,36.6562,2,18.3281,0,3,1.11795e-08,1,0.0651718,0.00485537,63.4858,2,31.7429,0,3,6.12455e-06,1
41,annealing_T=100_h=25,0.0705319,0.00795578,12.9105,2,6.45527,0,3,1.86892e-08,1,0.0611496,0.0100226,36.8755,2,18.4378,0,3,3.4456e-06,1
