spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.64,810.45,annealing_T=100_h=5,138.521,1.78265,0.0702317,0.000620443,0.000873372,36.4821,2,18.2411,1.19675e-08,0,3,6.0778e-06,1
1,81.28,97.4,annealing_T=100_h=5,86.5367,4.00632,0.0186013,0.00228398,0.0145064,37.9799,2,18.99,5.65931e-09,0,3,2.51156e-06,1
2,140.2,258.36,annealing_T=100_h=5,32.6135,2.38803,0.0604738,0.00352167,0.00527385,19.7597,2,9.87983,5.11971e-05,0,3,1.01417e-06,1
3,183.26,173.14,annealing_T=100_h=5,1291.7,4.97432,0.0484207,0.000191749,0.000217066,379.467,2,189.734,3.97845e-83,0,3,9.30893e-07,1
4,193.99,521.19,annealing_T=100_h=5,59.908,1.91864,0.0648687,0.00154777,0.00491731,54.7799,2,27.3899,1.27262e-12,0,3,3.04273e-06,1
5,232.24,758.05,annealing_T=100_h=5,22.1723,5.78418,0.00374757,0.0128706,0.0159762,30.1549,2,15.0774,2.8311e-07,0,3,5.41524e-06,1
6,237.69,245.07,annealing_T=100_h=5,150.2,3.50608,0.0470646,0.00111241,0.00254874,455.351,2,227.675,1.32382e-99,0,3,7.82911e-09,1
7,254.01,352.48,annealing_T=100_h=5,111.772,2.38778,0.0564336,0.00102911,0.00101187,531.295,2,265.647,4.27381e-116,0,3,3.98754e-07,1
8,337,289.12,annealing_T=100_h=5,6.84533,0.842946,0.0987351,0.00585212,0.0115414,57.879,2,28.9395,2.70237e-13,0,3,3.87957e-08,1
9,356.62,848.32,annealing_T=100_h=5,12.0378,1.33117,0.0808977,0.00529071,0.0140373,68.13,2,34.065,1.60605e-15,0,3,1.3935e-06,1
10,375.98,370.27,annealing_T=100_h=5,7.10578e-15,8.64132e-15,1.51687,0.0462636,0,51.0264,2,25.5132,8.31291e-12,4,1,0.0199382,0
11,415.72,950.05,annealing_T=100_h=5,67.2744,1.97148,0.0585185,0.00142245,0.00208604,79.7651,2,39.8825,4.77787e-18,0,3,1.79971e-08,1
12,417.19,550.12,annealing_T=100_h=5,0.0791974,0.053282,0.252018,0.0305932,0.108993,9.82372,2,4.91186,0.00735878,0,3,2.87042e-07,1
13,426.31,74.35,annealing_T=100_h=5,44.9722,2.44582,0.0543148,0.00267042,0.00856176,61.3041,2,30.652,4.8752e-14,0,3,2.12192e-08,1
14,429.91,488.34,annealing_T=100_h=5,114.18,1.41772,0.0737469,0.000601379,0.00212355,34.0388,2,17.0194,4.0604e-08,0,3,4.77068e-07,1
15,502.79,999.04,annealing_T=100_h=5,18.6564,1.58049,0.0798306,0.00407627,0.0134395,45.3728,2,22.6864,1.40418e-10,0,3,1.84573e-06,1
16,596.32,529.42,annealing_T=100_h=5,1.00529,0.378089,0.141749,0.0177058,0.0749164,39.053,2,19.5265,3.30933e-09,0,3,1.26228e-05,1
17,610.63,337.22,annealing_T=100_h=5,0.468619,0.175358,0.194727,0.0172475,0.0485712,36.8315,2,18.4158,1.00493e-08,0,3,1.29943e-06,1
18,649.82,441.76,annealing_T=100_h=5,12.4427,1.87732,0.0669625,0.0072369,0.00897807,11.708,2,5.85402,0.00286836,0,3,1.58226e-08,1
19,649.95,575.69,annealing_T=100_h=5,194.229,2.16776,0.0666353,0.00054329,0.000451977,79.3796,2,39.6898,5.7935e-18,0,3,1.16875e-10,1
20,660.56,689.95,annealing_T=100_h=5,8.23477,1.04741,0.0991594,0.00604048,0.0255516,12.4072,2,6.20358,0.00202218,0,3,1.74627e-06,1
21,808.24,589.01,annealing_T=100_h=5,25.4174,1.17256,0.0923265,0.00218769,0.00177695,95.684,2,47.842,1.66911e-21,0,3,2.72371e-07,1
22,816.95,317.06,annealing_T=100_h=5,23.7951,1.83413,0.0674499,0.00374148,0.0177379,44.3194,2,22.1597,2.37779e-10,0,3,6.23524e-08,1
23,868.19,1009.17,annealing_T=100_h=5,111.078,3.04551,0.0434207,0.00134813,0.00500418,71.9566,2,35.9783,2.37039e-16,0,3,1.2004e-07,1
24,1007.08,125.17,annealing_T=100_h=5,17.4913,2.87672,0.0381349,0.00804891,0.0205411,6.17045,2,3.08522,0.0457198,0,3,2.14404e-07,1
25,1048.2,959.1,annealing_T=100_h=5,62.8927,1.43307,0.0778113,0.00109629,0.00368889,254.387,2,127.194,5.76063e-56,0,3,7.20052e-06,1
26,1051.36,806.19,annealing_T=100_h=5,17.0412,1.2821,0.0694982,0.00363671,0.00677125,31.9023,2,15.9511,1.1817e-07,0,3,4.85594e-09,1
27,1068.7,236.69,annealing_T=100_h=5,64.6429,7.76767,-0.0179235,0.00607165,0.0297571,25.4541,2,12.7271,2.96967e-06,0,3,2.32502e-07,1
28,1088.23,912.11,annealing_T=100_h=5,12301.8,1111.26,-0.260976,0.00500871,0.0200198,1515.22,2,757.612,0,0,3,1.47208e-09,1
29,1088.83,689.71,annealing_T=100_h=5,8.70014,0.614366,0.114662,0.00339435,0.0168514,30.4854,2,15.2427,2.39987e-07,0,3,2.01729e-08,1
30,1149.27,431.36,annealing_T=100_h=5,8.85094,1.06143,0.0836465,0.00566294,0.0205255,75.2989,2,37.6494,4.45712e-17,0,3,3.49267e-06,1
31,1170.1,241.96,annealing_T=100_h=5,850.198,3.35227,0.067008,0.000192273,0.000133561,38.249,2,19.1245,4.94704e-09,0,3,9.61386e-10,1
32,1180.82,594.91,annealing_T=100_h=5,0.0124083,0.0200128,0.275628,0.0721424,0,60.1791,2,30.0895,8.55619e-14,0,3,1.58126e-07,1
33,1228.01,668.95,annealing_T=100_h=5,79.6873,1.7538,0.0697526,0.00106118,0.00369066,131.755,2,65.8776,2.45309e-29,0,3,3.4354e-08,1
34,1241.48,156.56,annealing_T=100_h=5,4.64,0.624959,0.115077,0.00637217,0.0143656,54.0278,2,27.0139,1.85355e-12,0,3,1.81468e-08,1
35,1244.96,486.31,annealing_T=100_h=5,30.5564,0.691503,0.0940801,0.00108302,0.00547382,76.237,2,38.1185,2.78837e-17,0,3,1.12147e-08,1
36,1254.65,597.97,annealing_T=100_h=5,47.8505,11.2564,-0.0344186,0.0118466,0.0359014,0.94569,2,0.472845,0.623227,0,3,7.79713e-08,1
37,1255.51,234.77,annealing_T=100_h=5,-0.102046,0.150219,0.177311,0.0681489,0.510062,38.5423,2,19.2711,4.2722e-09,0,3,3.16062e-07,1
38,1267.11,414.9,annealing_T=100_h=5,0.197832,0.100582,0.215463,0.0234063,0.135368,16.6036,2,8.30181,0.000248067,0,3,3.23747e-06,1
39,1287.56,876.27,annealing_T=100_h=5,57.3271,7.70839,-0.00531413,0.00667967,0.0136682,5.61144,2,2.80572,0.0604633,0,3,1.39297e-06,1
40,1293.45,323.07,annealing_T=100_h=5,8.35177,0.738421,0.105992,0.00419087,0.0249157,27.0439,2,13.5219,1.34121e-06,0,3,2.49675e-09,1
41,1321.6,76.13,annealing_T=100_h=5,5.56379,1.08092,0.0947321,0.00919561,0.00633752,8.57231,2,4.28616,0.0137577,0,3,7.36442e-06,1
42,1372.45,813.59,annealing_T=100_h=5,14.6449,0.686546,0.103566,0.00223982,0.00700126,24.9118,2,12.4559,3.8946e-06,0,3,6.71913e-10,1
43,1375.86,915.19,annealing_T=100_h=5,85.5527,2.86795,0.032701,0.0016476,0.00287485,25.0522,2,12.5261,3.6307e-06,0,3,3.22641e-09,1
44,1497.24,510.63,annealing_T=100_h=5,185.853,2.03796,0.0603729,0.000534008,0.00169225,43.7236,2,21.8618,3.20287e-10,0,3,6.35569e-07,1
45,1502.88,866.45,annealing_T=100_h=5,8.32986,0.951916,0.0956185,0.00544906,0.0278384,151.068,2,75.5339,1.5706e-33,0,3,2.178e-11,1
