spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,deltaL1,deltaL2,deltaL,lambda,lambda_stat_error,deltaLambda,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,68.61,811.3,176.186,2.15039,17.0,56.13,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,1.4426711336960554,annealing_T=125_h=25,20260828-044900,phase_detection,0.668,4.192,4.192,0.0728254,0.00215683,0.00559259,51.3498,2.30729,0.677915,2,0.338958,0,3,5.55639e-08,1
0,68.61,811.3,205.3,2.03373,19.0,56.24,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,1.4426711336960554,annealing_T=125_h=25,20260828-044900,phase_detection,1.488,1.661,1.661,0.0728254,0.00215683,0.00559259,51.3498,2.30729,0.677915,2,0.338958,0,3,5.55639e-08,1
0,68.61,811.3,238.218,2.18424,21.0,56.35,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,1.4426711336960554,annealing_T=125_h=25,20260828-044900,phase_detection,4.413,0.203,4.413,0.0728254,0.00215683,0.00559259,51.3498,2.30729,0.677915,2,0.338958,0,3,5.55639e-08,1
0,68.61,811.3,273.379,2.08563,23.0,56.46,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,1.4426711336960554,annealing_T=125_h=25,20260828-044900,phase_detection,9.182,2.836,9.182,0.0728254,0.00215683,0.00559259,51.3498,2.30729,0.677915,2,0.338958,0,3,5.55639e-08,1
1,81.52,96.0,11.8431,1.90087,17.0,56.13,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,1.6571059109181836,annealing_T=100_h=25,20260702-101218,previous_detection,4.69623,6.2688,6.2688,0.0552748,0.0271207,0.018807,5.18245,2.87891,35.4672,2,17.7336,0,3,5.96081e-06,1
1,81.52,96.0,11.9968,1.91087,19.0,56.24,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,1.6571059109181836,annealing_T=100_h=25,20260702-101218,previous_detection,1.0678,4.4258,4.4258,0.0552748,0.0271207,0.018807,5.18245,2.87891,35.4672,2,17.7336,0,3,5.96081e-06,1
1,81.52,96.0,27.9553,2.21368,21.0,56.35,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,1.6571059109181836,annealing_T=100_h=25,20260702-101218,previous_detection,1.9915,1.2667,1.9915,0.0552748,0.0271207,0.018807,5.18245,2.87891,35.4672,2,17.7336,0,3,5.96081e-06,1
1,81.52,96.0,13.2639,2.09982,23.0,56.46,annealing_T=125_h=25,absent,disappeared,20.0,1256.6370614359173,20260828-044900,1.6571059109181836,annealing_T=100_h=25,20260702-101218,previous_detection,7.24005,6.336,7.24005,0.0552748,0.0271207,0.018807,5.18245,2.87891,35.4672,2,17.7336,0,3,5.96081e-06,1
2,140.2,258.36,-9.21711,1.96291,17.0,56.13,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.9829038610159088,annealing_T=100_h=5,20260612-001017,previous_detection,3.19139,6.36847,6.36847,-0.173459,0.0613557,0.121954,-226.721,258.409,49.6914,2,24.8457,0,3,1.00402e-05,1
2,140.2,258.36,-18.2233,2.03267,19.0,56.24,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.9829038610159088,annealing_T=100_h=5,20260612-001017,previous_detection,8.8539,3.2952,8.8539,-0.173459,0.0613557,0.121954,-226.721,258.409,49.6914,2,24.8457,0,3,1.00402e-05,1
2,140.2,258.36,2.34669,1.79606,21.0,56.35,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.9829038610159088,annealing_T=100_h=5,20260612-001017,previous_detection,2.73594,2.29069,2.73594,-0.173459,0.0613557,0.121954,-226.721,258.409,49.6914,2,24.8457,0,3,1.00402e-05,1
2,140.2,258.36,-8.0509,2.14899,23.0,56.46,annealing_T=125_h=25,absent,absent,20.0,1256.6370614359173,20260828-044900,0.9829038610159088,annealing_T=100_h=5,20260612-001017,previous_detection,0.9963,0.03438,0.9963,-0.173459,0.0613557,0.121954,-226.721,258.409,49.6914,2,24.8457,0,3,1.00402e-05,1
3,183.25,173.55,3818.06,3.33912,17.0,56.13,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.4465422712353259,annealing_T=125_h=25,20260828-044900,phase_detection,42,54.45,54.45,0.035094,0.000181821,0.000152223,2111.37,7.78854,64.0382,2,32.0191,0,3,1.15292e-06,1
3,183.25,173.55,4128.93,3.08811,19.0,56.24,annealing_T=125_h=25,present,present,20.0,1256.6370614359173,20260828-044900,0.4465422712353259,annealing_T=125_h=25,20260828-044900,phase_detection,49.02,65.9,65.9,0.035094,0.000181821,0.000152223,2111.37,7.78854,64.0382,2,32.0191,0,3,1.15292e-06,1
