spot,x,y,luminosity,error,T,v,phase,detection,status,integration_radius,integration_area,run_number,match_distance,geometry_source_phase,geometry_source_run,geometry_mode,deltaL1,deltaL2,deltaL,lambda,lambda_stat_error,deltaLambda,A,A_stat_error,fit_chi2,fit_ndf,fit_chi2ndf,fit_status,covmatrix_status,edm,fit_converged
0,67.43,810.47,903.933,12.4273,17.0,56.13,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,7.534,11.451,11.451,0.0757142,0.000926734,0.00156583,139.758,2.77526,1071.6,2,535.802,0,3,2.43678e-07,1
0,67.43,810.47,583.556,1.74607,19.0,56.24,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,4.882,6.363,6.363,0.0757142,0.000926734,0.00156583,139.758,2.77526,1071.6,2,535.802,0,3,2.43678e-07,1
0,67.43,810.47,675.562,1.93237,21.0,56.35,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,1.258,9.215,9.215,0.0757142,0.000926734,0.00156583,139.758,2.77526,1071.6,2,535.802,0,3,2.43678e-07,1
0,67.43,810.47,803.66,1.79702,23.0,56.46,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,5.367,8.243,8.243,0.0757142,0.000926734,0.00156583,139.758,2.77526,1071.6,2,535.802,0,3,2.43678e-07,1
1,80.86,97.52,84.8112,1.35071,17.0,56.13,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,3.7924,1.7339,3.7924,0.0142991,0.00382897,0.0121868,62.2926,4.81355,58.8766,2,29.4383,0,3,3.49601e-06,1
1,80.86,97.52,73.412,1.31735,19.0,56.24,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,6.928,0.37,6.928,0.0142991,0.00382897,0.0121868,62.2926,4.81355,58.8766,2,29.4383,0,3,3.49601e-06,1
1,80.86,97.52,85.5965,1.23195,21.0,56.35,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,7.7126,9.1636,9.1636,0.0142991,0.00382897,0.0121868,62.2926,4.81355,58.8766,2,29.4383,0,3,3.49601e-06,1
1,80.86,97.52,88.3985,1.45171,23.0,56.46,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,6.1295,5.636,6.1295,0.0142991,0.00382897,0.0121868,62.2926,4.81355,58.8766,2,29.4383,0,3,3.49601e-06,1
2,139.5,259.05,51.08,1.03773,17.0,56.13,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,3.79,2.5961,3.79,0.0239687,0.00473635,0.0123588,35.9259,3.36831,66.0476,2,33.0238,0,3,1.66375e-09,1
2,139.5,259.05,63.3605,1.07876,19.0,56.24,before_annealing,present,reference,20.0,1256.6370614359173,20260514-062228,0.0,before_annealing,20260514-062228,phase_detection,2.5914,1.1758,2.5914,0.0239687,0.00473635,0.0123588,35.9259,3.36831,66.0476,2,33.0238,0,3,1.66375e-09,1
