spot,x,y,phase,A,A_stat_error,lambda,lambda_stat_error,deltaLambda,chi2,ndf,chi2ndf,prob,fit_status,covmatrix_status,edm,converged
0,67.43,810.47,before_annealing,139.758,2.77526,0.0757142,0.000926734,0.00156583,1071.6,2,535.802,2.01349e-233,0,3,2.43678e-07,1
1,80.86,97.52,before_annealing,62.2926,4.81355,0.0142991,0.00382897,0.0121868,58.8766,2,29.4383,1.641e-13,0,3,3.49601e-06,1
2,139.5,259.05,before_annealing,35.9259,3.36831,0.0239687,0.00473635,0.0123588,66.0476,2,33.0238,4.54929e-15,0,3,1.66375e-09,1
3,182.88,173.3,before_annealing,1968.37,6.19359,0.0462398,0.000155346,0.000229308,44.5403,2,22.2701,2.12913e-10,0,3,5.08634e-07,1
4,193.75,521.45,before_annealing,66.9397,1.59145,0.0746752,0.00115779,0.00579024,170.65,2,85.3252,8.78506e-38,0,3,7.23407e-08,1
5,231.71,758.49,before_annealing,5.3837,1.01308,0.0965584,0.00907145,0.0253293,5.13228,2,2.56614,0.0768317,0,3,1.5089e-06,1
6,237.38,245.34,before_annealing,100.575,1.61653,0.107837,0.000768274,0.00106066,3380.13,2,1690.07,0,0,3,2.33988e-06,1
7,253.78,352.85,before_annealing,72.8027,2.63136,0.0559578,0.00173316,0.00298492,78.4174,2,39.2087,9.37317e-18,0,3,2.74994e-09,1
8,335.26,289.04,before_annealing,12.2249,1.07342,0.0807068,0.00426029,0.0111262,13.0485,2,6.52424,0.00146744,0,3,1.09871e-06,1
9,356.53,848.32,before_annealing,47.7806,1.47393,0.0778816,0.00149778,0.00545462,481.135,2,240.568,3.33297e-105,0,3,1.7052e-09,1
10,375.2,371.28,before_annealing,24.5737,3.69526,0.0151924,0.00745365,0.0196112,82.1698,2,41.0849,1.4357e-18,0,3,8.04479e-07,1
11,415.56,950,before_annealing,50.1826,1.80766,0.0726738,0.00173363,0.00326209,21.8599,2,10.93,1.79133e-05,0,3,1.12201e-07,1
12,417.69,551.54,before_annealing,6.43429,2.20433,0.0665844,0.0165435,0.0142845,49.6756,2,24.8378,1.63338e-11,0,3,2.6361e-07,1
