spot,phase,lambda_R16,lambdaerr_R16,chi2_R16,ndf_R16,chi2ndf_R16,fit_status_R16,covmatrix_status_R16,edm_R16,converged_R16,lambda_R24,lambdaerr_R24,chi2_R24,ndf_R24,chi2ndf_R24,fit_status_R24,covmatrix_status_R24,edm_R24,converged_R24
0,before_annealing,0.0771562,0.000804511,1070.14,2,535.072,0,3,5.77834e-06,1,0.0741484,0.0010419,1085.47,2,542.733,0,3,2.23423e-06,1
1,before_annealing,0.0264859,0.00302205,173.691,2,86.8455,0,3,1.83781e-06,1,0.00889715,0.00485026,54.5638,2,27.2819,0,3,2.11901e-07,1
2,before_annealing,0.0363275,0.00353375,34.7713,2,17.3856,0,3,4.18515e-08,1,0.0129356,0.00562283,59.5771,2,29.7885,0,3,2.79882e-07,1
3,before_annealing,0.0464614,0.000153687,29.3958,2,14.6979,0,3,2.12068e-07,1,0.0460105,0.000159512,28.5359,2,14.268,0,3,5.0839e-07,1
4,before_annealing,0.0745583,0.000902931,215.629,2,107.814,0,3,3.62977e-06,1,0.0804654,0.00135806,86.3878,2,43.1939,0,3,1.1439e-09,1
5,before_annealing,0.100025,0.00646576,30.1755,2,15.0877,0,3,6.68217e-08,1,0.0712291,0.0134417,1.59824,2,0.799118,0,3,2.58623e-08,1
6,before_annealing,0.108157,0.000754886,3641.06,2,1820.53,0,3,9.98204e-06,1,0.108898,0.000795492,3135.18,2,1567.59,0,3,1.39829e-07,1
7,before_annealing,0.0529729,0.00132567,175.504,2,87.7521,0,3,4.67574e-08,1,0.0544064,0.00205668,97.2869,2,48.6435,0,3,3.43333e-08,1
8,before_annealing,0.0695806,0.00371018,32.9193,2,16.4596,0,3,1.22346e-06,1,0.0803057,0.0053904,34.8156,2,17.4078,0,3,4.23349e-07,1
9,before_annealing,0.0746234,0.00122568,762.851,2,381.426,0,3,7.4043e-06,1,0.0833362,0.00164964,386.158,2,193.079,0,3,1.77569e-08,1
10,before_annealing,0.0348036,0.00633908,22.966,2,11.483,0,3,2.70921e-06,1,0.0209675,0.0112,91.2049,2,45.6024,0,3,2.19329e-06,1
11,before_annealing,0.0759359,0.00144537,36.4729,2,18.2364,0,3,9.92907e-09,1,0.0707526,0.00192136,0.628681,2,0.314341,0,3,3.92195e-08,1
12,before_annealing,0.0727265,0.0117668,49.4189,2,24.7094,0,3,8.99446e-07,1,0.0522999,0.0160178,43.4292,2,21.7146,0,3,4.04727e-06,1
13,before_annealing,0.078498,0.00220623,17.104,2,8.55199,0,3,2.93757e-08,1,0.076178,0.00341971,0.339696,2,0.169848,0,3,8.7186e-08,1
14,before_annealing,0.0741078,0.000304791,71.5823,2,35.7911,0,3,5.62075e-06,1,0.0741472,0.000355034,31.766,2,15.883,0,3,4.71054e-06,1
15,before_annealing,0.0924133,0.00311096,136.881,2,68.4405,0,3,1.88078e-08,1,0.10978,0.00495177,51.7117,2,25.8558,0,3,3.46945e-09,1
16,before_annealing,0.0949419,0.00695261,32.4656,2,16.2328,0,3,2.34065e-06,1,0.124393,0.00986938,48.2555,2,24.1278,0,3,2.65179e-07,1
17,before_annealing,0.171035,0.0100529,47.2196,2,23.6098,0,3,3.20714e-07,1,0.15663,0.0134321,49.7899,2,24.8949,0,3,1.42281e-09,1
18,before_annealing,0.075305,0.00135645,69.6894,2,34.8447,0,3,4.93244e-08,1,0.0709648,0.00197654,72.5598,2,36.2799,0,3,2.72596e-07,1
19,before_annealing,0.0613589,0.000282376,279.682,2,139.841,0,3,3.14672e-07,1,0.0596896,0.000325964,282.244,2,141.122,0,3,1.2721e-08,1
20,before_annealing,0.0846091,0.00217345,35.8854,2,17.9427,0,3,2.45835e-09,1,0.0811619,0.00385676,78.8329,2,39.4164,0,3,8.97886e-09,1
21,before_annealing,0.0653855,0.000923306,303.322,2,151.661,0,3,2.7396e-09,1,0.069307,0.00114626,170.632,2,85.3158,0,3,8.62073e-08,1
22,before_annealing,0.107759,0.00416266,23.3609,2,11.6805,0,3,2.36997e-07,1,0.141663,0.00732446,2.01176,2,1.00588,0,3,1.30227e-06,1
23,before_annealing,-0.434528,0.00153481,23141.8,2,11570.9,0,3,1.2624e-06,1,-0.45387,0.00183538,15763.7,2,7881.83,0,3,1.48162e-07,1
24,before_annealing,0.112684,0.00642275,108.344,2,54.1718,0,3,9.8619e-07,1,0.106674,0.00925417,106.845,2,53.4223,0,3,1.13835e-05,1
25,before_annealing,0.0560326,0.000957262,270.27,2,135.135,0,3,6.59742e-06,1,0.0510924,0.00121906,92.0573,2,46.0287,0,3,1.57633e-07,1
26,before_annealing,0.0546488,0.00281988,93.4023,2,46.7011,0,3,7.33375e-07,1,0.0743173,0.00476521,206.916,2,103.458,0,3,5.65912e-08,1
