spot,x,y,luminosity,error,T,v,v_fin
0,65.68,816.22,19.5189,5.39766,20,52.3,1.0
0,65.68,816.22,421.501,8.57892,20,53.3,2.0
0,65.68,816.22,61.7244,6.77237,20,54.3,3.0
0,65.68,816.22,92.2244,7.09845,20,55.3,4.0
0,65.68,816.22,119.028,7.44692,20,56.3,5.0
0,65.68,816.22,250.035,8.83627,20,58.3,7.0
1,75.34,103.02,11.9825,5.1535,20,52.3,1.0
1,75.34,103.02,15.554,5.64459,20,53.3,2.0
1,75.34,103.02,25.8245,6.47747,20,54.3,3.0
1,75.34,103.02,61.9211,6.73809,20,55.3,4.0
1,75.34,103.02,107.449,7.11728,20,56.3,5.0
1,75.34,103.02,224.072,8.57185,20,58.3,7.0
2,177.85,178.45,133.83,4.95843,20,52.3,1.0
2,177.85,178.45,524.73,5.62633,20,53.3,2.0
2,177.85,178.45,1221.76,6.36625,20,54.3,3.0
2,177.85,178.45,2259.33,6.91006,20,55.3,4.0
2,177.85,178.45,3745.63,7.90767,20,56.3,5.0
2,177.85,178.45,8758.23,12.06,20,58.3,7.0
3,190.57,526.35,7.58418,5.03705,20,52.3,1.0
3,190.57,526.35,25.7926,5.77064,20,53.3,2.0
3,190.57,526.35,60.0071,6.24473,20,54.3,3.0
3,190.57,526.35,106.344,6.68968,20,55.3,4.0
3,190.57,526.35,180.609,7.07962,20,56.3,5.0
3,190.57,526.35,387.109,8.4875,20,58.3,7.0
4,232.77,250.09,26.5923,5.35999,20,52.3,1.0
4,232.77,250.09,87.2053,6.55311,20,53.3,2.0
4,232.77,250.09,177.164,7.40432,20,54.3,3.0
4,232.77,250.09,282.083,7.9238,20,55.3,4.0
4,232.77,250.09,445.69,9.09675,20,56.3,5.0
4,232.77,250.09,823.068,10.1726,20,58.3,7.0
5,249.8,357.46,18.2614,4.73926,20,52.3,1.0
5,249.8,357.46,70.7141,5.23215,20,53.3,2.0
5,249.8,357.46,154.421,6.0672,20,54.3,3.0
5,249.8,357.46,333.812,7.01478,20,55.3,4.0
5,249.8,357.46,586.745,8.38268,20,56.3,5.0
5,249.8,357.46,1695.46,14.4702,20,58.3,7.0
6,332.19,293.52,5.85152,4.78198,20,52.3,1.0
6,332.19,293.52,9.29438,5.42234,20,53.3,2.0
6,332.19,293.52,32.6628,6.09494,20,54.3,3.0
6,332.19,293.52,30.9785,6.43722,20,55.3,4.0
6,332.19,293.52,51.4104,7.04238,20,56.3,5.0
6,332.19,293.52,92.0821,7.7627,20,58.3,7.0
7,355.04,852.17,8.49284,4.99984,20,52.3,1.0
7,355.04,852.17,8.76491,5.71544,20,53.3,2.0
7,355.04,852.17,19.6937,6.23649,20,54.3,3.0
7,355.04,852.17,34.5676,6.86366,20,55.3,4.0
7,355.04,852.17,48.0055,7.32044,20,56.3,5.0
7,355.04,852.17,105.885,8.18514,20,58.3,7.0
8,414.35,953.94,14.8448,5.80558,20,52.3,1.0
8,414.35,953.94,26.313,6.50669,20,53.3,2.0
8,414.35,953.94,42.4523,7.6168,20,54.3,3.0
8,414.35,953.94,82.0913,8.73539,20,55.3,4.0
8,414.35,953.94,116.326,9.77018,20,56.3,5.0
8,414.35,953.94,180.104,8.68575,20,58.3,7.0
9,420.15,77.55,0.0743397,5.02598,20,52.3,1.0
9,420.15,77.55,3.28771,5.62893,20,53.3,2.0
9,420.15,77.55,20.5525,6.26397,20,54.3,3.0
9,420.15,77.55,32.5351,6.60071,20,55.3,4.0
9,420.15,77.55,63.1832,7.28209,20,56.3,5.0
9,420.15,77.55,114.837,8.30267,20,58.3,7.0
10,426.21,492.06,25.4463,5.312,20,52.3,1.0
10,426.21,492.06,75.9315,5.86681,20,53.3,2.0
10,426.21,492.06,148.026,6.67733,20,54.3,3.0
10,426.21,492.06,261.343,7.17607,20,55.3,4.0
10,426.21,492.06,400.884,7.52932,20,56.3,5.0
10,426.21,492.06,850.426,8.87581,20,58.3,7.0
11,512.94,887.63,15.6354,8.56164,20,52.3,1.0
11,512.94,887.63,41.3277,7.32775,20,53.3,2.0
11,512.94,887.63,80.4845,7.78582,20,54.3,3.0
11,512.94,887.63,139.976,8.23612,20,55.3,4.0
11,512.94,887.63,197.181,8.4806,20,56.3,5.0
11,512.94,887.63,423.407,11.7191,20,58.3,7.0
12,634.37,920.82,9.09552,4.54284,20,52.3,1.0
12,634.37,920.82,24.0276,5.26744,20,53.3,2.0
12,634.37,920.82,32.2513,5.97355,20,54.3,3.0
12,634.37,920.82,61.2009,6.241,20,55.3,4.0
12,634.37,920.82,79.1593,6.68032,20,56.3,5.0
12,634.37,920.82,127.642,7.37276,20,58.3,7.0
13,646.05,444.27,0.674559,4.52448,20,52.3,1.0
13,646.05,444.27,7.1693,5.10017,20,53.3,2.0
13,646.05,444.27,26.1218,5.84402,20,54.3,3.0
13,646.05,444.27,42.0328,6.20521,20,55.3,4.0
13,646.05,444.27,57.8086,6.71628,20,56.3,5.0
13,646.05,444.27,95.6312,7.42099,20,58.3,7.0
14,646.65,578.45,16.7725,4.71977,20,52.3,1.0
14,646.65,578.45,70.2435,5.38123,20,53.3,2.0
14,646.65,578.45,156.582,5.92965,20,54.3,3.0
14,646.65,578.45,275.798,6.42128,20,55.3,4.0
14,646.65,578.45,437.161,6.93156,20,56.3,5.0
14,646.65,578.45,896.829,8.17851,20,58.3,7.0
15,801.91,196.62,-0.86739,6.19273,20,52.3,1.0
15,801.91,196.62,16.3452,6.37562,20,53.3,2.0
15,801.91,196.62,62.5671,7.43213,20,54.3,3.0
15,801.91,196.62,109.045,7.30735,20,55.3,4.0
15,801.91,196.62,174.941,9.36214,20,56.3,5.0
15,801.91,196.62,361.93,10.4877,20,58.3,7.0
16,804.99,590.67,10.9357,4.73124,20,52.3,1.0
16,804.99,590.67,35.4408,5.40094,20,53.3,2.0
16,804.99,590.67,57.0931,6.06171,20,54.3,3.0
16,804.99,590.67,95.6507,6.55062,20,55.3,4.0
16,804.99,590.67,140.146,7.0709,20,56.3,5.0
16,804.99,590.67,243.106,8.0894,20,58.3,7.0
17,812.3,318.78,14.6158,5.19904,20,52.3,1.0
17,812.3,318.78,26.2414,6.00357,20,53.3,2.0
17,812.3,318.78,54.7863,6.78323,20,54.3,3.0
17,812.3,318.78,108.825,7.05339,20,55.3,4.0
17,812.3,318.78,168.584,7.67485,20,56.3,5.0
17,812.3,318.78,342.773,8.75223,20,58.3,7.0
18,829.58,888.38,45.3319,4.85218,20,52.3,1.0
18,829.58,888.38,149.501,5.58929,20,53.3,2.0
18,829.58,888.38,314.554,6.25246,20,54.3,3.0
18,829.58,888.38,561.743,6.63082,20,55.3,4.0
18,829.58,888.38,910.436,7.14607,20,56.3,5.0
18,829.58,888.38,2023.18,9.22278,20,58.3,7.0
19,855.97,476.95,9.89698,5.01435,20,52.3,1.0
19,855.97,476.95,8.66894,5.57108,20,53.3,2.0
19,855.97,476.95,17.1593,6.30821,20,54.3,3.0
19,855.97,476.95,37.8071,6.79322,20,55.3,4.0
19,855.97,476.95,54.9508,7.45794,20,56.3,5.0
19,855.97,476.95,97.9742,8.16944,20,58.3,7.0
20,867.42,1011.22,3.38614,4.88057,20,52.3,1.0
20,867.42,1011.22,23.3441,5.60979,20,53.3,2.0
20,867.42,1011.22,37.3974,6.17322,20,54.3,3.0
20,867.42,1011.22,63.5794,6.75781,20,55.3,4.0
20,867.42,1011.22,90.578,7.37316,20,56.3,5.0
20,867.42,1011.22,168.67,8.26972,20,58.3,7.0
21,905.82,735.04,18.237,4.94288,20,52.3,1.0
21,905.82,735.04,31.318,5.84429,20,53.3,2.0
21,905.82,735.04,77.1395,6.62133,20,54.3,3.0
21,905.82,735.04,147.297,6.8999,20,55.3,4.0
21,905.82,735.04,242.105,7.71006,20,56.3,5.0
21,905.82,735.04,583.949,8.5134,20,58.3,7.0
22,908.42,409.47,-1.60601,4.34795,20,52.3,1.0
22,908.42,409.47,35.3257,5.15975,20,53.3,2.0
22,908.42,409.47,132.87,5.74463,20,54.3,3.0
22,908.42,409.47,311.953,6.19618,20,55.3,4.0
22,908.42,409.47,600.284,7.06119,20,56.3,5.0
22,908.42,409.47,1565.01,8.33987,20,58.3,7.0
23,1047.19,959.55,12.8262,5.61334,20,52.3,1.0
23,1047.19,959.55,14.8786,6.36805,20,53.3,2.0
23,1047.19,959.55,30.9411,6.96278,20,54.3,3.0
23,1047.19,959.55,50.6244,7.36395,20,55.3,4.0
23,1047.19,959.55,61.0335,8.17048,20,56.3,5.0
23,1047.19,959.55,114.236,8.87661,20,58.3,7.0
24,1049.31,806.45,3.83558,5.2218,20,52.3,1.0
24,1049.31,806.45,25.4836,5.97701,20,53.3,2.0
24,1049.31,806.45,55.3347,6.59651,20,54.3,3.0
24,1049.31,806.45,87.3348,6.94109,20,55.3,4.0
24,1049.31,806.45,145.389,7.84325,20,56.3,5.0
24,1049.31,806.45,321.46,8.60292,20,58.3,7.0
25,1063.41,237.03,-5.27173,4.32478,20,52.3,1.0
25,1063.41,237.03,5.83884,5.25095,20,53.3,2.0
25,1063.41,237.03,8.96159,5.83391,20,54.3,3.0
25,1063.41,237.03,27.5268,6.41147,20,55.3,4.0
25,1063.41,237.03,48.4228,6.90954,20,56.3,5.0
25,1063.41,237.03,86.5255,7.56181,20,58.3,7.0
26,1085.31,525.4,37.6476,5.0516,20,52.3,1.0
26,1085.31,525.4,148.999,6.0819,20,53.3,2.0
26,1085.31,525.4,362.24,6.6593,20,54.3,3.0
26,1085.31,525.4,678.343,7.17499,20,55.3,4.0
26,1085.31,525.4,1127.56,8.10219,20,56.3,5.0
26,1085.31,525.4,2845.18,10.1569,20,58.3,7.0
27,1086.48,690.02,4.98731,15.3189,20,52.3,1.0
27,1086.48,690.02,9.65201,9.09872,20,53.3,2.0
27,1086.48,690.02,33.1647,10.8866,20,54.3,3.0
27,1086.48,690.02,50.6419,10.8788,20,55.3,4.0
27,1086.48,690.02,75.0506,11.4599,20,56.3,5.0
27,1086.48,690.02,150.051,14.9021,20,58.3,7.0
28,1145.91,430.09,3.52844,4.80409,20,52.3,1.0
28,1145.91,430.09,13.3855,5.75149,20,53.3,2.0
28,1145.91,430.09,24.0472,6.26624,20,54.3,3.0
28,1145.91,430.09,26.3664,6.7328,20,55.3,4.0
28,1145.91,430.09,46.496,7.51589,20,56.3,5.0
28,1145.91,430.09,80.9193,7.92889,20,58.3,7.0
29,1165.04,241.8,265.173,4.89852,20,52.3,1.0
29,1165.04,241.8,788.553,5.86777,20,53.3,2.0
29,1165.04,241.8,1512.59,6.68679,20,54.3,3.0
29,1165.04,241.8,2366.46,7.34075,20,55.3,4.0
29,1165.04,241.8,3359.08,8.43462,20,56.3,5.0
29,1165.04,241.8,5872.87,10.8223,20,58.3,7.0
30,1173.6,654.95,8.90708,5.03005,20,52.3,1.0
30,1173.6,654.95,19.128,6.02462,20,53.3,2.0
30,1173.6,654.95,53.2399,6.36063,20,54.3,3.0
30,1173.6,654.95,88.3659,7.08908,20,55.3,4.0
30,1173.6,654.95,129.574,7.69403,20,56.3,5.0
30,1173.6,654.95,250.098,8.7422,20,58.3,7.0
31,1241.26,485.77,14.5294,4.93823,20,52.3,1.0
31,1241.26,485.77,38.4361,5.87996,20,53.3,2.0
31,1241.26,485.77,82.305,6.40641,20,54.3,3.0
31,1241.26,485.77,120.694,7.00579,20,55.3,4.0
31,1241.26,485.77,330.973,8.79478,20,56.3,5.0
31,1241.26,485.77,1467.61,8.93594,20,58.3,7.0
32,1288.94,322.32,1.44461,8.30604,20,52.3,1.0
32,1288.94,322.32,8.23679,9.34239,20,53.3,2.0
32,1288.94,322.32,26.4594,9.50487,20,54.3,3.0
32,1288.94,322.32,48.7142,9.16585,20,55.3,4.0
32,1288.94,322.32,82.6686,10.9175,20,56.3,5.0
32,1288.94,322.32,172.091,13.6309,20,58.3,7.0
33,1334.69,627.39,1.79459,5.20151,20,52.3,1.0
33,1334.69,627.39,5.65268,5.91887,20,53.3,2.0
33,1334.69,627.39,17.6172,6.73147,20,54.3,3.0
33,1334.69,627.39,80.1523,7.28383,20,55.3,4.0
33,1334.69,627.39,239.711,8.01653,20,56.3,5.0
33,1334.69,627.39,1133.94,10.34,20,58.3,7.0
34,1370.65,812.73,1.6108,4.76843,20,52.3,1.0
34,1370.65,812.73,16.024,5.76528,20,53.3,2.0
34,1370.65,812.73,29.805,6.15368,20,54.3,3.0
34,1370.65,812.73,59.2628,6.59258,20,55.3,4.0
34,1370.65,812.73,69.2158,7.46551,20,56.3,5.0
34,1370.65,812.73,118.199,8.04153,20,58.3,7.0
35,1374.45,913.9,22.1019,6.48465,20,52.3,1.0
35,1374.45,913.9,36.2783,7.09408,20,53.3,2.0
35,1374.45,913.9,71.9243,7.57694,20,54.3,3.0
35,1374.45,913.9,120.107,7.8915,20,55.3,4.0
35,1374.45,913.9,181.36,8.74625,20,56.3,5.0
35,1374.45,913.9,387.117,10.6621,20,58.3,7.0
36,1382.37,118.52,-7.171,6.33823,20,52.3,1.0
36,1382.37,118.52,-8.21866,7.34207,20,53.3,2.0
36,1382.37,118.52,1.25553,8.08372,20,54.3,3.0
36,1382.37,118.52,17.0459,8.53558,20,55.3,4.0
36,1382.37,118.52,76.763,9.02153,20,56.3,5.0
36,1382.37,118.52,183.316,10.8417,20,58.3,7.0
37,1420.84,353.25,1.80529,4.90446,20,52.3,1.0
37,1420.84,353.25,14.8045,5.66115,20,53.3,2.0
37,1420.84,353.25,23.0976,6.57703,20,54.3,3.0
37,1420.84,353.25,35.4398,6.78769,20,55.3,4.0
37,1420.84,353.25,55.9308,7.46931,20,56.3,5.0
37,1420.84,353.25,107.803,8.27485,20,58.3,7.0
38,1493.73,508.82,-0.0567123,4.67664,20,52.3,1.0
38,1493.73,508.82,34.1185,5.62858,20,53.3,2.0
38,1493.73,508.82,134.711,5.97219,20,54.3,3.0
38,1493.73,508.82,296.568,6.69435,20,55.3,4.0
38,1493.73,508.82,576.115,7.59627,20,56.3,5.0
38,1493.73,508.82,1554.63,8.58733,20,58.3,7.0
39,1532.36,405.71,-3.4992,4.91554,20,52.3,1.0
39,1532.36,405.71,3.94306,5.92866,20,53.3,2.0
39,1532.36,405.71,14.6178,6.35965,20,54.3,3.0
39,1532.36,405.71,25.1478,6.91963,20,55.3,4.0
39,1532.36,405.71,49.3031,7.43656,20,56.3,5.0
39,1532.36,405.71,96.2799,8.313,20,58.3,7.0
40,1581.67,651.74,4.27811,4.71706,20,52.3,1.0
40,1581.67,651.74,9.43334,5.86467,20,53.3,2.0
40,1581.67,651.74,14.9634,6.53581,20,54.3,3.0
40,1581.67,651.74,30.1429,6.95158,20,55.3,4.0
40,1581.67,651.74,42.9183,7.62329,20,56.3,5.0
40,1581.67,651.74,105.067,8.3591,20,58.3,7.0
41,1615.25,704.71,4.3164,5.33119,20,52.3,1.0
41,1615.25,704.71,8.36437,6.11188,20,53.3,2.0
41,1615.25,704.71,22.8763,6.91666,20,54.3,3.0
41,1615.25,704.71,48.7489,7.33693,20,55.3,4.0
41,1615.25,704.71,47.306,8.32247,20,56.3,5.0
41,1615.25,704.71,97.737,9.03716,20,58.3,7.0
42,1616.48,988.23,21.5442,5.05541,20,52.3,1.0
42,1616.48,988.23,70.6402,5.98589,20,53.3,2.0
42,1616.48,988.23,133.409,6.41301,20,54.3,3.0
42,1616.48,988.23,251.821,7.10071,20,55.3,4.0
42,1616.48,988.23,430.243,7.84091,20,56.3,5.0
42,1616.48,988.23,1013.03,8.87335,20,58.3,7.0
43,1719.92,805.8,6.15969,4.61208,20,52.3,1.0
43,1719.92,805.8,16.6371,5.51892,20,53.3,2.0
43,1719.92,805.8,23.1304,5.97741,20,54.3,3.0
43,1719.92,805.8,28.8051,6.45945,20,55.3,4.0
43,1719.92,805.8,36.5902,7.42232,20,56.3,5.0
43,1719.92,805.8,58.6402,7.86803,20,58.3,7.0
44,1730.44,722.55,129.2,4.6835,20,52.3,1.0
44,1730.44,722.55,443.144,5.68697,20,53.3,2.0
44,1730.44,722.55,920.866,6.40437,20,54.3,3.0
44,1730.44,722.55,1623.0,7.06913,20,55.3,4.0
44,1730.44,722.55,2531.2,8.05452,20,56.3,5.0
44,1730.44,722.55,5246.13,10.6647,20,58.3,7.0
45,1769.59,478.59,-0.491853,6.0624,20,52.3,1.0
45,1769.59,478.59,11.2246,6.14015,20,53.3,2.0
45,1769.59,478.59,25.2128,8.70337,20,54.3,3.0
45,1769.59,478.59,45.2365,7.68688,20,55.3,4.0
45,1769.59,478.59,69.9175,8.95541,20,56.3,5.0
45,1769.59,478.59,91.2682,9.3538,20,58.3,7.0
46,1779.53,555.35,10.9185,5.11833,20,52.3,1.0
46,1779.53,555.35,32.0683,6.35706,20,53.3,2.0
46,1779.53,555.35,77.5979,6.83554,20,54.3,3.0
46,1779.53,555.35,113.74,7.62212,20,55.3,4.0
46,1779.53,555.35,146.892,8.1267,20,56.3,5.0
46,1779.53,555.35,271.775,9.17996,20,58.3,7.0
47,1816.84,356.36,10.4112,5.10795,20,52.3,1.0
47,1816.84,356.36,51.0128,6.0059,20,53.3,2.0
47,1816.84,356.36,92.7116,6.38883,20,54.3,3.0
47,1816.84,356.36,200.43,6.9913,20,55.3,4.0
47,1816.84,356.36,303.295,7.94894,20,56.3,5.0
47,1816.84,356.36,772.846,8.86556,20,58.3,7.0
48,1820.45,992.96,3.19032,6.00566,20,52.3,1.0
48,1820.45,992.96,11.1417,6.99434,20,53.3,2.0
48,1820.45,992.96,10.5397,7.43775,20,54.3,3.0
48,1820.45,992.96,240.593,8.04068,20,55.3,4.0
48,1820.45,992.96,330.358,8.92868,20,56.3,5.0
48,1820.45,992.96,598.55,10.0836,20,58.3,7.0
49,1844.77,887.5,8.73619,5.2262,20,52.3,1.0
49,1844.77,887.5,22.0084,5.98122,20,53.3,2.0
49,1844.77,887.5,27.2658,6.78829,20,54.3,3.0
49,1844.77,887.5,54.6987,6.97227,20,55.3,4.0
49,1844.77,887.5,66.8297,7.83858,20,56.3,5.0
49,1844.77,887.5,269.87,8.50379,20,58.3,7.0
50,1848.41,557.58,42.1142,5.38159,20,52.3,1.0
50,1848.41,557.58,141.927,6.48001,20,53.3,2.0
50,1848.41,557.58,285.671,6.90576,20,54.3,3.0
50,1848.41,557.58,476.271,7.55875,20,55.3,4.0
50,1848.41,557.58,747.19,8.45006,20,56.3,5.0
50,1848.41,557.58,1373.45,9.87096,20,58.3,7.0
