spot,x,y,luminosity,error,T,v,v_fin
0,68.9,813.55,42.461,5.20483,20,52.3,1.0
0,68.9,813.55,137.933,5.58076,20,53.3,2.0
0,68.9,813.55,267.372,5.98081,20,54.3,3.0
0,68.9,813.55,429.339,6.40041,20,55.3,4.0
0,68.9,813.55,640.189,7.0589,20,56.3,5.0
0,68.9,813.55,2436.41,32.263,20,58.3,7.0
1,78.5,100.41,3.25784,5.04994,20,52.3,1.0
1,78.5,100.41,11.2024,5.29069,20,53.3,2.0
1,78.5,100.41,25.4314,6.10589,20,54.3,3.0
1,78.5,100.41,52.3259,6.13982,20,55.3,4.0
1,78.5,100.41,85.9658,6.91028,20,56.3,5.0
1,78.5,100.41,193.862,7.84445,20,58.3,7.0
2,93.75,359.08,1.96937,6.26887,20,52.3,1.0
2,93.75,359.08,16.1771,6.57238,20,53.3,2.0
2,93.75,359.08,58.6086,7.03066,20,54.3,3.0
2,93.75,359.08,122.987,7.82837,20,55.3,4.0
2,93.75,359.08,208.249,8.53341,20,56.3,5.0
2,93.75,359.08,400.796,9.62127,20,58.3,7.0
3,138.25,261.48,2.50333,4.81051,20,52.3,1.0
3,138.25,261.48,12.218,5.26598,20,53.3,2.0
3,138.25,261.48,28.6742,5.67466,20,54.3,3.0
3,138.25,261.48,44.3821,5.9667,20,55.3,4.0
3,138.25,261.48,59.6224,6.43883,20,56.3,5.0
3,138.25,261.48,115.022,7.55493,20,58.3,7.0
4,180.85,175.76,157.938,4.80121,20,52.3,1.0
4,180.85,175.76,622.682,5.20485,20,53.3,2.0
4,180.85,175.76,1497.81,5.83113,20,54.3,3.0
4,180.85,175.76,2837.74,6.5561,20,55.3,4.0
4,180.85,175.76,4773.04,7.92745,20,56.3,5.0
4,180.85,175.76,11440.3,12.8059,20,58.3,7.0
5,193.6,523.67,5.90688,4.9796,20,52.3,1.0
5,193.6,523.67,34.7923,5.3474,20,53.3,2.0
5,193.6,523.67,93.9565,5.62463,20,54.3,3.0
5,193.6,523.67,182.69,6.07425,20,55.3,4.0
5,193.6,523.67,296.639,6.68467,20,56.3,5.0
5,193.6,523.67,729.458,8.28979,20,58.3,7.0
6,232.97,761.01,3.02458,4.42374,20,52.3,1.0
6,232.97,761.01,5.20125,4.70852,20,53.3,2.0
6,232.97,761.01,19.1249,5.11972,20,54.3,3.0
6,232.97,761.01,15.8889,5.31162,20,55.3,4.0
6,232.97,761.01,36.567,5.99285,20,56.3,5.0
6,232.97,761.01,110.656,6.99466,20,58.3,7.0
7,235.75,247.53,42.5843,5.18762,20,52.3,1.0
7,235.75,247.53,160.305,5.54129,20,53.3,2.0
7,235.75,247.53,303.838,6.19254,20,54.3,3.0
7,235.75,247.53,521.719,6.58198,20,55.3,4.0
7,235.75,247.53,779.65,7.50948,20,56.3,5.0
7,235.75,247.53,1848.56,10.1956,20,58.3,7.0
8,252.74,354.53,9.04173,4.48421,20,52.3,1.0
8,252.74,354.53,28.1914,4.696,20,53.3,2.0
8,252.74,354.53,78.0141,5.12036,20,54.3,3.0
8,252.74,354.53,136.204,5.3353,20,55.3,4.0
8,252.74,354.53,208.744,5.84785,20,56.3,5.0
8,252.74,354.53,511.349,7.4539,20,58.3,7.0
9,334.91,291.31,6.41409,4.9157,20,52.3,1.0
9,334.91,291.31,13.6367,5.34361,20,53.3,2.0
9,334.91,291.31,21.7665,5.61303,20,54.3,3.0
9,334.91,291.31,45.8819,5.91417,20,55.3,4.0
9,334.91,291.31,57.6161,6.25001,20,56.3,5.0
9,334.91,291.31,95.5478,7.48403,20,58.3,7.0
10,358.14,849.88,11.809,4.73251,20,52.3,1.0
10,358.14,849.88,32.7765,5.07212,20,53.3,2.0
10,358.14,849.88,75.6295,5.33219,20,54.3,3.0
10,358.14,849.88,130.081,5.69502,20,55.3,4.0
10,358.14,849.88,233.694,6.35195,20,56.3,5.0
10,358.14,849.88,534.993,7.82364,20,58.3,7.0
11,417.78,951.19,20.577,4.85119,20,52.3,1.0
11,417.78,951.19,47.3686,5.2099,20,53.3,2.0
11,417.78,951.19,84.663,5.74476,20,54.3,3.0
11,417.78,951.19,136.555,6.06874,20,55.3,4.0
11,417.78,951.19,204.913,6.41688,20,56.3,5.0
11,417.78,951.19,370.084,7.78085,20,58.3,7.0
12,417.93,552.38,3.21794,4.599,20,52.3,1.0
12,417.93,552.38,13.2825,4.90672,20,53.3,2.0
12,417.93,552.38,11.4094,5.33227,20,54.3,3.0
12,417.93,552.38,28.7745,5.6238,20,55.3,4.0
12,417.93,552.38,26.2576,6.00588,20,56.3,5.0
12,417.93,552.38,51.853,7.13491,20,58.3,7.0
13,423.28,75.54,-8.11711,4.66902,20,52.3,1.0
13,423.28,75.54,11.3765,4.83131,20,53.3,2.0
13,423.28,75.54,33.5714,5.43339,20,54.3,3.0
13,423.28,75.54,76.8177,5.61268,20,55.3,4.0
13,423.28,75.54,129.09,6.20737,20,56.3,5.0
13,423.28,75.54,273.752,7.3334,20,58.3,7.0
14,429.4,489.45,62.5271,4.69496,20,52.3,1.0
14,429.4,489.45,206.946,4.89387,20,53.3,2.0
14,429.4,489.45,453.59,5.60674,20,54.3,3.0
14,429.4,489.45,781.493,5.94752,20,55.3,4.0
14,429.4,489.45,1230.04,6.59554,20,56.3,5.0
14,429.4,489.45,2499.97,8.87244,20,58.3,7.0
15,505.46,1000.84,12.1456,5.86895,20,52.3,1.0
15,505.46,1000.84,14.2525,7.16232,20,53.3,2.0
15,505.46,1000.84,38.8129,7.20519,20,54.3,3.0
15,505.46,1000.84,49.7384,7.31646,20,55.3,4.0
15,505.46,1000.84,65.6342,8.46689,20,56.3,5.0
15,505.46,1000.84,124.462,9.82866,20,58.3,7.0
16,516.16,884.76,59.4957,6.08997,20,52.3,1.0
16,516.16,884.76,227.488,6.04766,20,53.3,2.0
16,516.16,884.76,498.583,6.2765,20,54.3,3.0
16,516.16,884.76,881.483,8.00153,20,55.3,4.0
16,516.16,884.76,1376.24,8.79651,20,56.3,5.0
16,516.16,884.76,2777.06,11.5835,20,58.3,7.0
17,596.39,529.79,4.66009,4.4504,20,52.3,1.0
17,596.39,529.79,0.477019,4.7752,20,53.3,2.0
17,596.39,529.79,5.7117,5.0926,20,54.3,3.0
17,596.39,529.79,26.3921,5.49287,20,55.3,4.0
17,596.39,529.79,40.5634,5.77505,20,56.3,5.0
17,596.39,529.79,108.257,6.88965,20,58.3,7.0
18,609.21,338.0,8.92157,5.1517,20,52.3,1.0
18,609.21,338.0,7.17436,5.7684,20,53.3,2.0
18,609.21,338.0,9.47254,6.39474,20,54.3,3.0
18,609.21,338.0,23.7434,6.10226,20,55.3,4.0
18,609.21,338.0,42.7142,6.99878,20,56.3,5.0
18,609.21,338.0,49.4273,8.04457,20,58.3,7.0
19,649.04,441.8,8.15941,4.39663,20,52.3,1.0
19,649.04,441.8,38.779,4.87398,20,53.3,2.0
19,649.04,441.8,70.2306,5.32895,20,54.3,3.0
19,649.04,441.8,115.293,5.34064,20,55.3,4.0
19,649.04,441.8,149.81,6.14932,20,56.3,5.0
19,649.04,441.8,266.498,7.01169,20,58.3,7.0
20,649.92,575.53,22.6706,4.50485,20,52.3,1.0
20,649.92,575.53,146.207,4.90306,20,53.3,2.0
20,649.92,575.53,424.763,5.32883,20,54.3,3.0
20,649.92,575.53,825.48,5.77704,20,55.3,4.0
20,649.92,575.53,1407.59,6.55734,20,56.3,5.0
20,649.92,575.53,3063.94,8.57011,20,58.3,7.0
21,661.51,689.89,3.88576,4.73781,20,52.3,1.0
21,661.51,689.89,18.8928,5.03138,20,53.3,2.0
21,661.51,689.89,38.5139,5.46945,20,54.3,3.0
21,661.51,689.89,55.4452,5.62508,20,55.3,4.0
21,661.51,689.89,97.9378,6.24609,20,56.3,5.0
21,661.51,689.89,232.818,7.61003,20,58.3,7.0
22,699.83,367.63,0.915901,4.77524,20,52.3,1.0
22,699.83,367.63,8.50058,4.96135,20,53.3,2.0
22,699.83,367.63,13.4459,5.49512,20,54.3,3.0
22,699.83,367.63,22.5829,5.6651,20,55.3,4.0
22,699.83,367.63,32.6824,6.3526,20,56.3,5.0
22,699.83,367.63,74.8147,7.3115,20,58.3,7.0
23,808.25,588.03,24.5837,4.49092,20,52.3,1.0
23,808.25,588.03,88.4572,4.97885,20,53.3,2.0
23,808.25,588.03,181.345,5.25633,20,54.3,3.0
23,808.25,588.03,277.936,5.71739,20,55.3,4.0
23,808.25,588.03,416.122,6.50471,20,56.3,5.0
23,808.25,588.03,712.475,8.10932,20,58.3,7.0
24,815.4,315.87,1.21971,5.19309,20,52.3,1.0
24,815.4,315.87,13.685,5.36554,20,53.3,2.0
24,815.4,315.87,30.8771,5.7871,20,54.3,3.0
24,815.4,315.87,40.9657,5.96288,20,55.3,4.0
24,815.4,315.87,70.2271,6.54473,20,56.3,5.0
24,815.4,315.87,142.794,8.06212,20,58.3,7.0
25,870.77,1007.93,14.2126,4.64604,20,52.3,1.0
25,870.77,1007.93,25.4376,5.0492,20,53.3,2.0
25,870.77,1007.93,52.3916,5.46695,20,54.3,3.0
25,870.77,1007.93,92.6721,5.51676,20,55.3,4.0
25,870.77,1007.93,447.952,11.8435,20,56.3,5.0
25,870.77,1007.93,2872.16,17.6262,20,58.3,7.0
26,908.95,732.16,25.078,4.88091,20,52.3,1.0
26,908.95,732.16,78.9637,5.22447,20,53.3,2.0
26,908.95,732.16,201.56,5.66955,20,54.3,3.0
26,908.95,732.16,371.559,6.03584,20,55.3,4.0
26,908.95,732.16,597.39,6.8865,20,56.3,5.0
26,908.95,732.16,1533.48,8.79825,20,58.3,7.0
27,911.68,407.01,10.8497,4.20401,20,52.3,1.0
27,911.68,407.01,77.013,4.53291,20,53.3,2.0
27,911.68,407.01,319.325,5.01476,20,54.3,3.0
27,911.68,407.01,821.215,5.18146,20,55.3,4.0
27,911.68,407.01,1635.68,6.39393,20,56.3,5.0
27,911.68,407.01,4424.31,9.50728,20,58.3,7.0
28,1005.03,122.89,-1.38253,4.28157,20,52.3,1.0
28,1005.03,122.89,11.6972,4.7433,20,53.3,2.0
28,1005.03,122.89,21.9365,5.06829,20,54.3,3.0
28,1005.03,122.89,37.4487,5.30306,20,55.3,4.0
28,1005.03,122.89,51.3936,5.85693,20,56.3,5.0
28,1005.03,122.89,81.4938,6.75,20,58.3,7.0
29,1050.32,956.79,20.1533,4.91084,20,52.3,1.0
29,1050.32,956.79,61.5074,5.26787,20,53.3,2.0
29,1050.32,956.79,119.591,5.76212,20,54.3,3.0
29,1050.32,956.79,186.442,5.98015,20,55.3,4.0
29,1050.32,956.79,253.553,6.41476,20,56.3,5.0
29,1050.32,956.79,477.091,8.01304,20,58.3,7.0
30,1052.81,803.87,6.63262,5.00967,20,52.3,1.0
30,1052.81,803.87,3.88383,5.53177,20,53.3,2.0
30,1052.81,803.87,22.8486,5.93494,20,54.3,3.0
30,1052.81,803.87,42.8085,6.06237,20,55.3,4.0
30,1052.81,803.87,72.5227,6.6679,20,56.3,5.0
30,1052.81,803.87,159.177,7.89609,20,58.3,7.0
31,1066.74,233.99,-0.730162,4.23515,20,52.3,1.0
31,1066.74,233.99,3.41644,4.52711,20,53.3,2.0
31,1066.74,233.99,8.36148,4.85447,20,54.3,3.0
31,1066.74,233.99,28.2088,5.27043,20,55.3,4.0
31,1066.74,233.99,26.1242,5.52234,20,56.3,5.0
31,1066.74,233.99,56.4291,6.58687,20,58.3,7.0
32,1089.65,687.12,8.70753,10.7781,20,52.3,1.0
32,1089.65,687.12,15.7614,10.6237,20,53.3,2.0
32,1089.65,687.12,33.0068,11.0575,20,54.3,3.0
32,1089.65,687.12,64.6307,9.99869,20,55.3,4.0
32,1089.65,687.12,102.587,13.4896,20,56.3,5.0
32,1089.65,687.12,260.202,14.6335,20,58.3,7.0
33,1089.72,909.52,13.3734,4.42689,20,52.3,1.0
33,1089.72,909.52,39.9305,4.78689,20,53.3,2.0
33,1089.72,909.52,73.7808,5.19872,20,54.3,3.0
33,1089.72,909.52,93.7664,5.44963,20,55.3,4.0
33,1089.72,909.52,137.068,6.02208,20,56.3,5.0
33,1089.72,909.52,239.95,7.1772,20,58.3,7.0
34,1148.49,428.11,9.02754,4.505,20,52.3,1.0
34,1148.49,428.11,22.8135,4.89827,20,53.3,2.0
34,1148.49,428.11,35.5422,5.21587,20,54.3,3.0
34,1148.49,428.11,57.2478,5.44945,20,55.3,4.0
34,1148.49,428.11,77.6493,6.22128,20,56.3,5.0
34,1148.49,428.11,114.258,7.15015,20,58.3,7.0
35,1168.1,238.79,246.795,4.60805,20,52.3,1.0
35,1168.1,238.79,743.522,4.89485,20,53.3,2.0
35,1168.1,238.79,1422.8,5.51883,20,54.3,3.0
35,1168.1,238.79,2237.51,6.10031,20,55.3,4.0
35,1168.1,238.79,3187.93,7.093,20,56.3,5.0
35,1168.1,238.79,5694.33,10.1174,20,58.3,7.0
