spot,x,y,luminosity,error,T,v,v_fin
0,68.9,813.55,42.3845,2.88038,20,52.3,1.0
0,68.9,813.55,136.078,3.01813,20,53.3,2.0
0,68.9,813.55,253.099,3.46611,20,54.3,3.0
0,68.9,813.55,407.98,3.80733,20,55.3,4.0
0,68.9,813.55,601.024,4.32345,20,56.3,5.0
0,68.9,813.55,2213.22,31.4796,20,58.3,7.0
1,78.5,100.41,4.59899,1.49924,20,52.3,1.0
1,78.5,100.41,11.3364,1.65481,20,53.3,2.0
1,78.5,100.41,26.1652,1.92066,20,54.3,3.0
1,78.5,100.41,38.86,1.95729,20,55.3,4.0
1,78.5,100.41,68.499,2.28962,20,56.3,5.0
1,78.5,100.41,141.472,2.89382,20,58.3,7.0
2,93.75,359.08,-0.892812,2.11699,20,52.3,1.0
2,93.75,359.08,11.6383,2.3931,20,53.3,2.0
2,93.75,359.08,50.6043,2.52356,20,54.3,3.0
2,93.75,359.08,97.2457,2.6699,20,55.3,4.0
2,93.75,359.08,153.074,2.92529,20,56.3,5.0
2,93.75,359.08,282.322,3.64579,20,58.3,7.0
3,138.25,261.48,4.26137,1.45335,20,52.3,1.0
3,138.25,261.48,9.4999,1.51857,20,53.3,2.0
3,138.25,261.48,17.9379,1.62899,20,54.3,3.0
3,138.25,261.48,27.2537,1.71502,20,55.3,4.0
3,138.25,261.48,35.635,1.91217,20,56.3,5.0
3,138.25,261.48,57.8608,2.18501,20,58.3,7.0
4,180.85,175.76,157.775,4.65836,20,52.3,1.0
4,180.85,175.76,621.535,5.04101,20,53.3,2.0
4,180.85,175.76,1494.9,5.67386,20,54.3,3.0
4,180.85,175.76,2830.73,6.39144,20,55.3,4.0
4,180.85,175.76,4758.59,7.76933,20,56.3,5.0
4,180.85,175.76,11386.8,12.6573,20,58.3,7.0
5,193.6,523.67,7.9957,2.70749,20,52.3,1.0
5,193.6,523.67,39.3608,2.79535,20,53.3,2.0
5,193.6,523.67,88.1745,3.01892,20,54.3,3.0
5,193.6,523.67,163.422,3.25135,20,55.3,4.0
5,193.6,523.67,266.544,3.64727,20,56.3,5.0
5,193.6,523.67,610.281,4.85951,20,58.3,7.0
6,232.97,761.01,1.8334,0.864045,20,52.3,1.0
6,232.97,761.01,1.94014,1.01244,20,53.3,2.0
6,232.97,761.01,5.62014,1.14681,20,54.3,3.0
6,232.97,761.01,8.73283,1.04416,20,55.3,4.0
6,232.97,761.01,17.6504,1.25326,20,56.3,5.0
6,232.97,761.01,37.2704,1.47064,20,58.3,7.0
7,235.75,247.53,40.7151,3.6795,20,52.3,1.0
7,235.75,247.53,150.885,3.74143,20,53.3,2.0
7,235.75,247.53,291.834,4.29422,20,54.3,3.0
