x,y,luminosity,error,T,v
870.77,1007.93,12.2729,2.44118,20,52.30
505.46,1000.84,5.0754,1.61629,20,52.30
1619.8,985.17,49.1737,3.59292,20,52.30
1823.67,989.54,8.54135,2.09491,20,52.30
1050.32,956.79,21.8157,2.94026,20,52.30
417.78,951.19,13.1946,2.0908,20,52.30
1178.67,928.66,2.92029,1.44272,20,52.30
1377.8,911.01,11.3803,2.32418,20,52.30
1089.72,909.52,10.4201,1.81444,20,52.30
516.16,884.76,59.5857,5.27683,20,52.30
1846.87,885.1,14.3874,2.97549,20,52.30
1289.32,872.68,4.34195,1.25196,20,52.30
1504.29,861.4,13.9957,1.93344,20,52.30
358.14,849.88,10.863,2.40866,20,52.30
68.9,813.55,42.3845,2.88038,20,52.30
1373.68,809.3,7.6353,2.06897,20,52.30
1586.04,807.44,1.9041,0.889818,20,52.30
1052.81,803.87,2.30237,1.59958,20,52.30
232.97,761.01,1.8334,0.864045,20,52.30
908.95,732.16,20.2125,2.76963,20,52.30
1733.69,719.37,223.208,4.48432,20,52.30
661.51,689.89,3.37939,2.01505,20,52.30
1089.65,687.12,5.27669,1.53881,20,52.30
1228.54,665.73,12.9402,2.16021,20,52.30
1585.37,649.05,1.934,1.87507,20,52.30
1254.8,594.44,2.79926,1.51453,20,52.30
808.25,588.03,21.7523,2.43523,20,52.30
1180.68,592.52,2.38569,1.18787,20,52.30
649.92,575.53,24.3762,3.55114,20,52.30
1851.73,554.11,24.6855,2.53862,20,52.30
1782.9,552.18,13.1593,2.02898,20,52.30
417.93,552.38,1.60073,0.861936,20,52.30
596.39,529.79,-0.638835,0.980686,20,52.30
193.6,523.67,7.9957,2.70749,20,52.30
1496.87,505.65,2.94105,3.38959,20,52.30
429.4,489.45,63.3802,3.53998,20,52.30
1244.35,482.94,20.5009,2.12925,20,52.30
1772.19,474.97,32.7122,2.67865,20,52.30
649.04,441.8,10.4215,1.80161,20,52.30
1148.49,428.11,6.53289,1.42269,20,52.30
911.68,407.01,8.28813,3.2404,20,52.30
1266.31,411.79,2.43702,1.12057,20,52.30
1535.75,403.12,1.73672,1.48872,20,52.30
699.83,367.63,0.214026,1.23544,20,52.30
93.75,359.08,-0.892812,2.11699,20,52.30
252.74,354.53,8.63174,2.0844,20,52.30
1820.09,353.31,12.2076,2.66233,20,52.30
609.21,338,3.33652,1.67664,20,52.30
1291.95,318.97,1.63955,3.43656,20,52.30
815.4,315.87,2.87159,1.86835,20,52.30
334.91,291.31,3.71466,1.50959,20,52.30
1651.74,275.23,5.53466,1.77193,20,52.30
138.25,261.48,4.26137,1.45335,20,52.30
235.75,247.53,40.7151,3.6795,20,52.30
1168.1,238.79,246.078,4.12452,20,52.30
1066.74,233.99,0.364435,0.785551,20,52.30
1253.34,231.35,1.59669,0.837939,20,52.30
1402.61,204.47,9.24809,3.8861,20,52.30
180.85,175.76,157.775,4.65836,20,52.30
1239.58,153.18,-0.861886,1.3025,20,52.30
1005.03,122.89,2.70531,1.12185,20,52.30
1385.22,115.29,-1.24597,1.53802,20,52.30
78.5,100.41,4.59899,1.49924,20,52.30
1858.67,92.81,2.39405,1.6792,20,52.30
423.28,75.54,-1.35159,1.97239,20,52.30
1318.19,72.35,0.851168,1.48433,20,52.30
