spot,x,y,luminosity,error,T,v,v_fin
0,2.02,737.91,2.20766,1.24652,20,52.3,1.0
0,2.02,737.91,6.3144,1.32231,20,53.3,2.0
0,2.02,737.91,13.3257,1.42597,20,54.3,3.0
0,2.02,737.91,23.7282,1.42223,20,55.3,4.0
0,2.02,737.91,37.3192,1.59208,20,56.3,5.0
0,2.02,737.91,70.3584,2.02127,20,58.3,7.0
1,57.07,534.82,41.7379,2.91681,20,52.3,1.0
1,57.07,534.82,132.812,3.13388,20,53.3,2.0
1,57.07,534.82,265.011,3.51977,20,54.3,3.0
1,57.07,534.82,406.931,3.78495,20,55.3,4.0
1,57.07,534.82,577.114,4.33912,20,56.3,5.0
1,57.07,534.82,1042.21,6.06455,20,58.3,7.0
2,57.85,1068.45,14.5811,2.65334,20,52.3,1.0
2,57.85,1068.45,69.2612,2.63999,20,53.3,2.0
2,57.85,1068.45,144.512,2.88762,20,54.3,3.0
2,57.85,1068.45,222.728,3.134,20,55.3,4.0
2,57.85,1068.45,304.239,3.48096,20,56.3,5.0
2,57.85,1068.45,521.55,4.51048,20,58.3,7.0
3,57.98,577.43,110.224,3.9995,20,52.3,1.0
3,57.98,577.43,371.284,4.25904,20,53.3,2.0
3,57.98,577.43,746.15,4.76778,20,54.3,3.0
3,57.98,577.43,1252.2,5.12785,20,55.3,4.0
3,57.98,577.43,1838.77,5.99916,20,56.3,5.0
3,57.98,577.43,3528.14,8.63638,20,58.3,7.0
4,62.96,555.52,36.8413,3.49729,20,52.3,1.0
4,62.96,555.52,124.378,3.51848,20,53.3,2.0
4,62.96,555.52,330.189,4.08975,20,54.3,3.0
4,62.96,555.52,547.227,4.36015,20,55.3,4.0
4,62.96,555.52,825.62,4.95876,20,56.3,5.0
4,62.96,555.52,2035.45,7.37293,20,58.3,7.0
5,65.6,1053.09,3.11513,1.28911,20,52.3,1.0
5,65.6,1053.09,7.06266,1.2726,20,53.3,2.0
5,65.6,1053.09,16.3431,1.4318,20,54.3,3.0
5,65.6,1053.09,21.432,1.51246,20,55.3,4.0
5,65.6,1053.09,35.2774,1.61705,20,56.3,5.0
5,65.6,1053.09,65.5484,2.10279,20,58.3,7.0
6,68.9,813.55,42.3845,2.88038,20,52.3,1.0
6,68.9,813.55,136.078,3.01813,20,53.3,2.0
6,68.9,813.55,253.099,3.46611,20,54.3,3.0
6,68.9,813.55,407.98,3.80733,20,55.3,4.0
6,68.9,813.55,601.024,4.32345,20,56.3,5.0
6,68.9,813.55,2213.22,31.4796,20,58.3,7.0
7,78.5,100.41,4.59899,1.49924,20,52.3,1.0
7,78.5,100.41,11.3364,1.65481,20,53.3,2.0
7,78.5,100.41,26.1652,1.92066,20,54.3,3.0
