x,y,luminosity,error,T,v
1264.07,1073.45,29.5657,1.75927,20,58.30
57.85,1068.45,521.55,4.51048,20,58.30
1019.9,1070.91,97.2307,3.0649,20,58.30
1781.09,1058.45,372.479,3.69821,20,58.30
65.6,1053.09,65.5484,2.10279,20,58.30
1899.89,1043.76,32.3462,3.16729,20,58.30
611.45,1035.38,31.8497,1.62983,20,58.30
870.77,1007.93,2544.41,16.3892,20,58.30
1445.42,1002.5,4908.17,10.3943,20,58.30
505.46,1000.84,77.6931,2.42543,20,58.30
1619.8,985.17,3256.55,11.585,20,58.30
1823.67,989.54,223.572,4.86814,20,58.30
1050.32,956.79,405.962,5.01225,20,58.30
417.78,951.19,301.544,3.61944,20,58.30
176.2,947.85,1023.3,5.14343,20,58.30
1178.67,928.66,120.884,2.38486,20,58.30
1582.32,923.65,2283.29,6.45794,20,58.30
153.04,916.16,623.574,4.78587,20,58.30
637.61,918.13,55.0926,1.9101,20,58.30
1619.85,909.39,2547.23,8.23017,20,58.30
1377.8,911.01,322.868,3.95411,20,58.30
1089.72,909.52,178.979,3.19292,20,58.30
670.71,906.38,96.085,2.34636,20,58.30
516.16,884.76,2632.84,10.5772,20,58.30
832.9,885.53,3042.74,7.59187,20,58.30
1846.87,885.1,665.309,8.18262,20,58.30
851.67,886,61.7455,2.00681,20,58.30
1645.78,877.6,1528.97,6.27518,20,58.30
1289.32,872.68,56.8497,2.19896,20,58.30
1683.63,870.32,177.725,3.27714,20,58.30
1504.29,861.4,231.507,3.37344,20,58.30
358.14,849.88,439.804,4.81721,20,58.30
1769.05,825.97,85.4251,2.66825,20,58.30
831.32,825.98,41.2529,2.48445,20,58.30
68.9,813.55,2213.22,31.4796,20,58.30
941.34,808.37,2102.78,6.38689,20,58.30
1373.68,809.3,286.106,3.48326,20,58.30
990.16,804.31,781.029,5.63148,20,58.30
1586.04,807.44,21.2082,1.42295,20,58.30
1052.81,803.87,108.451,2.63496,20,58.30
1723.27,803.27,93.4919,2.56518,20,58.30
1269.4,787.25,4084.98,9.90139,20,58.30
