ID_hotspot_globale,x,y,integration_radius,luminosity,error,T,v
0,67.66,809.37,23,43.6912,1.15317,20.0,52.3
0,67.66,809.37,23,133.859,1.35026,20.0,53.3
0,67.66,809.37,23,278.165,1.57943,20.0,54.3
0,67.66,809.37,23,429.06,1.69915,20.0,55.3
0,67.66,809.37,23,648.312,1.9386,20.0,56.3
0,67.66,809.37,23,2549.86,28.8333,20.0,58.3
1,80.53,96.36,23,-9.45698,1.39357,20.0,52.3
1,80.53,96.36,23,5.50211,1.49888,20.0,53.3
1,80.53,96.36,23,12.5912,1.77638,20.0,54.3
1,80.53,96.36,23,43.2526,1.72366,20.0,55.3
1,80.53,96.36,23,82.5342,1.74534,20.0,56.3
1,80.53,96.36,23,183.881,2.5081,20.0,58.3
2,94.67,355.08,23,0.384216,1.31004,20.0,52.3
2,94.67,355.08,23,21.1173,1.65163,20.0,53.3
2,94.67,355.08,23,64.2533,1.54686,20.0,54.3
2,94.67,355.08,23,133.061,1.65985,20.0,55.3
2,94.67,355.08,23,225.906,1.90611,20.0,56.3
2,94.67,355.08,23,428.764,2.51296,20.0,58.3
3,139.61,257.49,23,-2.90054,1.12068,20.0,52.3
3,139.61,257.49,23,17.3002,1.1397,20.0,53.3
3,139.61,257.49,23,25.2363,1.40332,20.0,54.3
3,139.61,257.49,23,47.2553,1.46321,20.0,55.3
3,139.61,257.49,23,58.8154,1.59977,20.0,56.3
3,139.61,257.49,23,120.53,1.90024,20.0,58.3
4,182.58,172.15,23,158.777,1.05899,20.0,52.3
4,182.58,172.15,23,633.792,1.10232,20.0,53.3
4,182.58,172.15,23,1524.45,1.54525,20.0,54.3
4,182.58,172.15,23,2908.03,2.08529,20.0,55.3
4,182.58,172.15,23,4920.81,3.33369,20.0,56.3
4,182.58,172.15,23,11973.1,7.98693,20.0,58.3
5,193.7,520.1,23,8.05737,1.10653,20.0,52.3
5,193.7,520.1,23,23.2257,1.20474,20.0,53.3
5,193.7,520.1,23,99.6777,1.43892,20.0,54.3
5,193.7,520.1,23,176.714,1.36193,20.0,55.3
5,193.7,520.1,23,294.32,1.68883,20.0,56.3
5,193.7,520.1,23,726.007,2.26572,20.0,58.3
6,232.05,757.51,23,2.94696,1.21387,20.0,52.3
6,232.05,757.51,23,2.22947,1.43725,20.0,53.3
6,232.05,757.51,23,22.3549,1.53406,20.0,54.3
6,232.05,757.51,23,6.83652,1.65458,20.0,55.3
6,232.05,757.51,23,17.1905,1.86513,20.0,56.3
6,232.05,757.51,23,94.681,2.19838,20.0,58.3
7,237.11,244.17,23,37.5718,0.972866,20.0,52.3
7,237.11,244.17,23,158.171,0.916692,20.0,53.3
7,237.11,244.17,23,307.885,1.15503,20.0,54.3
7,237.11,244.17,23,529.732,1.42983,20.0,55.3
7,237.11,244.17,23,814.911,1.9383,20.0,56.3
7,237.11,244.17,23,1931.0,4.27961,20.0,58.3
8,253.66,351.3,23,12.4848,1.02881,20.0,52.3
8,253.66,351.3,23,29.5292,1.30383,20.0,53.3
8,253.66,351.3,23,78.689,1.55716,20.0,54.3
8,253.66,351.3,23,138.733,1.60424,20.0,55.3
8,253.66,351.3,23,217.249,1.76361,20.0,56.3
8,253.66,351.3,23,550.391,2.53663,20.0,58.3
9,336.26,288.35,23,6.69969,1.13042,20.0,52.3
9,336.26,288.35,23,12.83,1.34377,20.0,53.3
9,336.26,288.35,23,19.8132,1.37344,20.0,54.3
9,336.26,288.35,23,54.6372,1.51773,20.0,55.3
9,336.26,288.35,23,65.3861,1.57331,20.0,56.3
9,336.26,288.35,23,115.02,1.93582,20.0,58.3
10,356.71,847.02,23,15.5962,1.00044,20.0,52.3
10,356.71,847.02,23,27.9231,1.27582,20.0,53.3
10,356.71,847.02,23,73.116,1.23483,20.0,54.3
10,356.71,847.02,23,125.462,1.32269,20.0,55.3
10,356.71,847.02,23,231.4,1.45245,20.0,56.3
10,356.71,847.02,23,568.346,2.626,20.0,58.3
11,375.07,369.64,23,3.75213,0.950222,20.0,52.3
11,375.07,369.64,23,-10.3839,0.945212,20.0,53.3
11,375.07,369.64,23,15.7477,1.05467,20.0,54.3
11,375.07,369.64,23,27.3476,1.17494,20.0,55.3
11,375.07,369.64,23,26.977,1.21785,20.0,56.3
11,375.07,369.64,23,75.6643,1.79819,20.0,58.3
12,415.86,948.67,23,20.9784,1.20329,20.0,52.3
12,415.86,948.67,23,47.2889,1.27843,20.0,53.3
12,415.86,948.67,23,85.2314,1.38953,20.0,54.3
12,415.86,948.67,23,134.753,1.60272,20.0,55.3
12,415.86,948.67,23,208.21,1.75418,20.0,56.3
12,415.86,948.67,23,389.384,2.32253,20.0,58.3
13,417.73,550.01,23,5.45583,1.12187,20.0,52.3
13,417.73,550.01,23,17.5796,1.45296,20.0,53.3
13,417.73,550.01,23,14.8964,1.5259,20.0,54.3
13,417.73,550.01,23,17.9935,1.69507,20.0,55.3
13,417.73,550.01,23,25.7433,1.71795,20.0,56.3
13,417.73,550.01,23,38.5707,1.93491,20.0,58.3
14,425.51,73.08,23,-14.4027,1.18724,20.0,52.3
14,425.51,73.08,23,12.2304,1.24007,20.0,53.3
14,425.51,73.08,23,32.0774,1.30754,20.0,54.3
14,425.51,73.08,23,85.2516,1.47639,20.0,55.3
14,425.51,73.08,23,134.148,1.57089,20.0,56.3
14,425.51,73.08,23,284.894,2.10344,20.0,58.3
15,429.64,486.98,23,58.6616,0.851455,20.0,52.3
15,429.64,486.98,23,199.054,0.938449,20.0,53.3
15,429.64,486.98,23,459.934,1.19113,20.0,54.3
15,429.64,486.98,23,798.11,1.31888,20.0,55.3
15,429.64,486.98,23,1254.73,1.76546,20.0,56.3
15,429.64,486.98,23,2612.35,3.57316,20.0,58.3
16,503.3,998.64,23,21.1749,1.39008,20.0,52.3
16,503.3,998.64,23,14.536,1.48369,20.0,53.3
16,503.3,998.64,23,48.2152,1.62217,20.0,54.3
16,503.3,998.64,23,44.5367,1.78957,20.0,55.3
16,503.3,998.64,23,44.4043,1.8602,20.0,56.3
16,503.3,998.64,23,115.593,2.38147,20.0,58.3
17,596.49,528.05,23,11.2204,1.21857,20.0,52.3
17,596.49,528.05,23,4.30634,1.25479,20.0,53.3
17,596.49,528.05,23,8.41029,1.45998,20.0,54.3
17,596.49,528.05,23,27.27,1.60812,20.0,55.3
17,596.49,528.05,23,30.855,1.58374,20.0,56.3
17,596.49,528.05,23,120.625,2.00075,20.0,58.3
18,610.17,336.26,23,8.9853,1.29648,20.0,52.3
18,610.17,336.26,23,-1.05328,1.21342,20.0,53.3
18,610.17,336.26,23,3.6105,1.66384,20.0,54.3
18,610.17,336.26,23,28.3499,1.57402,20.0,55.3
18,610.17,336.26,23,53.1197,1.77928,20.0,56.3
18,610.17,336.26,23,42.8639,2.09036,20.0,58.3
19,649.51,440.37,23,8.49287,0.856765,20.0,52.3
19,649.51,440.37,23,40.3502,1.0209,20.0,53.3
19,649.51,440.37,23,64.6663,1.0954,20.0,54.3
19,649.51,440.37,23,119.352,1.31388,20.0,55.3
19,649.51,440.37,23,148.483,1.32709,20.0,56.3
19,649.51,440.37,23,268.021,1.72872,20.0,58.3
20,649.81,574.03,23,21.6679,0.939005,20.0,52.3
20,649.81,574.03,23,149.918,0.996731,20.0,53.3
20,649.81,574.03,23,432.432,1.22656,20.0,54.3
20,649.81,574.03,23,852.765,1.50669,20.0,55.3
20,649.81,574.03,23,1474.25,1.97758,20.0,56.3
20,649.81,574.03,23,3325.69,3.83517,20.0,58.3
