spot,x,y,luminosity,error,T,v,v_fin,integration_radius
0,68.9,813.55,10.4322,0.806377,20,52.3,1.0,2.0
0,68.9,813.55,28.3395,1.4116,20,52.3,1.0,4.0
0,68.9,813.55,37.7657,2.10461,20,52.3,1.0,6.0
0,68.9,813.55,41.3984,2.63497,20,52.3,1.0,8.0
0,68.9,813.55,42.4053,3.22638,20,52.3,1.0,10.0
0,68.9,813.55,41.6702,4.10218,20,52.3,1.0,12.0
0,68.9,813.55,41.8719,4.87091,20,52.3,1.0,14.0
0,68.9,813.55,43.1718,5.42924,20,52.3,1.0,16.0
0,68.9,813.55,44.2486,6.11189,20,52.3,1.0,18.0
0,68.9,813.55,45.1311,7.66573,20,52.3,1.0,20.0
0,68.9,813.55,43.5208,8.2117,20,52.3,1.0,22.0
0,68.9,813.55,44.7191,8.91627,20,52.3,1.0,24.0
0,68.9,813.55,45.1966,10.0951,20,52.3,1.0,26.0
0,68.9,813.55,31.0483,0.777744,20,53.3,2.0,2.0
0,68.9,813.55,86.3054,1.54968,20,53.3,2.0,4.0
0,68.9,813.55,117.782,2.20058,20,53.3,2.0,6.0
0,68.9,813.55,132.618,2.78067,20,53.3,2.0,8.0
0,68.9,813.55,137.565,3.44111,20,53.3,2.0,10.0
0,68.9,813.55,137.552,4.31706,20,53.3,2.0,12.0
0,68.9,813.55,138.423,5.20756,20,53.3,2.0,14.0
0,68.9,813.55,135.734,5.79624,20,53.3,2.0,16.0
0,68.9,813.55,134.007,6.46927,20,53.3,2.0,18.0
0,68.9,813.55,132.875,8.21802,20,53.3,2.0,20.0
0,68.9,813.55,133.974,8.73904,20,53.3,2.0,22.0
0,68.9,813.55,132.812,9.50549,20,53.3,2.0,24.0
0,68.9,813.55,133.246,11.2463,20,53.3,2.0,26.0
0,68.9,813.55,57.0045,0.928826,20,54.3,3.0,2.0
0,68.9,813.55,153.458,1.79534,20,54.3,3.0,4.0
0,68.9,813.55,214.246,2.51517,20,54.3,3.0,6.0
0,68.9,813.55,244.344,3.17228,20,54.3,3.0,8.0
0,68.9,813.55,256.358,3.8259,20,54.3,3.0,10.0
0,68.9,813.55,260.428,4.7254,20,54.3,3.0,12.0
0,68.9,813.55,265.931,5.58414,20,54.3,3.0,14.0
0,68.9,813.55,267.689,6.22613,20,54.3,3.0,16.0
0,68.9,813.55,271.081,6.96283,20,54.3,3.0,18.0
0,68.9,813.55,273.308,8.96105,20,54.3,3.0,20.0
0,68.9,813.55,276.556,9.55787,20,54.3,3.0,22.0
0,68.9,813.55,279.092,10.2803,20,54.3,3.0,24.0
0,68.9,813.55,280.318,11.5667,20,54.3,3.0,26.0
0,68.9,813.55,87.3095,1.08596,20,55.3,4.0,2.0
0,68.9,813.55,245.901,2.03457,20,55.3,4.0,4.0
0,68.9,813.55,344.777,2.90126,20,55.3,4.0,6.0
0,68.9,813.55,393.649,3.53867,20,55.3,4.0,8.0
0,68.9,813.55,415.077,4.21817,20,55.3,4.0,10.0
0,68.9,813.55,423.049,5.19236,20,55.3,4.0,12.0
0,68.9,813.55,428.05,6.03461,20,55.3,4.0,14.0
0,68.9,813.55,431.047,6.62638,20,55.3,4.0,16.0
0,68.9,813.55,431.722,7.34954,20,55.3,4.0,18.0
0,68.9,813.55,430.4,9.4979,20,55.3,4.0,20.0
0,68.9,813.55,430.105,10.1143,20,55.3,4.0,22.0
0,68.9,813.55,428.323,11.0026,20,55.3,4.0,24.0
0,68.9,813.55,424.481,12.3213,20,55.3,4.0,26.0
0,68.9,813.55,121.938,1.27983,20,56.3,5.0,2.0
0,68.9,813.55,355.708,2.37367,20,56.3,5.0,4.0
0,68.9,813.55,503.564,3.31327,20,56.3,5.0,6.0
0,68.9,813.55,576.829,4.01429,20,56.3,5.0,8.0
0,68.9,813.55,612.573,4.68365,20,56.3,5.0,10.0
0,68.9,813.55,628.788,5.74226,20,56.3,5.0,12.0
0,68.9,813.55,637.97,6.61728,20,56.3,5.0,14.0
0,68.9,813.55,643.181,7.3415,20,56.3,5.0,16.0
0,68.9,813.55,648.503,8.10476,20,56.3,5.0,18.0
0,68.9,813.55,648.045,9.71023,20,56.3,5.0,20.0
0,68.9,813.55,648.044,10.4451,20,56.3,5.0,22.0
0,68.9,813.55,648.838,11.463,20,56.3,5.0,24.0
0,68.9,813.55,646.429,13.4918,20,56.3,5.0,26.0
0,68.9,813.55,423.0,18.1192,20,58.3,7.0,2.0
0,68.9,813.55,1226.55,27.6478,20,58.3,7.0,4.0
0,68.9,813.55,1804.12,30.6504,20,58.3,7.0,6.0
0,68.9,813.55,2113.32,31.3458,20,58.3,7.0,8.0
0,68.9,813.55,2269.9,31.615,20,58.3,7.0,10.0
0,68.9,813.55,2357.96,31.8756,20,58.3,7.0,12.0
0,68.9,813.55,2415.25,32.1389,20,58.3,7.0,14.0
0,68.9,813.55,2454.73,32.344,20,58.3,7.0,16.0
0,68.9,813.55,2494.52,32.5777,20,58.3,7.0,18.0
0,68.9,813.55,2521.9,33.5815,20,58.3,7.0,20.0
0,68.9,813.55,2544.87,33.8575,20,58.3,7.0,22.0
0,68.9,813.55,2555.84,34.2722,20,58.3,7.0,24.0
0,68.9,813.55,2568.0,35.6705,20,58.3,7.0,26.0
1,78.5,100.41,0.61684,0.589409,20,52.3,1.0,2.0
1,78.5,100.41,2.94202,1.15311,20,52.3,1.0,4.0
1,78.5,100.41,5.17148,1.7854,20,52.3,1.0,6.0
1,78.5,100.41,5.9364,2.60996,20,52.3,1.0,8.0
1,78.5,100.41,4.37318,3.59397,20,52.3,1.0,10.0
1,78.5,100.41,3.70659,4.11383,20,52.3,1.0,12.0
1,78.5,100.41,2.79037,4.78359,20,52.3,1.0,14.0
1,78.5,100.41,3.63875,5.3509,20,52.3,1.0,16.0
1,78.5,100.41,-0.363935,6.06607,20,52.3,1.0,18.0
1,78.5,100.41,-2.48753,6.58172,20,52.3,1.0,20.0
1,78.5,100.41,-6.51101,7.24946,20,52.3,1.0,22.0
1,78.5,100.41,-11.7537,7.94299,20,52.3,1.0,24.0
1,78.5,100.41,-13.9582,8.65765,20,52.3,1.0,26.0
1,78.5,100.41,2.50774,0.53734,20,53.3,2.0,2.0
1,78.5,100.41,7.92544,1.2519,20,53.3,2.0,4.0
1,78.5,100.41,13.2225,1.92626,20,53.3,2.0,6.0
1,78.5,100.41,13.4447,2.7305,20,53.3,2.0,8.0
1,78.5,100.41,14.6759,3.71877,20,53.3,2.0,10.0
1,78.5,100.41,16.9367,4.21226,20,53.3,2.0,12.0
1,78.5,100.41,12.8878,4.98052,20,53.3,2.0,14.0
1,78.5,100.41,9.45747,5.5878,20,53.3,2.0,16.0
1,78.5,100.41,7.26841,6.33377,20,53.3,2.0,18.0
1,78.5,100.41,7.06515,6.8676,20,53.3,2.0,20.0
1,78.5,100.41,6.14677,7.67447,20,53.3,2.0,22.0
1,78.5,100.41,4.72908,8.46211,20,53.3,2.0,24.0
1,78.5,100.41,5.29525,9.22585,20,53.3,2.0,26.0
1,78.5,100.41,5.45118,0.64599,20,54.3,3.0,2.0
1,78.5,100.41,17.9065,1.48283,20,54.3,3.0,4.0
1,78.5,100.41,29.4397,2.23331,20,54.3,3.0,6.0
1,78.5,100.41,29.8816,3.16837,20,54.3,3.0,8.0
1,78.5,100.41,28.5578,4.15492,20,54.3,3.0,10.0
1,78.5,100.41,26.5945,4.7212,20,54.3,3.0,12.0
1,78.5,100.41,25.6788,5.77588,20,54.3,3.0,14.0
1,78.5,100.41,25.8478,6.38196,20,54.3,3.0,16.0
1,78.5,100.41,22.8104,7.08126,20,54.3,3.0,18.0
1,78.5,100.41,21.5501,7.68498,20,54.3,3.0,20.0
1,78.5,100.41,17.6927,8.44333,20,54.3,3.0,22.0
1,78.5,100.41,8.67365,9.33518,20,54.3,3.0,24.0
1,78.5,100.41,6.16893,10.1148,20,54.3,3.0,26.0
1,78.5,100.41,8.61706,0.674686,20,55.3,4.0,2.0
1,78.5,100.41,27.1056,1.5875,20,55.3,4.0,4.0
1,78.5,100.41,42.8079,2.30054,20,55.3,4.0,6.0
1,78.5,100.41,51.0377,3.2003,20,55.3,4.0,8.0
1,78.5,100.41,54.3356,4.19922,20,55.3,4.0,10.0
1,78.5,100.41,53.9721,4.82231,20,55.3,4.0,12.0
1,78.5,100.41,54.097,5.80231,20,55.3,4.0,14.0
1,78.5,100.41,50.741,6.50906,20,55.3,4.0,16.0
1,78.5,100.41,45.8555,7.31661,20,55.3,4.0,18.0
1,78.5,100.41,46.3334,7.90854,20,55.3,4.0,20.0
1,78.5,100.41,44.8933,8.70878,20,55.3,4.0,22.0
